,TCGA-2L-AAQE-01A,TCGA-2L-AAQI-01A,TCGA-3A-A9IB-01A,TCGA-3E-AAAZ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A5VM-01A,TCGA-FB-A78T-01A,TCGA-IB-7651-01A,TCGA-IB-7890-01A,TCGA-IB-A5SS-01A,TCGA-IB-AAUO-01A,TCGA-IB-AAUW-01A,TCGA-PZ-A5RE-01A,TCGA-US-A779-01A,TCGA-XD-AAUI-01A,TCGA-2J-AAB6-01A,TCGA-IB-AAUQ-01A,TCGA-LB-A7SX-01A
ENSG00000213569.4,0,1,2,1,1,5,1,1,2,0,2,4,2,4,2,1,1,7
ENSG00000213574.2,3,17,13,2,11,10,1,17,2,24,14,9,4,3,18,5,9,3
ENSG00000213578.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213579.3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
ENSG00000213585.11,11332,17364,15240,14405,18253,6394,17488,24732,9208,15779,14542,10219,14977,9989,11242,9150,6982,9096
ENSG00000213587.3,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
ENSG00000213588.6,439,400,393,572,555,540,565,1309,352,464,378,578,433,268,350,220,263,356
ENSG00000213590.2,10,3,6,9,6,21,17,4,3,8,24,10,4,13,20,8,16,11
ENSG00000213592.4,1,3,4,3,1,3,1,5,4,4,1,2,3,3,1,2,1,7
ENSG00000213593.10,3735,3165,3291,4227,4111,3618,2799,5580,2621,4141,3180,3460,3873,3030,2637,3298,1721,4916
ENSG00000213594.4,1,0,1,0,1,0,1,0,0,0,2,0,1,1,0,1,0,0
ENSG00000213598.4,5,12,26,29,8,23,21,17,5,20,10,19,12,19,7,6,9,21
ENSG00000213599.10,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
ENSG00000213600.3,3,3,6,4,0,0,4,2,1,4,2,6,5,3,3,3,11,6
ENSG00000213601.3,1,3,7,3,7,2,3,6,0,2,7,1,5,2,1,2,3,3
ENSG00000213604.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213605.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ENSG00000213606.3,0,4,14,5,0,0,3,0,0,0,2,1,1,26,2,0,1,3
ENSG00000213607.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213608.5,0,1,4,0,0,0,1,0,0,0,0,1,1,3,1,0,0,2
ENSG00000213609.3,45,29,44,65,35,81,53,44,18,35,77,44,45,34,88,35,92,30
ENSG00000213612.3,6,2,2,0,5,4,4,1,3,5,2,3,1,2,3,0,2,18
ENSG00000213613.2,8,4,11,6,5,1,7,5,3,1,4,11,3,7,2,3,12,9
ENSG00000213614.10,1094,960,1183,1018,1202,1652,1406,2783,1093,1862,1183,928,1992,993,988,1287,1063,1308
ENSG00000213619.11,3270,2665,3132,3896,2997,4440,3153,3271,1471,3269,4171,2482,4146,3020,2963,2048,1981,2145
ENSG00000213620.3,2,5,1,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
ENSG00000213621.3,8,10,19,34,6,39,29,4,6,10,10,15,9,28,12,12,6,15
ENSG00000213625.9,5287,4579,9579,5498,4837,3939,3798,8965,6841,6413,5127,7218,5852,4020,4656,4849,4140,5711
ENSG00000213626.13,8493,5898,8357,8092,4862,9257,4488,18993,9472,17138,8449,8987,7429,7152,10881,3500,6806,3602
ENSG00000213630.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213638.6,148,112,131,185,106,128,139,85,3,47,131,131,152,182,44,36,46,111
ENSG00000213639.10,9000,15014,15201,14601,11775,7153,9126,22906,12211,14281,9386,14225,10657,8126,14729,10163,10888,13879
ENSG00000213640.3,15,4,3,13,1,11,5,7,0,0,11,3,0,0,8,9,8,0
ENSG00000213641.4,0,0,0,1,2,0,3,1,0,1,0,0,0,1,0,1,0,0
ENSG00000213642.3,3,1,4,0,0,1,2,2,5,0,0,1,1,0,1,0,1,1
ENSG00000213643.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213644.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000213645.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000213648.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000213650.3,0,1,0,2,3,2,0,3,0,1,0,0,0,0,0,0,0,4
ENSG00000213652.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213653.4,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ENSG00000213654.10,1063,1378,1781,919,1389,2464,2599,2513,1219,1872,1214,1661,2137,475,1917,794,873,1032
ENSG00000213655.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213657.3,0,1,0,0,1,0,1,0,1,1,6,3,0,2,2,2,0,5
ENSG00000213658.12,20,15,13,20,11,17,40,8,3,4,41,26,6,15,26,30,16,24
ENSG00000213659.4,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000213661.3,0,1,2,1,1,2,1,2,0,0,0,0,0,1,0,0,0,3
ENSG00000213663.4,0,0,0,0,0,0,3,14,0,0,0,0,0,0,2,0,0,0
ENSG00000213664.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000213667.3,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1
ENSG00000213669.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0
ENSG00000213671.3,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,1,0
ENSG00000213672.8,2106,1349,1321,1444,864,1072,1986,2340,982,2167,1152,1564,2457,1818,1696,2252,1679,1177
ENSG00000213673.3,2,5,1,0,0,3,0,1,0,1,1,1,2,0,1,0,3,1
ENSG00000213676.13,5007,4200,5118,4736,4169,3744,5833,6423,4242,3857,3586,4618,3813,2844,3133,3490,2609,3990
ENSG00000213683.4,2,1,1,1,3,9,2,1,0,1,3,2,0,3,0,1,0,7
ENSG00000213684.4,0,0,2,1,2,2,0,2,0,2,0,1,0,0,0,0,0,0
ENSG00000213689.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213690.3,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000213693.4,18,17,21,29,28,7,38,39,13,28,42,48,16,33,28,31,35,22
ENSG00000213694.6,619,747,2404,2392,1182,1048,803,3611,2805,3153,553,1502,631,537,3205,1461,1331,227
ENSG00000213695.3,0,11,7,5,2,9,39,4,0,3,9,9,4,14,5,2,4,6
ENSG00000213697.3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
ENSG00000213698.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000213699.9,4004,3323,2984,2838,3255,3078,2702,6748,1906,4028,2392,2923,4075,3109,3098,2319,2651,2893
ENSG00000213700.3,31,50,73,38,15,29,45,112,39,98,52,35,108,35,58,99,66,43
ENSG00000213701.4,1,2,2,0,2,0,2,2,1,3,3,1,0,1,2,1,0,2
ENSG00000213703.2,0,0,0,1,0,3,1,2,0,0,1,2,3,0,2,2,0,1
ENSG00000213704.3,0,1,1,1,0,0,2,0,0,1,0,2,0,1,0,0,0,1
ENSG00000213706.2,4,1,4,5,2,1,1,1,2,0,6,4,2,3,1,1,0,4
ENSG00000213707.2,73,69,76,77,82,64,52,125,23,42,65,47,31,57,55,45,42,28
ENSG00000213708.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213711.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ENSG00000213713.3,26,46,75,112,35,13,53,129,77,77,104,160,61,32,76,20,66,43
ENSG00000213714.1,11,3,10,3,4,27,12,13,1,5,42,5,13,21,13,12,0,9
ENSG00000213716.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213717.3,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,2,1
ENSG00000213719.8,23600,28912,38421,30239,25758,34645,43148,44157,16899,27731,27987,19884,31370,28972,36832,20051,17843,20350
ENSG00000213721.3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000213722.10,3758,2780,6937,3821,3973,3533,5239,9438,2713,4203,5779,4442,3857,3730,5596,2749,4290,5270
ENSG00000213724.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000213726.5,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,2
ENSG00000213727.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213729.3,1,20,9,1,0,0,2,3,18,5,2,0,4,1,2,7,5,15
ENSG00000213730.3,2,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,2
ENSG00000213731.2,2,0,0,2,1,0,2,0,0,0,0,0,1,3,0,0,1,1
ENSG00000213735.2,0,2,1,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0
ENSG00000213736.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000213739.3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
ENSG00000213740.2,3,6,8,6,8,11,6,7,4,5,5,4,5,3,0,2,2,9
ENSG00000213741.11,14495,13837,20592,24416,18297,25200,21036,16633,8530,13218,15308,14389,17719,22273,13941,12546,9132,8816
ENSG00000213742.7,112,64,68,189,52,34,120,222,28,60,140,145,45,65,66,70,44,89
ENSG00000213744.3,0,0,2,0,0,2,0,2,0,1,1,0,0,0,0,0,1,0
ENSG00000213747.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213750.4,2,3,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,2
ENSG00000213752.3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000213753.11,1155,761,1311,1193,1374,922,1153,2588,957,1040,736,1317,1065,887,918,1135,751,1182
ENSG00000213754.2,4,6,4,3,6,1,8,12,1,7,1,12,4,4,4,1,0,1
ENSG00000213755.3,1,0,1,4,0,0,2,2,1,0,0,3,0,0,0,1,2,2
ENSG00000213757.3,74,47,87,53,70,75,81,80,31,46,145,53,68,59,129,119,60,42
ENSG00000213759.10,0,2,10,1,3,0,2,5,0,0,0,102,8,11,1,0,0,2
ENSG00000213760.11,10,28,28,31,9,14,26,38,25,26,15,82,11,19,33,8,44,21
ENSG00000213761.4,3,1,1,1,1,11,1,3,1,2,1,1,0,2,2,3,4,1
ENSG00000213762.12,952,522,334,796,1481,833,933,844,1016,769,468,1233,1261,954,979,1059,633,291
ENSG00000213763.4,13,26,39,41,32,29,35,37,21,34,22,14,28,13,20,20,13,35
ENSG00000213770.3,3,0,0,4,0,1,2,1,0,7,0,0,0,0,0,0,1,7
ENSG00000213771.3,4,8,11,6,12,7,8,10,3,3,1,4,9,3,3,3,1,11
ENSG00000213772.3,0,2,1,10,1,3,4,1,0,2,3,2,2,1,0,0,4,2
ENSG00000213774.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000213777.5,4,1,3,1,0,1,1,2,1,0,2,2,3,4,3,3,3,1
ENSG00000213778.2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1
ENSG00000213779.4,0,1,1,1,0,0,3,3,0,0,0,0,0,1,2,2,2,0
ENSG00000213780.11,8,4,12,3,5,6,15,2,2,2,7,8,2,5,12,7,9,19
ENSG00000213781.3,0,3,0,1,0,0,5,0,1,2,3,0,1,2,1,0,2,0
ENSG00000213782.7,43,28,93,78,44,15,113,38,30,23,138,80,38,51,59,67,36,62
ENSG00000213783.4,0,1,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1
ENSG00000213785.3,3,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
ENSG00000213786.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ENSG00000213787.3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000213790.2,22,35,25,39,25,20,19,45,23,45,11,19,25,33,34,30,20,32
ENSG00000213791.4,0,1,0,2,1,3,0,0,0,1,2,0,0,1,0,0,0,2
ENSG00000213793.5,904,1051,884,354,1075,379,1605,1244,704,643,876,1865,1216,1587,724,480,835,1980
ENSG00000213798.3,0,0,0,4,1,6,0,2,0,2,0,1,0,1,0,0,0,1
ENSG00000213799.13,626,357,343,321,731,346,547,885,555,409,425,705,512,547,382,419,335,443
ENSG00000213801.4,172,83,61,38,91,49,312,108,48,37,151,246,115,276,96,70,145,269
ENSG00000213809.9,11,5,6,5,20,5,14,23,0,3,26,27,9,4,12,2,6,8
ENSG00000213816.3,1,0,1,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1
ENSG00000213820.3,1,1,4,3,2,8,4,3,1,2,3,4,5,4,3,0,1,6
ENSG00000213822.6,3,6,1,4,0,0,4,4,24,0,18,1,60,2,17,14,8,0
ENSG00000213830.3,2,4,5,7,6,3,9,5,5,2,5,0,3,5,8,8,7,5
ENSG00000213839.4,65,92,138,187,79,70,158,291,184,174,235,163,70,93,135,65,98,96
ENSG00000213842.2,0,2,4,2,1,2,1,1,1,2,3,3,1,1,2,1,1,2
ENSG00000213849.3,0,0,1,1,0,1,1,1,1,0,2,1,1,1,0,1,0,2
ENSG00000213851.3,2,2,6,7,5,6,5,6,3,0,1,4,4,3,2,0,2,3
ENSG00000213853.10,8656,5495,5858,8765,5905,3133,5089,7773,4619,6490,4492,5421,7396,7888,3160,1371,2221,9414
ENSG00000213854.3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000213856.3,5,5,12,4,7,4,6,15,4,9,2,2,5,4,9,1,0,5
ENSG00000213857.3,3,2,4,4,0,4,11,5,2,3,6,2,1,2,2,1,2,6
ENSG00000213859.7,1631,1069,1637,1594,701,1320,1222,1641,1328,1838,1299,1452,2034,1418,1056,1328,841,846
ENSG00000213860.4,17,14,39,22,11,33,17,20,6,12,20,29,16,17,31,23,75,20
ENSG00000213862.4,10,18,21,28,15,36,49,31,9,23,8,19,21,11,8,2,4,24
ENSG00000213864.3,4,2,7,6,7,10,13,14,4,10,6,5,5,13,2,4,0,4
ENSG00000213866.3,189,122,234,139,175,141,144,259,118,165,197,155,155,108,173,250,156,182
ENSG00000213867.4,2,0,0,4,0,1,0,2,0,0,1,1,0,2,0,0,1,3
ENSG00000213871.3,0,0,7,0,0,0,0,3,0,1,0,1,0,1,1,0,1,2
ENSG00000213872.3,1,0,2,3,1,1,4,3,1,4,3,3,4,1,1,2,4,3
ENSG00000213873.4,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1
ENSG00000213875.3,1,1,6,4,3,11,6,11,0,3,3,3,1,4,0,0,4,3
ENSG00000213876.4,2,0,2,9,5,5,11,28,5,23,3,9,14,1,5,3,5,2
ENSG00000213877.3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ENSG00000213880.3,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1
ENSG00000213881.3,10,24,21,32,17,9,26,30,14,9,10,11,6,12,10,3,16,10
ENSG00000213882.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000213885.4,28,52,58,90,48,84,69,68,22,34,40,35,56,59,27,28,27,50
ENSG00000213886.4,1,5,3,0,4,1,0,13,0,1,6,10,0,3,6,0,0,1
ENSG00000213888.3,17,49,40,68,32,14,33,67,71,78,25,76,16,20,24,20,29,45
ENSG00000213889.10,172,235,184,174,58,86,294,680,114,83,369,123,418,559,148,113,105,298
ENSG00000213891.3,2,4,7,5,1,5,9,1,1,2,3,8,7,8,1,0,4,8
ENSG00000213892.12,2,1,1,1,0,0,9,2,0,0,2,2,0,2,0,1,0,3
ENSG00000213896.4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0
ENSG00000213900.2,1,0,2,3,0,1,1,0,1,0,0,2,1,1,1,0,2,1
ENSG00000213901.11,73,19,54,157,5,30,159,24,11,30,127,48,38,115,71,15,26,114
ENSG00000213903.9,295,380,535,831,216,458,1104,384,178,234,1429,722,443,508,527,314,491,468
ENSG00000213904.9,32,27,31,30,17,34,26,23,7,18,23,35,49,51,17,14,33,81
ENSG00000213906.10,35,41,57,87,18,8,109,41,39,21,155,76,20,45,40,15,39,43
ENSG00000213908.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000213911.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213916.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213917.2,0,0,1,1,0,0,0,1,0,0,3,1,0,1,0,0,0,3
ENSG00000213918.10,1000,545,811,420,588,88,1242,495,324,254,720,977,741,563,790,495,604,1269
ENSG00000213920.9,3,1,0,1,0,0,1,0,0,1,1,2,1,1,0,0,1,0
ENSG00000213921.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213923.13,3192,2211,5447,4365,2424,6935,4681,4647,3408,4387,3927,2884,3360,8140,4084,7650,3507,6133
ENSG00000213924.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000213925.3,0,3,1,1,3,1,2,3,0,1,1,1,2,0,0,0,0,1
ENSG00000213926.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213927.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213928.9,184,178,171,153,137,70,593,216,47,64,619,292,261,115,184,260,205,285
ENSG00000213930.12,731,462,434,528,343,628,994,445,316,518,530,755,521,766,801,388,360,508
ENSG00000213931.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000213934.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213935.3,2,0,5,3,1,1,3,2,1,3,0,3,5,2,1,1,1,1
ENSG00000213937.4,84,189,557,51,362,88,200,40,162,298,199,272,560,701,592,1013,132,36
ENSG00000213938.3,0,1,0,2,1,0,1,2,0,2,0,0,0,0,0,2,1,5
ENSG00000213939.4,7,14,26,19,18,41,25,20,10,15,9,32,16,19,14,7,7,35
ENSG00000213940.4,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
ENSG00000213942.3,5,12,20,17,7,23,24,4,1,16,12,16,17,12,8,4,5,15
ENSG00000213943.3,4,11,17,5,13,6,3,8,1,7,4,6,4,4,1,4,5,4
ENSG00000213946.3,1,0,1,1,0,1,1,0,1,4,0,0,0,0,0,0,0,0
ENSG00000213949.10,2811,3755,7706,13674,4442,4307,2308,23546,9280,8779,2354,3976,3432,1416,4143,4673,4685,2179
ENSG00000213950.2,4,4,14,7,3,20,11,5,3,12,4,7,6,9,3,0,2,8
ENSG00000213954.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000213956.4,0,2,1,3,0,1,2,0,0,1,1,1,1,1,1,0,0,1
ENSG00000213958.2,0,3,3,2,2,0,3,1,0,3,2,0,0,3,0,2,0,0
ENSG00000213959.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213962.2,1,0,0,9,1,0,2,1,0,1,0,1,2,3,0,0,0,0
ENSG00000213963.6,43,82,114,37,71,36,121,111,52,67,68,129,24,50,50,31,48,93
ENSG00000213964.3,2,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0
ENSG00000213965.3,1052,634,788,1071,1428,1306,583,1050,518,1067,931,642,570,1012,1637,1351,332,1611
ENSG00000213967.11,9,22,15,18,20,43,20,17,7,13,17,76,45,20,60,10,66,85
ENSG00000213970.4,2,5,3,7,2,4,2,4,1,0,9,1,1,6,6,2,1,2
ENSG00000213972.3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4
ENSG00000213973.9,1,1,11,9,7,2,3,5,2,12,4,7,0,0,3,1,3,4
ENSG00000213976.4,12,21,5,16,8,7,18,27,17,15,15,49,10,20,31,5,17,6
ENSG00000213977.8,7,14,9,13,9,6,12,6,6,10,5,14,11,6,6,0,4,6
ENSG00000213979.3,1,0,0,5,1,5,4,4,2,1,2,2,2,0,0,5,2,4
ENSG00000213981.8,0,1,0,0,1,1,2,0,0,0,2,1,0,0,1,0,2,164
ENSG00000213983.12,2618,2208,1845,2432,1453,665,4559,1398,1011,1627,3270,2375,1700,2593,1543,1279,1037,2831
ENSG00000213985.4,7,5,7,3,11,0,3,18,9,16,5,10,4,4,3,4,1,6
ENSG00000213987.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000213988.11,6,65,24,35,58,5,62,27,18,41,32,114,4,29,133,22,123,14
ENSG00000213994.3,1,1,4,3,1,2,6,7,0,1,2,2,4,5,4,1,10,2
ENSG00000213995.11,1565,2531,2594,3446,1824,2433,4078,2757,1854,1574,2361,3132,2838,3616,2616,2278,1907,3235
ENSG00000213996.13,32,33,22,51,9,34,66,108,46,60,54,22,174,150,51,31,45,26
ENSG00000213997.3,2,4,4,0,6,1,3,2,0,2,12,2,3,4,10,8,12,16
ENSG00000213999.17,5,7,4,3,4,2,9,7,0,2,14,7,3,5,5,0,4,11
ENSG00000214003.2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6
ENSG00000214009.2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0
ENSG00000214012.4,3,4,5,3,4,7,2,2,0,5,1,1,3,6,2,0,3,2
ENSG00000214013.9,1004,578,459,644,899,564,1242,1469,723,882,948,840,953,827,653,729,636,636
ENSG00000214015.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214016.3,4,8,6,23,14,27,19,4,3,7,6,9,9,16,7,5,0,11
ENSG00000214018.3,6,16,11,14,9,1,6,1,6,13,0,7,3,3,5,0,3,21
ENSG00000214019.2,1,5,3,3,1,2,4,1,2,1,4,4,1,0,2,1,2,6
ENSG00000214020.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000214021.16,974,589,938,990,288,383,2424,394,276,227,1650,1218,596,898,1041,383,823,1565
ENSG00000214022.11,3775,3522,3322,5661,5323,2832,6679,5003,1653,3501,4614,5179,2984,5748,3819,3146,3411,5751
ENSG00000214024.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214025.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214026.11,1784,1369,1665,2425,2102,1964,1133,1781,903,1494,1911,1104,1945,2262,1618,742,1042,921
ENSG00000214027.3,1,1,2,0,1,2,3,1,1,2,2,2,1,1,0,1,0,1
ENSG00000214029.5,111,120,191,351,150,67,317,301,135,93,91,339,112,101,170,82,200,173
ENSG00000214031.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214035.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214039.9,0,2,0,47,2,1,0,0,5,1,0,0,0,0,8,1,1,13
ENSG00000214041.4,0,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0
ENSG00000214042.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214043.8,0,3,2,4,3,1,246,1,0,0,33,21,0,1,8,0,0,18
ENSG00000214045.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ENSG00000214046.9,1682,1555,1420,2170,950,1747,1793,2386,1187,1394,1566,1430,1909,1955,1437,953,1312,998
ENSG00000214047.4,1,1,2,1,0,1,1,0,2,1,0,2,1,1,3,0,2,2
ENSG00000214049.8,1108,117,429,27,198,207,74,14842,323,2049,1152,653,1296,385,3534,2526,217,1294
ENSG00000214050.8,75,67,53,74,60,52,53,169,59,113,31,121,48,36,37,64,62,95
ENSG00000214051.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214062.5,0,1,0,0,2,1,2,3,0,1,1,1,0,1,0,0,2,4
ENSG00000214063.11,1798,1853,4856,3016,1770,3250,1797,3452,2425,3846,3009,3055,4652,1531,2026,1867,3463,1069
ENSG00000214064.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000214067.2,0,0,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
ENSG00000214070.3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1
ENSG00000214071.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000214073.2,0,1,1,4,1,2,0,0,1,2,0,4,1,0,1,1,0,0
ENSG00000214074.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214076.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214077.4,4,14,7,17,9,0,4,16,17,13,9,16,8,1,3,1,5,5
ENSG00000214078.13,9380,4453,5733,6315,4617,8716,7311,3902,4875,6802,4606,2851,4473,4838,6712,9904,3860,10265
ENSG00000214081.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000214087.8,1393,975,1165,881,754,1169,1868,1289,763,809,1600,1283,1347,578,811,925,724,2196
ENSG00000214089.3,0,0,2,1,1,6,4,2,2,5,3,1,7,4,3,8,2,10
ENSG00000214093.3,1,11,5,9,3,9,10,6,1,4,15,2,11,5,1,5,9,8
ENSG00000214097.5,1,0,1,2,0,4,0,1,0,0,2,2,0,1,0,0,2,2
ENSG00000214100.8,0,5,8,3,0,2,1,2,0,0,2,4,0,3,3,0,0,2
ENSG00000214102.7,3,3,6,1,1,1,8,2,2,2,0,7,1,9,5,1,5,7
ENSG00000214106.9,370,405,409,404,273,69,446,901,368,277,384,584,139,230,277,153,251,334
ENSG00000214107.8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,102
ENSG00000214108.4,1,3,7,9,3,10,6,4,6,4,2,3,8,5,4,2,2,11
ENSG00000214110.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214111.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214113.11,628,658,1337,1358,937,2155,874,1161,844,1228,684,1049,703,634,991,549,968,600
ENSG00000214114.9,1102,684,909,927,1010,1357,879,1203,440,704,1163,1044,997,1167,701,657,658,1332
ENSG00000214121.4,2,2,2,6,1,3,5,1,1,2,2,6,3,7,1,10,11,9
ENSG00000214124.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENSG00000214125.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
ENSG00000214128.11,4,13,26,1,0,24,7,2,7,48,907,32,6,17,10,9,11,78
ENSG00000214132.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000214135.8,609,495,634,920,269,207,1415,634,410,260,1761,739,443,379,636,431,465,1124
ENSG00000214140.11,38,20,42,68,29,76,46,85,34,48,40,89,39,26,75,34,54,43
ENSG00000214141.4,1,0,0,0,0,0,0,2,0,0,1,1,1,2,0,0,0,1
ENSG00000214142.2,1,0,0,2,0,0,2,4,0,0,1,2,0,1,0,0,0,0
ENSG00000214144.3,1,0,2,1,0,1,0,2,1,6,1,3,0,0,0,1,0,3
