,TCGA-2L-AAQE-01A,TCGA-2L-AAQI-01A,TCGA-3A-A9IB-01A,TCGA-3E-AAAZ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A5VM-01A,TCGA-FB-A78T-01A,TCGA-IB-7651-01A,TCGA-IB-7890-01A,TCGA-IB-A5SS-01A,TCGA-IB-AAUO-01A,TCGA-IB-AAUW-01A,TCGA-PZ-A5RE-01A,TCGA-US-A779-01A,TCGA-XD-AAUI-01A,TCGA-2J-AAB6-01A,TCGA-IB-AAUQ-01A,TCGA-LB-A7SX-01A
ENSG00000005379.17,697,590,665,822,425,268,1819,574,570,391,683,1943,449,571,521,152,587,1452
ENSG00000005381.8,16,12,20,14,21,33,22,30,21,33,10,19,112,6,13,18,13,17
ENSG00000005421.9,39,7,22,2,7,38,21,9,1,2,18,16,80,48,66,12,27,150
ENSG00000005436.14,537,498,585,710,678,389,590,1374,435,393,493,850,350,468,613,367,439,544
ENSG00000005448.17,963,501,1252,438,503,934,563,1126,1029,1479,753,748,1406,617,810,670,607,696
ENSG00000005469.12,837,1014,888,1030,894,487,727,1125,945,659,408,1407,819,683,761,411,692,946
ENSG00000005471.19,114,805,82,110,79,110,116,87,118,245,47,203,141,55,207,50,70,114
ENSG00000005483.21,3564,3574,3907,4995,3237,811,5154,9566,3893,3813,3744,4604,1677,2252,3860,2284,2362,4086
ENSG00000005486.17,8916,4340,5935,5629,6041,8102,7183,7591,3922,7835,5629,4351,13592,7203,6968,5922,5462,4998
ENSG00000005513.10,68,177,98,584,177,92,259,207,30,49,99,434,164,275,232,38,137,126
ENSG00000005700.15,1877,2885,3219,3483,4244,1489,3463,8786,3590,2763,1439,4501,2491,1840,2609,2690,2519,1979
ENSG00000005801.18,914,822,696,1474,909,669,1686,1158,546,584,1003,1515,916,1543,1840,682,895,1462
ENSG00000005810.18,3112,3219,2544,3243,3685,1342,2114,5426,3241,2308,1910,4209,1938,1619,2082,1743,1767,2732
ENSG00000005812.11,1901,2047,1585,2943,1533,1092,2001,3388,2491,1586,1206,3139,1511,1275,1698,1675,1186,2098
ENSG00000005844.19,1014,376,494,588,1275,904,1007,2201,450,848,536,1240,741,197,874,271,350,631
ENSG00000005882.12,677,639,758,1254,769,615,790,1221,583,890,360,1582,1502,1010,804,403,482,566
ENSG00000005884.18,43144,33141,76567,17843,41718,30771,26326,30217,45731,58856,52388,15469,43544,29211,44494,35128,29567,10379
ENSG00000005889.16,1010,1019,1426,1391,1355,470,1454,2780,1207,1553,1045,2636,864,1076,1222,549,671,1977
ENSG00000005893.16,6851,11758,10161,6258,9036,4464,6569,22224,11063,10746,5423,13580,7649,5507,9155,6685,7230,7960
ENSG00000005961.19,19,28,28,39,8,18,36,55,8,21,29,53,43,23,22,12,15,16
ENSG00000005981.13,11,17,10,1,42,19,8,8,23,3,6,52,46,26,24,46,12,60
ENSG00000006007.12,4187,3729,4691,3814,4398,1610,3108,6682,4967,4302,2830,2818,4224,3661,2830,2626,2164,2650
ENSG00000006015.18,1539,1454,2021,1871,1098,2568,1807,954,253,1208,2042,1377,2813,2384,1070,855,1275,1976
ENSG00000006016.11,161,310,458,134,232,122,225,371,2646,535,79,377,38,31,649,998,182,166
ENSG00000006025.12,1714,1560,1075,4022,671,561,7644,775,1133,969,2919,2746,3280,6428,5528,1234,1618,1766
ENSG00000006042.12,1511,3962,3737,3460,1988,2154,3670,3747,4868,3081,1297,6733,4227,7961,2269,957,2156,4493
ENSG00000006047.13,7,29,77,39,8,10,25,10,11,5,19,40,15,13,149,6,6,511
ENSG00000006059.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006062.17,828,890,890,1004,982,598,1167,1483,444,602,1112,1657,1406,808,1109,201,805,633
ENSG00000006071.15,325,3450,465,99,2323,2285,1350,1512,1992,50,683,8513,1123,3383,3010,5055,6156,574
ENSG00000006116.4,0,1,0,0,1,0,1,2,1,0,0,8,0,0,1,1,0,0
ENSG00000006118.15,2087,1735,5320,2022,3042,8409,2140,4006,2219,8856,4010,1578,2232,1178,2036,7030,2098,2764
ENSG00000006125.18,15497,15324,20396,18695,11646,10542,16117,23540,13519,21418,12527,14412,17191,11708,38116,11032,10461,16078
ENSG00000006128.12,4,42,33,865,1,18,19,0,20,11,18,124,39,11,17,0,17,14
ENSG00000006194.10,2104,1324,1638,2096,1701,1322,2269,2592,1320,969,1843,1935,1935,1995,1589,961,1022,2155
ENSG00000006210.7,1627,3260,10994,1082,6383,7466,3146,5003,1649,9830,26399,4162,4919,2398,3014,1377,2709,5711
ENSG00000006282.21,4216,3031,5985,4385,2287,2775,5185,5232,2377,3952,9803,3620,3356,7836,4511,2490,3317,3164
ENSG00000006283.18,17,12,62,63,21,66,38,19,53,23,151,138,60,10,30,15,27,4
ENSG00000006327.14,7575,4657,16181,4936,11547,5814,7000,7101,8099,6255,16310,4558,13067,10045,4247,12514,5165,3044
ENSG00000006377.11,56,25,2,1,53,1,1,3,3,43,14,1,1,2,3,3,0,93
ENSG00000006432.15,1098,427,545,998,769,974,903,965,419,508,689,757,562,580,1528,2081,713,707
ENSG00000006451.8,2921,3319,5925,5039,3937,3500,3968,5262,6810,5403,3581,3000,6030,3505,8715,16022,5518,3019
ENSG00000006453.14,6311,3933,3500,6612,4535,2939,10065,6241,3228,5059,5137,3377,36545,7987,5191,3236,2813,3033
ENSG00000006459.11,1555,1642,1496,1958,1197,693,2718,2550,1351,901,1885,2112,1080,1036,1597,1189,953,2751
ENSG00000006468.14,1067,1231,2095,1017,1346,459,1049,3519,3733,2263,536,1688,1759,585,717,1383,1546,407
ENSG00000006530.18,1074,829,1132,1522,1202,652,1498,1493,734,981,1318,1280,570,924,1096,1006,1049,1696
ENSG00000006534.16,7168,5664,5081,7455,3569,1736,5605,6836,5376,17330,5737,5076,6949,10168,4195,3093,4236,3744
ENSG00000006555.11,3833,1788,1384,1441,1347,949,2094,1880,719,1323,1864,1751,2333,2933,947,984,1366,2385
ENSG00000006576.16,1223,986,1936,1196,1389,612,830,3339,2491,2076,1011,1103,1154,319,1133,1113,944,807
ENSG00000006606.9,23,24,83,11,37,87,137,45,31,43,18,12,30,22,78,27,22,17
ENSG00000006607.14,3239,2925,1655,3163,2767,697,3423,4660,1725,2762,1802,2733,2473,2613,2051,663,1144,3784
ENSG00000006611.17,3557,5984,3959,9205,2413,193,7214,2719,2299,2783,5313,4659,3547,8680,3896,552,2253,5328
ENSG00000006625.18,875,777,808,1503,1390,1649,837,841,485,932,975,681,1489,1097,1099,815,803,1689
ENSG00000006634.8,379,315,357,678,711,446,456,861,275,367,414,369,532,249,430,415,362,568
ENSG00000006638.13,108,119,328,140,102,230,71,379,166,290,152,333,119,159,217,120,187,65
ENSG00000006652.15,440,304,452,563,411,525,853,451,173,217,683,546,449,364,1052,586,552,747
ENSG00000006659.13,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,1,0
ENSG00000006695.12,524,503,531,1323,599,456,497,1448,407,600,369,849,439,414,437,502,344,645
ENSG00000006704.11,4059,2085,2673,3056,2645,2193,2476,3070,2657,3096,2506,1298,3577,3107,2440,2105,2799,4133
ENSG00000006712.15,4059,3458,3960,3692,4121,4426,3980,4815,2385,7819,3604,3735,6165,3546,5769,4460,10841,3684
ENSG00000006715.16,2879,4048,4374,3486,3746,1930,3576,7542,4383,4029,2490,5849,3884,2785,2889,2722,2626,3704
ENSG00000006740.17,217,529,374,459,304,134,453,2146,314,268,805,1387,425,597,337,162,380,797
ENSG00000006744.19,2085,2650,2582,4342,2742,2959,2827,6138,2081,2870,2162,3342,2082,2943,2504,1927,1982,2456
ENSG00000006747.15,257,581,1663,2656,437,118,1098,3316,481,1662,305,1986,2075,305,829,173,721,680
