,TCGA-2L-AAQI-01A,TCGA-2L-AAQJ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPY-01A,TCGA-FB-AAQ3-01A,TCGA-HZ-7926-01A,TCGA-IB-7644-01A,TCGA-IB-7654-01A,TCGA-IB-AAUO-01A,TCGA-FB-AAQ0-01A,TCGA-H6-A45N-01A,TCGA-HZ-8637-01A,TCGA-LB-A7SX-01A,TCGA-US-A77J-01A
ENSG00000135686.13,1658,2248,1675,1908,1875,855,3383,2020,3174,1741,1589,1503,3742,3117,2114
ENSG00000135697.10,303,130,210,113,154,316,207,476,296,110,142,29,71,152,22
ENSG00000135698.10,426,560,859,518,536,751,1061,909,693,522,488,284,902,837,604
ENSG00000135702.14,38,9,0,4,13,1,2,43,19,6,51,11,94,4,2
ENSG00000135709.12,863,2954,1153,1183,2015,716,1646,1754,4589,621,1136,701,3011,947,1259
ENSG00000135720.13,5357,5047,3794,5558,2620,864,10358,9945,11301,3187,3165,2362,8291,4767,1192
ENSG00000135722.9,197,273,127,252,434,136,113,519,200,446,810,192,445,630,194
ENSG00000135723.14,1180,1342,750,1335,1829,1179,1642,1301,1312,1404,1680,1078,2439,2856,1502
ENSG00000135736.6,483,272,422,631,456,220,470,512,556,754,166,347,447,860,568
ENSG00000135740.17,53,59,28,81,113,41,85,33,43,208,128,43,133,460,56
ENSG00000135744.8,1430,2025,920,3435,2199,671,28316,716,689,617,393,1637,1029,824,4507
ENSG00000135747.11,4,0,2,4,1,1,3,1,2,2,5,1,3,7,1
ENSG00000135749.19,942,1415,545,952,1500,449,2527,1387,1274,865,1053,969,1792,1549,878
ENSG00000135750.15,4198,4182,2740,1916,2253,2960,9798,9568,6333,2912,5786,1607,2939,2467,1006
ENSG00000135763.10,543,526,881,619,327,178,1497,843,1077,475,491,235,1388,814,457
ENSG00000135766.9,397,214,263,264,150,35,532,291,261,126,175,125,423,204,77
ENSG00000135773.13,575,2868,18,436,412,631,750,4944,7074,38,943,143,125,641,102
ENSG00000135775.14,1304,905,1071,1280,950,458,2044,2080,1901,688,1016,662,2464,1547,695
ENSG00000135776.5,1610,978,907,991,506,781,2334,1781,1210,667,706,705,2605,1198,579
ENSG00000135778.12,1740,1256,1020,1745,1568,2448,2711,2961,1586,1863,1477,1067,2640,2546,1327
ENSG00000135801.10,1290,1618,1492,1539,966,583,2542,2606,2300,1505,1086,694,2519,1684,979
ENSG00000135821.19,15098,28020,31911,26317,24727,14600,26002,31303,31641,13742,9708,15563,72705,22173,21071
ENSG00000135823.14,2167,2518,2775,1642,1881,1266,2851,3358,2768,2144,2120,1180,5538,2516,1280
ENSG00000135824.12,5,2,4,22,5,2,9,5,11,8,8,13,31,29,10
ENSG00000135828.11,1316,993,668,993,805,706,1675,1499,2055,673,926,817,1695,951,717
ENSG00000135829.17,8536,7212,10408,6564,4735,2438,15882,12472,12804,6101,5040,4324,14077,8677,5381
ENSG00000135835.12,167,102,111,308,133,51,179,125,268,151,74,296,570,336,193
ENSG00000135837.16,2843,1960,2738,2351,1758,1236,5883,5553,4902,1435,1835,1469,8130,2584,1335
ENSG00000135838.13,440,587,897,657,784,420,660,756,890,502,276,567,5720,704,637
ENSG00000135842.17,2471,1189,3278,6758,1066,372,3124,2735,3467,642,453,1081,5410,1170,1610
ENSG00000135845.10,1557,1893,1148,1836,1308,2165,3957,3765,2842,1636,1151,1112,2750,1789,1229
ENSG00000135862.6,13528,16634,12356,22403,8300,2864,24902,18874,22900,8403,5534,7650,25295,8830,7120
ENSG00000135870.12,1198,1791,1392,1430,1271,822,2675,2174,2006,1619,1555,920,3014,2025,1534
ENSG00000135898.10,6,13,15,18,34,2,54,40,34,14,8,33,137,27,43
ENSG00000135899.19,1475,1214,2042,2736,1867,1641,2505,2189,3480,3439,1638,904,5097,1268,2088
ENSG00000135900.4,1144,1133,1702,1109,846,966,2133,2249,1539,1075,865,590,3002,962,780
ENSG00000135902.10,6,1,4,1,1,0,1,0,0,14,0,1,5,0,3
ENSG00000135903.20,3,0,1,2,0,0,0,0,2,0,2,0,1,0,0
ENSG00000135905.20,604,555,957,636,941,185,1418,1028,1086,566,96,805,6065,408,1598
ENSG00000135912.11,1359,1011,985,1185,1259,539,2058,1425,1520,890,1243,799,4036,1877,663
ENSG00000135913.11,295,180,359,434,157,46,898,755,671,90,187,164,1045,392,90
ENSG00000135914.6,135,222,35,285,75,80,106,286,205,27,23,48,187,41,33
ENSG00000135916.16,17899,7842,6566,14294,7552,4461,13370,16570,17215,5323,5029,8740,8516,4986,7278
ENSG00000135917.16,1696,189,192,236,1529,597,859,256,302,359,677,286,253,246,152
ENSG00000135919.14,1253,2196,3583,4335,1497,547,6761,957,2207,590,773,3022,4486,470,10004
ENSG00000135924.16,7308,5901,3230,4988,5324,3954,8828,6591,12941,4433,4809,3940,8090,7803,4042
ENSG00000135925.9,1187,58,1247,885,478,1238,949,70,117,925,316,213,538,2444,179
