,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,MAGEH1,MAGEL2,CSAG1,CSAG2,CSAG3,CSAG4,TRIM28,NDN
MAGEA9B,0.01716680585387955,-0.02205400636387304,0.8228674023150807,0.04000504589135586,-0.00498354188041633,-0.010500431943182821,0.2937365590418174,-0.018855835595297753,-0.004298970026696599,0.6917842775905584,1.0,0.5223453348064816,-0.015648301459562624,-0.019573781127768936,-0.0328261358183593,-0.022949397530971784,-0.023241067495246806,-0.01674196632637471,-0.008624335282764831,-0.025229248379089853,-0.017735199761937222,-0.01853805861654579,0.5181967075756243,-0.013772741617581219,0.00875836816771921,0.007448935900100719,0.4808075678256771,0.11051246777071735,0.46345189214780796,0.45211034017134494,0.03244268417775158,0.031209950022401994,-0.024788317273974177,-0.04639094636828294,-0.11056753728949174,0.028037667971411273,0.38906541123270083,-0.04720626109076393,0.39139400520542295,0.11872110137485932,-0.05690958267195746,0.31805786260874974,0.17264919519647753
MAGEA10,0.1826961921484459,-0.00029302050677361093,0.41398097239913967,0.09962430910954927,0.17238607968341768,0.3535173393097597,0.14598755078090492,-0.028793928417193037,0.0893654611474115,0.3535652327860706,0.5223453348064816,1.0,0.13556571850762317,0.11448655397723721,-0.03746294997824524,-0.022681885864624298,-0.038406268082984606,-0.039802356458568756,-0.020503497644840173,-0.027401012624177615,-0.028715665325364757,-0.0321114805828951,0.2686541676060828,-0.03274332062244906,0.028057906166281375,0.16963362847230215,0.3634343708800892,0.04370997556381474,0.25110955374590804,0.28403298745106065,-0.057859199293865564,-0.059073934267679026,-0.00924476239514848,-0.09527382771190135,-0.0022633052365722654,-0.023874349295655163,0.1624480763681901,0.07973504462999359,0.1966307129555893,0.05454394561952045,0.03322766919501712,0.1813948691625261,0.1365409659763756
MAGEA11,0.8298479033497561,0.17883035335583777,-0.045977888946424496,0.12736675798972202,0.8387700078862657,-0.01895353781428625,0.08434871623240989,-0.039245270339299455,0.057034970849739894,0.07901669932398331,-0.015648301459562624,0.13556571850762317,1.0,0.1775514493481812,0.11450246039588609,0.3335627428642686,-0.041376030724143864,-0.03382584974495749,-0.02532450599573346,0.20303622924836798,-0.035736072491700355,0.10743758253670875,0.008944689434775253,0.04301834841346772,0.27286892166194404,0.841618151010101,0.01960901839179122,0.1423635145394768,0.06626793214491032,-0.022377600020774352,0.02916855392298992,0.019346167588158512,0.08632092162466487,-0.030448278490419235,-0.027153606549106913,-0.006424193753211836,0.06014888204367309,0.12836122710334757,-0.008860993636538353,0.027111171225932536,-0.08014522509301508,-0.01633062174022499,0.07661131713535396
MAGEA12,0.09479217984995335,-0.024573717239324624,-0.011071329896310579,0.47035760261963133,0.09024847227682463,-0.03042578707825507,-0.01887522065416466,-0.09601670592792062,-0.06731026316383452,-0.0684619935350503,-0.019573781127768936,0.11448655397723721,0.1775514493481812,1.0,0.15078638106115055,0.29017940480276994,-0.03101885359959596,-0.014214937486045381,0.131898961039594,-0.05562953752401038,-0.06194942353817068,-0.013447270597676045,-0.09623742926202579,-0.023155743487923913,-0.020545303130231275,0.09696878202558523,-0.14334258945440106,-0.048370943388527037,-0.0033969297330087287,-0.12008369585778532,0.05217932843558294,0.014405876519567143,-0.1213582189196499,-0.10214510919762043,-0.03354998056632092,-0.0005611003537258793,-0.14113927956872294,0.9073998006555705,0.012832952446778198,0.017679220684301004,0.2853804586272304,0.05155357249885888,-0.08692391176861618
MAGEB1,-0.04158206529642953,0.20927695268003754,-0.010157875997309596,0.1716686291758459,-0.030007914129234214,-0.05317507138512673,-0.02027491865314776,-0.09548753891568511,-0.052885109223588855,-0.04755230348513029,-0.0328261358183593,-0.03746294997824524,0.11450246039588609,0.15078638106115055,1.0,0.34703856594442434,0.021303863611612968,0.010353788537001845,-0.04367435994935649,-0.08333401521836183,0.0793622940357275,0.1369998768245653,-0.12890872821364566,0.29621022698481286,-0.01253392854656832,0.00947524768337085,-0.0764387928423634,0.03700522319927046,-0.011851724965971562,-0.05992670070907799,0.015872120699663286,0.0231433205279423,0.011420608416715494,0.11534935686652209,0.025509259094064443,-0.059860419601974184,-0.08219300076885912,0.057055053518541815,-0.04872454265888736,-0.05331267914790666,0.046660802259183634,0.09297246191180121,-0.03886950431562405
MAGEB2,-0.020160050760228636,0.05678708396042789,-0.026481083660852597,0.30759509912269556,-0.02211923493695567,-0.02691083524243534,0.052246467950826506,-0.047285347014445,-0.04258602292584061,-0.033833999244658665,-0.022949397530971784,-0.022681885864624298,0.3335627428642686,0.29017940480276994,0.34703856594442434,1.0,-0.0325275681172395,-0.037462098113624775,-0.016924126362498224,0.009639170173596301,-0.013311851394274812,0.22085116703386812,-0.10865147142570317,0.034029444369178825,-0.0008262420301503582,-0.0104476910592304,0.032334653167980905,0.09047559263426924,0.01890469663645988,-0.067740916571933,0.02146398862301159,-0.017526922449396704,0.08366704102602406,-0.05304056501037457,-0.05375578385014158,-0.0700917650805017,-0.024918973930772664,0.15776888134694322,-0.013337721875177603,-0.014217964813426215,0.07535756945123996,-0.06540349011663296,0.030311208848308874
MAGEB3,-0.021363317301816682,-0.0634371267126556,-0.0477526239567924,-0.039228087469455,-0.022129104181359178,-0.03735508549888076,0.013039142461184502,-0.04036827467005061,-0.03515778349660892,-0.01889059091377049,-0.023241067495246806,-0.038406268082984606,-0.041376030724143864,-0.03101885359959596,0.021303863611612968,-0.0325275681172395,1.0,0.361875270745365,0.1395342111757936,-0.03827278229838441,-0.06309263342990462,0.04244414705277488,-0.04671098735480421,-0.026851689377049282,0.07078844060526406,-0.01223492871054428,0.02392159743924289,0.04861671647731888,0.1362737435893191,0.07893194200801532,0.02121584969704467,0.06131457261684671,0.1075728249970253,0.13700561719331006,0.06858125049134828,0.1606691298891362,-0.021870177315795433,-0.06969748799777603,-0.03363248052257073,-0.040104858753947856,-0.07634709032272347,-0.07305326074898827,0.07676246112322069
MAGEB4,-0.02297779975915763,-0.05756713693416593,-0.04416335284806423,-0.04782443055682815,-0.01776529813987716,-0.02690915912829795,-0.01314254132596398,-0.0483213150922146,-0.03918989122179316,-0.017287673379758776,-0.01674196632637471,-0.039802356458568756,-0.03382584974495749,-0.014214937486045381,0.010353788537001845,-0.037462098113624775,0.361875270745365,1.0,-0.02210133942636354,-0.06787942217363652,-0.04544949342545459,-0.04750695704153473,0.12191567015505893,-0.035295014321866776,-0.02442417151775984,-0.022158730742676293,0.03877858310094673,0.18524802416930264,0.22817818504281326,0.09595566495748627,0.01800143766145055,0.023101998596077273,0.11239777189049183,0.20994543483895003,0.026706285469711943,0.14176114371614648,-0.024977447493462143,-0.011063621041262163,0.3692027155407283,0.3773473327466007,0.003542107219484934,-0.01052581241140106,0.11234777537897873
MAGEB5,-0.004586464878295652,-0.02965471800089257,-0.0227499897412127,-0.018785685692526415,-0.006227137425684111,-0.013861789348728573,-0.008185290088584866,-0.024891892298389486,-0.04236482257269505,-0.013008494882721773,-0.008624335282764831,-0.020503497644840173,-0.02532450599573346,0.131898961039594,-0.04367435994935649,-0.016924126362498224,0.1395342111757936,-0.02210133942636354,1.0,-0.03496691393432924,-0.023412522883613614,-0.024472389790000278,-0.019100209810861316,-0.01818161806013376,-0.010512084995209961,-0.009190265779169787,0.031115416069588012,0.042208777191490146,0.02122938652898934,0.03796394956014718,0.08612402610972611,0.06113128514848502,0.022836989372103107,-0.02449287446156756,-0.0232173794708454,0.10584135598404722,0.05334902943788555,0.107126547904884,-0.015077378392117119,-0.018368380671525047,0.020501899210659737,0.12153247030937343,0.01921499870333106
MAGEB6,0.0187156616653447,-0.06870957439300374,-0.06511369619509967,-0.025026511690611906,0.01242426145102516,-0.04257344919837656,0.09487440937840112,0.11207152805000296,0.030784437638622167,-0.03205553699472066,-0.025229248379089853,-0.027401012624177615,0.20303622924836798,-0.05562953752401038,-0.08333401521836183,0.009639170173596301,-0.03827278229838441,-0.06787942217363652,-0.03496691393432924,1.0,-0.05237978164018961,0.16446949251427143,0.07824492382973197,0.2471041773002993,0.12112510618395889,0.04627447359020683,0.0076247806618904915,0.2574105788278016,-0.017168203505130417,0.05841107759289441,0.17676155746789596,0.21609899455596546,0.08505042957440234,-0.005623882028512467,0.14380523274188337,0.21695893186433926,0.047386601923318276,-0.09444663077446208,-0.026535218288111194,-0.035242128206078645,-0.1296547467927371,0.0622932465040522,0.04314707018843348
