,SampleType,Gene,Expression,LogExpression
410,Tumor,TRO,12.239,1.121855182166855
411,Tumor,TRO,16.1447,1.2341298901809445
412,Tumor,TRO,11.5381,1.0982317293149515
413,Tumor,TRO,11.0119,1.0796117080067165
414,Tumor,TRO,4.7545,0.7600075943994371
415,Tumor,TRO,11.3921,1.0931449093729184
416,Tumor,TRO,14.0668,1.1780210233887132
417,Tumor,TRO,9.1983,1.008527783315729
418,Tumor,TRO,8.7062,0.9870492358770098
419,Tumor,TRO,11.4436,1.0949460422482364
420,Tumor,TRO,15.7515,1.2240537016746889
421,Tumor,TRO,7.4426,0.9264762134224607
422,Tumor,TRO,12.1754,1.1197638090956454
423,Tumor,TRO,6.8079,0.8925342424498366
424,Tumor,TRO,6.3489,0.8662223377669555
425,Tumor,TRO,6.9177,0.8985990424006719
426,Tumor,TRO,9.7125,1.0298908349312546
427,Tumor,TRO,8.6551,0.9847567762224342
428,Tumor,TRO,2.9147,0.5926984858481853
429,Tumor,TRO,10.0979,1.045240807192523
430,Tumor,TRO,9.8949,1.037223248382412
431,Tumor,TRO,3.3943,0.6428897029934719
432,Tumor,TRO,8.3972,0.9729984700150879
433,Tumor,TRO,9.5522,1.023343013970572
434,Tumor,TRO,8.6719,0.985511797605331
435,Tumor,TRO,11.4249,1.0942929020634817
436,Tumor,TRO,13.8927,1.1729734411236201
437,Tumor,TRO,6.5877,0.8801101515629367
438,Tumor,TRO,8.7769,0.9902011731606385
439,Tumor,TRO,9.8204,1.034243315722657
440,Tumor,TRO,2.9504,0.596641072587857
441,Tumor,TRO,6.4002,0.8692434572610617
442,Tumor,TRO,8.3593,0.9712433682353648
443,Tumor,TRO,8.1488,0.9613641336778947
444,Tumor,TRO,4.5265,0.7424501743585699
445,Tumor,TRO,8.0171,0.9550668860449303
446,Tumor,TRO,10.3052,1.0532782498417559
447,Tumor,TRO,10.9908,1.0788481592452368
448,Tumor,TRO,12.253,1.1223141979688063
449,Tumor,TRO,8.3618,0.9713593588781382
450,Tumor,TRO,8.9279,0.9968573940278497
451,Tumor,TRO,8.6176,0.9830667106245415
452,Tumor,TRO,8.9765,0.9989782068898319
453,Tumor,TRO,14.7279,1.1966707391969709
454,Tumor,TRO,7.5729,0.9331277578569706
455,Tumor,TRO,8.0088,0.9546669454644833
