,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN
MAGEA9B,0.03780413634902272,0.0024488739310669127,-0.015187329127424128,0.025459216692576465,0.04050770652920729,0.0506692054558884,0.06397300306577623,-0.04322449965834357,-0.03482833637680908,0.0446020228912441,1.0,0.02016829828411075,-0.0007821823121614337,0.020537947142469804,-0.022188389223045984,0.02755476071372185,-0.013971563409429929,0.09738885849299905,-0.040914427901269174,-0.024138025489409187,-0.04763558809897331,0.2199015557654413,-0.025887963107361595,-0.03224014227572043,-0.02400683944595389,0.02183003882496711,-0.00788775542680466,0.017107820264341978,0.014865353510897766,0.007317557537291133,-0.004621639346250154,0.017426768669289442,0.08396666348297371,0.1717432824354895,0.09668044031762547,0.07511592904444728,0.22799913073738737,0.24131670996164625,0.08129128494928396,0.06886824028209552,0.24729881921662525,0.22988605443242546,0.25275377526436,0.2580633645293518
MAGEA10,0.1354676850872564,0.022505564001767307,-0.027707372950842402,0.1204853914629432,0.33811796017069273,0.3690509415145254,0.15009381462189805,-0.0400157752311904,0.258733432378593,0.07529413546553722,0.02016829828411075,1.0,0.5543651742392739,0.10555406548804001,-0.018328635503703783,-0.006950207652010905,-0.0390004194953299,-0.05591030311802437,0.05844726101009001,-0.027175537988052716,-0.060316753654472886,-0.004205139263263705,0.03808627586075884,0.005767851094748471,-0.03675816489153027,0.42029624179903236,-0.026995648426348627,0.11809609291428666,0.06046747545260668,0.1844122330297442,-0.0006007734607986916,0.16289744097055267,0.14776916281387534,-0.01225317154938804,0.014163664090199585,0.047093561602416296,-0.14046507494594654,-0.08454352004879002,0.1089246928256066,0.0455732395985419,-0.00925315216845932,0.0017983759431055711,0.2618270756190162,-0.03092288580010866
MAGEA11,0.04748333421570169,-0.013134704600784444,-0.015198132040075,0.05747470665982534,0.2397109897763566,0.020477497333294053,0.08677770328360898,-0.035881316355864355,0.19507833624501944,-0.011036418765253233,-0.0007821823121614337,0.5543651742392739,1.0,0.042678437198401996,-0.00429459409337833,0.021129395683910077,-0.013981501534681693,-0.03334816419812195,0.0759564203332627,-0.024155195129886394,0.23171721731192474,0.02260710435479011,0.043556081189888796,-0.03226307504012783,0.08573712596705796,0.29211949985106367,-0.042276481247390724,0.06133344985710913,0.0064898871984336295,0.03173726973727268,-0.019185679725503117,0.10984728572925491,0.01142729664417063,-0.05399657820700433,0.15581127112622947,0.07020324637836758,-0.09306168155891659,-0.08503689167739169,0.0005263627521976366,0.019629743350248762,-0.0815309509264409,0.039317534728125755,0.20438701835190246,-0.07382572430579917
MAGEA12,0.49257150053220183,0.6994565404951881,0.12490258299588095,0.9956698439497754,0.9198827151517538,-0.05152011736937126,0.9872335069576799,-0.02840615918985846,0.2131076438305473,0.890468556782829,0.020537947142469804,0.10555406548804001,0.042678437198401996,1.0,0.16615459441282415,-0.0026856975855451028,0.0003298245005382099,-0.023971905157524783,-0.03416839853719453,0.011320177585700973,-0.03174945311244227,-0.020723969328581712,0.005958451015087528,-0.022411577493931575,0.07368788186941588,0.10693253911351719,0.0038860074654204655,0.9946885247449352,0.908842336654178,0.47266291534126587,0.6204006753390741,-0.04294729037854559,-0.11454040517953437,-0.10063048205924274,-0.045859142283991926,-0.012357075755546919,-0.005907544473411888,-0.11148468563273303,-0.044515188250171686,-0.02149635584756847,-0.07284690515030798,-0.04888513891582394,0.10347111239554783,-0.1209609479537763
MAGEB1,0.012153889488011084,0.6465444765826722,0.4690531005689979,0.15017363344193535,0.03641756531894817,-0.004535387925161468,0.1478397899465401,0.12644262469873926,-0.024565874293945987,-0.023096564185771253,-0.022188389223045984,-0.018328635503703783,-0.00429459409337833,0.16615459441282415,1.0,0.0018137814665905177,-0.014824376237139069,-0.03935403905128969,-0.046199066702313274,-0.025611390865187027,-0.050543225519052944,0.07698179987404262,0.20151600860142757,-0.03420805424764377,-0.018060351544165427,0.07987718040169807,-0.03498847546841816,0.1800562651910838,-0.023616329499991623,0.07761549146407444,0.39809551985458547,0.05198318038495905,0.06280211481551394,-0.03029766705615288,-0.027291013120162855,-0.05294916639907015,0.011758083559471041,0.0066199579640679185,-0.03384647781887645,-0.07346884520001916,-0.00436006908338763,0.04651231635550052,0.07558545771906486,0.002103145860126243
MAGEB2,0.05199056757969206,-0.006520742146155206,0.7831059033905173,-0.005474063543623965,0.010065898921663985,-0.03462099489647417,0.013271084092677634,-0.031390971318574636,-0.012303124088994977,-0.01767280686103066,0.02755476071372185,-0.006950207652010905,0.021129395683910077,-0.0026856975855451028,0.0018137814665905177,1.0,0.9038800043916697,-0.025649137712296904,-0.031230142625600112,-0.014284943938392069,-0.034122215474564295,0.09265125922675212,0.4314031249871617,-0.025926119553143206,-0.015629394946754464,0.028745871368610714,0.08416150944972203,-0.005415176261944608,-0.004889835506372422,-0.005963938996424571,-0.014517226495450328,-0.0097553693117313,-0.005240370394495515,0.1265525722385902,0.034012225399006356,-0.030674137805335035,0.0560119378145135,0.08126290784425015,-0.02081466564196468,0.1012566739603072,0.0964668054491059,0.08917503018636869,0.05052186836390419,0.028109568326859114
MAGEB3,-0.0267901196485425,-0.012188497573632846,0.7538845427666835,0.007247376023694897,-0.012177790368999207,-0.04639630880293625,0.0037254084010305876,-0.030693220212772744,0.10316464756784333,-0.014543422139282799,-0.013971563409429929,-0.0390004194953299,-0.013981501534681693,0.0003298245005382099,-0.014824376237139069,0.9038800043916697,1.0,-0.02478041314739448,-0.029090583520926805,0.06814626293601432,-0.03182600923203124,-0.01998902858781736,0.40401945115766735,-0.02154009442640206,-0.01745835593537201,-0.01332404724029239,0.12830640475006327,0.010341636457959004,-0.014870707458313953,0.005171938703213115,-0.01629030434431874,-0.04546216478493824,-0.03313723707621429,0.05539450508159835,0.030863741839927985,-0.046450460505752,-0.04341925811153473,0.041623636748590605,-0.03718600403546449,0.003437451818876388,0.019723953511159246,0.020590428982299992,0.04841777992009863,-0.037815072268295315
MAGEB4,0.006557470316685711,-0.0323566133114999,-0.02693673423326531,-0.028639534966623702,-0.02440469534348656,-0.057611710558991655,-0.021942578202670843,-0.01535738161388521,-0.007407442502877133,-0.03860819461495141,0.09738885849299905,-0.05591030311802437,-0.03334816419812195,-0.023971905157524783,-0.03935403905128969,-0.025649137712296904,-0.02478041314739448,1.0,-0.06460818060266997,-0.04281197648834236,0.19510277316286193,-0.025417577113877623,-0.016971181541508524,0.038069451646109635,0.0136827622951802,0.2087100378001037,-0.010806631062962209,-0.023925783747432827,-0.03947703381735902,-0.01724652247715341,-0.04324561540185493,-0.022345046441920938,-0.006777386454661274,-0.03793391683799829,-0.056575403204671595,-0.13148486706986548,0.06380532426314331,-0.0031887131044255612,0.04807775550385617,-0.032564134594871216,0.019869560193274786,-0.022848702917762916,0.09529792700764282,-0.05284742014356686
MAGEB5,-0.03155957573728386,-0.030951310165231748,-0.03162196337619192,-0.03436587640779939,-0.037714344468356566,0.10694393354269051,-0.03665277322464175,-0.04227439087312026,-0.0034870705481952306,-0.009891266941980913,-0.040914427901269174,0.05844726101009001,0.0759564203332627,-0.03416839853719453,-0.046199066702313274,-0.031230142625600112,-0.029090583520926805,-0.06460818060266997,1.0,-0.03673664339273434,0.04947522786157517,-0.002713524087647236,-0.042756501529459055,-0.012678889432527266,-0.01984521956827102,-0.07007271134706379,-0.0962100830238886,-0.02777305099018756,-0.033085221789004624,-0.029512088794453675,-0.05076752269135657,-0.09988904408081029,-0.009005429274457865,-0.17213209797496623,-0.07663082123410712,-0.06375727456707089,-0.1740499053268905,-0.14766866809900253,-0.018925786892560543,0.012061788785693733,-0.035815581745626976,-0.19180870735030767,-0.03490979026908584,-0.11252295101754306
MAGEB6,0.023838130451114842,-0.021057504911109748,-0.017530277595666853,0.0023577883890549462,-0.009541282098121707,0.044078722812220326,0.007037034931650594,-0.05302726045303676,0.03692675908691826,0.015452610512254671,-0.024138025489409187,-0.027175537988052716,-0.024155195129886394,0.011320177585700973,-0.025611390865187027,-0.014284943938392069,0.06814626293601432,-0.04281197648834236,-0.03673664339273434,1.0,-0.054984327777551724,-0.03453412244728534,-0.02613377748418518,-0.03721382733430179,0.7116881310067168,0.21110857207206676,0.662172844299824,0.023927039823315763,-0.018037503064741892,0.012300644300178042,-0.028144007221697413,0.04577404952340755,0.03440443593137978,-0.008144662737390429,-0.012781597937866804,-0.055703587188402126,-0.007544460822822928,-0.0465421691244288,-0.024459690854669543,-0.015050662728958122,-0.025745902935409074,-0.010031017364526723,0.05470633824881646,0.034055477074811935
MAGEB10,-0.031202368873917405,-0.041556283498741305,-0.034595418054150284,-0.0372490413009628,-0.036945218403559826,-0.08579055433258975,-0.033280117540800486,-0.05370672852409183,0.025396850785538994,0.007701037924263799,-0.04763558809897331,-0.060316753654472886,0.23171721731192474,-0.03174945311244227,-0.050543225519052944,-0.034122215474564295,-0.03182600923203124,0.19510277316286193,0.04947522786157517,-0.054984327777551724,1.0,0.08246126705225379,-0.032160187422185724,0.16077003442489493,0.06881255099398072,0.13539600133277707,-0.01007736992122569,-0.03200485023395565,-0.03570197174727625,-0.03224566313133523,-0.055541259414757606,-0.10065275278557982,-0.11128731000882437,-0.05425160330441103,0.23300743644747468,0.15053183679430268,-0.0933982633894891,-0.061877331164927406,-0.018801032410215586,-0.021607027207435344,-0.042914439952532094,-0.10237776383701647,0.03971946303613302,-0.10652312091053029
MAGEB16,-0.0473852234884403,-0.026100342421309822,-0.021728417014217245,-0.009386575918329755,0.06085206623258215,0.03253040146240906,0.08912743445507361,0.04791123389610881,-0.009166268998749871,-0.012205669910943335,0.2199015557654413,-0.004205139263263705,0.02260710435479011,-0.020723969328581712,0.07698179987404262,0.09265125922675212,-0.01998902858781736,-0.025417577113877623,-0.002713524087647236,-0.03453412244728534,0.08246126705225379,1.0,-0.0361900025636163,0.04709199355725266,-0.03738517116433257,0.019387829763024035,0.06459158152888551,-0.02945464775820788,-0.019094768489316655,0.01998914998712958,-0.03488391567258129,0.0642013668501014,0.12365433226682819,0.1351797611859914,-0.07928207350571048,0.017684128868388792,0.05966649082340374,-0.03313952284839694,0.09330079928688713,0.15129217702588368,0.14911137037225192,0.11426075916421073,0.19984627726796877,0.07699686965929904
MAGEB17,-0.009360971096435206,0.019621949774177458,0.3741578684438447,0.0025697012644250337,0.010109784285499683,-0.06311355542379023,0.005402186919007488,0.1447003238348604,-0.08848122798208911,-0.024595533750352304,-0.025887963107361595,0.03808627586075884,0.043556081189888796,0.005958451015087528,0.20151600860142757,0.4314031249871617,0.40401945115766735,-0.016971181541508524,-0.042756501529459055,-0.02613377748418518,-0.032160187422185724,-0.0361900025636163,1.0,-0.03530169197585327,-0.01436702395451736,0.04724327963219468,-0.008045052234633037,0.007090967855295581,-0.005611375953787314,0.021202313959189336,0.005018181750317936,0.08791140236457574,-0.029229667174237552,0.042667152873335425,0.06880777489249273,-0.0015455488099349803,-0.03744717924366185,-0.011369962086707656,-0.0677789023401253,-0.049773857957800524,-0.0649744867595604,0.0718333414398768,-0.017257213241938567,-0.08664103524506479
MAGEB18,0.029729647340502034,-0.028125620904814002,-0.023414452191425194,-0.02369481375334093,-0.011431362110092746,0.10500233320438304,-0.02608237631592695,-0.044060159203158304,-0.03205038798149717,0.010659274472192361,-0.03224014227572043,0.005767851094748471,-0.03226307504012783,-0.022411577493931575,-0.03420805424764377,-0.025926119553143206,-0.02154009442640206,0.038069451646109635,-0.012678889432527266,-0.03721382733430179,0.16077003442489493,0.04709199355725266,-0.03530169197585327,1.0,-0.0375732801460031,-0.020831646352133092,-0.02734829714345452,-0.03269002315349683,-0.00820170497636148,-0.033572646363020105,-0.03759076306529486,0.1716475755706126,0.16974939249427956,0.09543153616898409,0.20625254296464074,0.2780506095507737,0.05774743020078312,-0.03325649280679315,0.061288725170392334,-0.01922895664595776,0.09895020936648487,0.04036922610010346,0.1929570614244168,0.06213957528813086
MAGEC1,0.05872755435618155,0.03226208516780073,-0.018977532423841488,0.050516122270615076,0.033512303993602055,-0.09195170614451798,0.062127571128114026,-0.04761067254200757,-0.02759153044464111,0.025080758010478203,-0.02400683944595389,-0.03675816489153027,0.08573712596705796,0.07368788186941588,-0.018060351544165427,-0.015629394946754464,-0.01745835593537201,0.0136827622951802,-0.01984521956827102,0.7116881310067168,0.06881255099398072,-0.03738517116433257,-0.01436702395451736,-0.0375732801460031,1.0,0.366454858021752,0.8204759158686963,0.06758506144300735,0.02890432370023067,-0.007138945521332109,0.024449065741552475,0.03737955256644395,0.029542726756848933,0.02684288828005161,-0.003065311541617247,0.015368206967977572,0.033264816420230506,-0.05191506228995151,0.041336718111179276,0.09316312552328533,0.05300652731641408,-0.040373590735682585,-0.0013199399494714117,0.04026835260067352
MAGEC2,0.32816171514196224,0.014770708219794875,-0.02532347764594559,0.10390347144351796,0.22488492400263377,0.08197336410991722,0.1352956455217898,-0.002949943509860615,0.14312025196297615,0.09913543079609378,0.02183003882496711,0.42029624179903236,0.29211949985106367,0.10693253911351719,0.07987718040169807,0.028745871368610714,-0.01332404724029239,0.2087100378001037,-0.07007271134706379,0.21110857207206676,0.13539600133277707,0.019387829763024035,0.04724327963219468,-0.020831646352133092,0.366454858021752,1.0,0.2497406093939729,0.1200172126660264,0.062244913598999335,0.06765491433526971,0.023001089253697697,0.14265116720915028,0.09707670228521793,-0.04705571413135995,-0.042758503774938214,-0.05968411965002348,0.03849955836783424,-0.08928882474398744,0.11648479776746058,0.02437153441049167,0.0695135776310064,-0.079550625452904,0.14614581362295842,-0.03518126865819488
MAGEC3,-0.005582703380283478,-0.03526682572928543,0.04156667769936224,-0.011044089015622245,-0.02169906123025035,-0.07000172835533329,0.01296614760011075,-0.021269991819274126,0.07766843715065168,-0.016310029575577575,-0.00788775542680466,-0.026995648426348627,-0.042276481247390724,0.0038860074654204655,-0.03498847546841816,0.08416150944972203,0.12830640475006327,-0.010806631062962209,-0.0962100830238886,0.662172844299824,-0.01007736992122569,0.06459158152888551,-0.008045052234633037,-0.02734829714345452,0.8204759158686963,0.2497406093939729,1.0,-0.002089580398042854,-0.02683968822678753,-0.00532481267104278,-0.026598933697185707,0.04053805891725452,0.08976631444565303,0.07394564280991904,0.04298518993730241,0.09599350340875139,0.12867411934773967,0.04440204096263198,0.05862792919407585,0.15703772448115383,0.0901564348358681,0.05032408303419902,0.07738919233338566,0.08861170463061759
CSAG1,0.47841374685895044,0.7066979801338434,0.1314497207284484,0.9914182916426254,0.920019838846125,-0.04844748602551292,0.9835878113870646,-0.026910115598019285,0.22307538849731684,0.8786906587294437,0.017107820264341978,0.11809609291428666,0.06133344985710913,0.9946885247449352,0.1800562651910838,-0.005415176261944608,0.010341636457959004,-0.023925783747432827,-0.02777305099018756,0.023927039823315763,-0.03200485023395565,-0.02945464775820788,0.007090967855295581,-0.03269002315349683,0.06758506144300735,0.1200172126660264,-0.002089580398042854,1.0,0.9034763410166816,0.4774109628513323,0.6309066594757349,-0.03970277335672129,-0.1069798921397377,-0.10260780588321132,-0.05063383305629883,-0.021611288868546494,-0.018213012978068575,-0.10983443078101912,-0.05124005057715029,-0.019461067281495655,-0.07525193154332997,-0.05286573339052754,0.10192767240202372,-0.1210107341884374
CSAG2,0.4537812705690925,0.4996426066837306,-0.016164714134613102,0.9106707857539116,0.8779705646018569,-0.007133318761820647,0.9003566892209117,-0.02067725721145234,0.1915781525158366,0.8813616027656455,0.014865353510897766,0.06046747545260668,0.0064898871984336295,0.908842336654178,-0.023616329499991623,-0.004889835506372422,-0.014870707458313953,-0.03947703381735902,-0.033085221789004624,-0.018037503064741892,-0.03570197174727625,-0.019094768489316655,-0.005611375953787314,-0.00820170497636148,0.02890432370023067,0.062244913598999335,-0.02683968822678753,0.9034763410166816,1.0,0.5003473872595663,0.4697506257929053,-0.07481302267650607,-0.12530398374785434,-0.1511022178550494,-0.05258633948862613,-0.025768678162980712,-0.041619984715849934,-0.1401224020793334,-0.02107782995944292,-0.005922027400276541,-0.09240108483771713,-0.0895116956972867,0.08759133448484432,-0.14326380606319367
