,TCGA-02-0055,TCGA-06-0129,TCGA-06-0130,TCGA-06-0190,TCGA-06-0190,TCGA-06-0210,TCGA-06-0210,TCGA-06-2558,TCGA-12-0619,TCGA-14-1402,TCGA-16-1045,TCGA-19-2625,TCGA-32-1982,TCGA-32-2638,TCGA-76-4927,TCGA-06-2565,TCGA-12-0821,TCGA-14-0871
ENSG00000236077.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236078.2,1,89,3,5,1,4,45,164,2,2,2,4,1,1,11,0,55,2
ENSG00000236079.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236080.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236081.1,4,1,0,0,2,1,2,2,0,0,0,1,1,2,7,2,0,46
ENSG00000236083.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236085.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236086.4,0,4,7,1,1,1,3,2,6,2,6,2,3,3,1,2,5,0
ENSG00000236088.10,416,1816,398,282,189,669,740,832,489,401,415,572,200,654,232,704,791,112
ENSG00000236090.2,51,2,14,17,41,28,18,16,23,22,12,37,13,32,18,17,31,7
ENSG00000236091.1,0,3,1,2,0,0,1,1,0,0,1,1,0,2,0,0,0,0
ENSG00000236094.2,2,0,0,0,4,2,1,0,3,1,0,1,0,3,6,0,12,1
ENSG00000236095.1,4,4,15,9,4,0,4,5,10,10,5,5,1,6,1,2,9,1
ENSG00000236097.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236098.1,6,5,6,9,6,14,6,3,2,6,1,5,1,12,4,2,3,0
ENSG00000236099.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236102.2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ENSG00000236104.3,1381,1570,973,1220,1117,1776,1516,1486,1909,1118,1537,2833,504,2372,1213,2187,2245,216
ENSG00000236105.1,5,2,3,2,3,3,2,5,4,6,1,3,1,4,1,6,5,1
ENSG00000236106.2,1,6,9,8,10,30,22,37,16,89,44,33,8,52,30,67,82,3
ENSG00000236107.10,4,23,3,19,0,23,25,21,13,24,14,18,2,6,35,1,13,0
ENSG00000236108.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236109.2,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,4,0,0
ENSG00000236110.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236111.5,17,8,12,5,6,14,11,7,9,4,11,10,10,14,6,8,12,13
ENSG00000236114.1,2,14,17,9,0,2,3,7,8,15,7,18,7,14,4,57,11,0
ENSG00000236115.1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236116.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236117.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000236118.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236119.1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
ENSG00000236120.7,85,290,243,170,239,191,332,145,126,119,163,67,68,149,177,61,69,2
ENSG00000236121.1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
ENSG00000236123.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236124.1,1,5,1,3,3,3,2,7,6,3,3,2,0,3,0,1,2,1
ENSG00000236125.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236126.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236130.2,1,7,3,1,3,1,1,0,4,3,0,1,0,3,0,10,1,1
ENSG00000236131.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000236132.1,2,8,0,0,0,0,2,0,2,1,0,10,2,0,0,0,0,0
ENSG00000236133.2,3,3,1,1,0,0,0,2,1,0,1,0,0,0,1,3,3,0
ENSG00000236136.1,5,0,6,8,8,2,4,1,1,0,3,3,0,0,0,1,0,1
ENSG00000236137.1,5,17,9,5,8,6,14,10,30,6,10,8,1,8,1,10,9,0
ENSG00000236138.4,5,11,3,5,2,1,2,13,3,0,1,8,1,3,0,2,1,4
ENSG00000236140.1,0,1,0,1,0,0,0,1,3,0,1,4,1,1,1,1,0,0
ENSG00000236141.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236144.8,137,1068,256,374,152,403,187,337,320,203,209,362,172,539,225,983,385,54
ENSG00000236145.1,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236146.2,0,2,1,0,2,1,0,0,1,1,0,5,2,0,0,2,0,0
ENSG00000236148.5,11,8,5,3,6,8,3,9,9,18,7,7,3,10,7,9,12,2
ENSG00000236151.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236152.1,4,8,3,7,5,7,3,5,4,11,7,13,3,4,8,5,12,2
ENSG00000236153.1,1,1,5,2,0,2,1,3,10,2,0,1,1,1,1,4,5,0
ENSG00000236154.1,9,14,2,4,0,18,18,15,7,23,15,79,4,3,0,8,11,0
ENSG00000236155.6,9,19,18,13,4,14,8,7,55,22,43,6,7,12,1,9,14,0
ENSG00000236156.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236158.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236159.1,0,2,1,0,0,2,2,3,0,0,0,1,1,1,1,5,1,0
ENSG00000236160.1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
ENSG00000236162.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000236164.1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000236165.1,8,13,6,10,10,8,6,8,15,9,13,5,2,7,2,5,8,1
ENSG00000236166.1,5,11,11,6,7,1,4,10,10,1,1,1,2,1,3,7,5,1
ENSG00000236167.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236168.1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
ENSG00000236170.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236171.1,1,1,0,0,0,0,0,4,2,0,1,0,2,0,1,2,2,3
ENSG00000236172.7,0,0,2,2,0,0,0,127,10,0,0,0,0,0,0,0,3,0
ENSG00000236173.1,8,84,21,4,7,4,2,2,24,0,0,27,1,4,3,7,12,1
ENSG00000236175.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236176.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236179.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236180.2,3,1,1,0,1,0,2,1,1,0,2,1,1,1,2,1,0,0
ENSG00000236182.1,3,0,6,2,2,4,3,2,5,1,0,4,1,3,2,4,17,1
ENSG00000236184.1,2,10,4,6,2,6,3,6,5,1,0,1,0,0,3,4,1,1
ENSG00000236185.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000236187.1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236188.1,0,3,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0
ENSG00000236189.2,5,3,2,1,3,2,1,3,6,4,0,2,4,4,0,2,6,1
ENSG00000236190.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000236191.3,0,0,1,0,0,1,0,2,2,0,0,0,0,0,1,0,2,0
ENSG00000236193.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000236194.3,7,24,5,5,1,6,2,4,1,0,2,10,1,6,1,4,3,0
ENSG00000236195.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236197.4,7,38,5,11,5,28,591,404,50,1629,67,68,12,9,26,22,1318,5
ENSG00000236199.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236200.6,36,200,136,62,34,52,57,57,191,27,52,175,15,67,46,130,51,18
ENSG00000236202.1,0,2,0,6,2,1,2,2,8,2,0,0,1,2,2,3,9,0
ENSG00000236204.6,40,99,36,126,22,42,32,45,45,42,23,69,8,29,19,47,48,22
ENSG00000236205.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000236206.2,2,1,6,1,2,3,3,8,3,5,1,3,1,0,4,5,2,0
ENSG00000236208.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000236209.1,4,0,25,0,0,10,9,0,28,6,1,0,0,0,1,1,0,0
ENSG00000236211.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000236212.2,0,0,0,0,0,0,3,3,0,2,0,9,0,1,0,0,3,0
ENSG00000236213.2,7,2,10,3,4,0,1,1,2,3,10,3,2,0,2,0,4,0
ENSG00000236216.5,2,1,0,1,1,2,1,1,1,1,2,1,0,4,2,5,0,0
ENSG00000236217.4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
ENSG00000236226.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ENSG00000236229.1,3,11,0,2,2,9,2,5,6,3,4,2,3,5,5,5,5,2
ENSG00000236230.2,6,1,4,3,0,0,4,1,6,0,0,4,0,5,0,3,4,3
ENSG00000236231.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236232.1,2,2,2,0,0,1,1,0,0,0,0,2,0,3,0,3,0,0
ENSG00000236234.1,3,12,0,0,2,6,1,0,5,1,4,12,0,8,1,10,0,0
ENSG00000236235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236238.2,0,1,2,2,1,4,1,0,2,1,0,0,0,1,0,0,2,1
ENSG00000236240.1,0,0,0,0,0,0,0,0,0,0,6,4,0,0,1,0,0,0
ENSG00000236241.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ENSG00000236242.1,11,4,3,0,0,3,2,0,0,2,0,4,1,2,0,2,0,0
ENSG00000236243.2,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
ENSG00000236244.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000236246.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236248.1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
ENSG00000236252.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236253.7,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,3,0
ENSG00000236254.1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
ENSG00000236255.2,118,322,77,154,113,163,72,124,102,70,96,121,44,170,102,213,87,45
ENSG00000236256.9,1,6,9,3,4,2,6,0,10,1,3,8,1,6,1,2,3,2
ENSG00000236257.1,7,10,6,4,7,12,14,11,13,1,15,17,2,11,9,6,5,6
ENSG00000236258.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236259.1,2,5,1,1,6,8,5,3,4,7,0,3,2,2,6,3,10,1
ENSG00000236261.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
ENSG00000236262.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000236263.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236264.5,27,40,40,21,39,53,32,24,41,54,26,63,16,34,30,27,38,15
ENSG00000236266.1,7,6,9,1,7,5,4,3,3,6,3,9,0,0,1,13,5,0
ENSG00000236267.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000236268.6,11,2,2,1,0,0,3,7,0,20,1,2,2,1,2,2,5,3
ENSG00000236272.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000236274.1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0
ENSG00000236276.2,9,5,21,8,5,8,5,8,10,9,3,7,4,9,7,12,6,0
ENSG00000236277.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236278.2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3
ENSG00000236279.7,93,17,18,40,20,4,2,149,17,84,8,8,58,45,13,22,68,2
ENSG00000236281.1,10,8,9,10,6,12,15,11,6,29,14,21,4,13,16,6,15,2
ENSG00000236283.5,5,32,11,19,5,8,20,30,23,8,29,15,22,28,23,65,17,2
ENSG00000236284.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236285.1,4,1,4,3,3,6,3,3,3,1,5,1,1,7,5,1,2,1
ENSG00000236287.8,1445,2653,2366,2121,1794,2184,1722,2097,2175,2836,1421,2307,698,2926,1263,3426,3892,280
ENSG00000236289.4,0,9,1,2,0,2,4,9,28,1,0,1,0,2,3,2,10,0
ENSG00000236290.1,0,8,0,0,0,2,4,2,6,7,0,4,2,0,2,1,3,0
ENSG00000236292.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236295.1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000236296.8,8,3,35,22,6,0,2,22,0,21,7,0,12,4,14,24,21,4
ENSG00000236297.1,8,4,15,4,3,5,10,19,13,10,4,9,6,8,13,5,3,2
ENSG00000236299.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
ENSG00000236300.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236301.5,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
ENSG00000236303.4,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0
ENSG00000236304.1,11,2,7,12,12,5,10,12,12,1,23,3,14,21,8,22,6,0
ENSG00000236305.1,8,3,18,1,3,4,6,7,5,10,2,6,4,10,3,15,4,1
ENSG00000236306.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000236307.2,9,16,16,5,4,9,7,13,9,10,4,8,2,11,1,7,4,2
ENSG00000236308.1,8,47,20,7,12,29,13,28,28,2,12,19,4,12,9,42,13,0
ENSG00000236311.6,0,27,0,0,0,9,2,0,0,11,0,1,1,4,0,24,25,0
ENSG00000236312.3,37,24,20,15,8,17,15,20,7,19,13,31,15,12,19,12,30,11
ENSG00000236313.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236316.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000236317.1,0,0,2,0,3,0,1,5,3,0,0,1,1,0,0,3,1,1
ENSG00000236318.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000236319.2,1,4,6,7,4,8,9,4,6,3,5,4,4,14,11,6,3,0
ENSG00000236320.4,1,9,2,3,4,9,4,3,2,2,9,3,0,3,0,14,6,0
ENSG00000236323.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236324.1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000236325.1,3,11,4,0,4,4,3,0,4,2,1,2,0,4,1,4,4,2
ENSG00000236326.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236327.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236330.1,37,25,27,23,27,13,10,16,25,38,12,27,19,24,22,17,22,31
ENSG00000236332.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000236333.4,9,4,1,7,0,1,1,12,0,16,1,1,6,5,1,5,3,7
ENSG00000236334.3,9,4,3,4,0,1,5,4,3,8,1,1,1,6,3,3,2,1
ENSG00000236335.1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000236336.1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
ENSG00000236337.1,5,41,8,8,6,10,5,15,18,2,10,12,4,5,2,19,9,2
ENSG00000236339.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236340.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000236341.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236343.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000236345.1,26,2,7,86,35,11,3,2,4,5,6,7,2,2,0,1,6,64
ENSG00000236347.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000236348.1,16,2,3,3,2,2,3,1,3,2,3,1,1,3,1,0,3,2
ENSG00000236349.1,30,25,21,17,21,27,19,16,14,15,13,16,12,26,20,19,12,6
ENSG00000236352.1,6,17,6,3,1,3,4,10,7,5,4,2,2,10,3,6,0,0
ENSG00000236354.1,0,3,0,4,2,3,1,3,1,4,0,1,0,14,0,3,4,0
ENSG00000236355.2,0,2,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,1
ENSG00000236356.1,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0
ENSG00000236357.1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
ENSG00000236358.1,0,0,0,0,0,0,1,0,3,0,0,12,0,2,0,1,1,0
ENSG00000236359.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236360.2,5,0,1,0,1,1,0,1,0,1,1,0,0,2,0,4,4,1
ENSG00000236362.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236364.4,14,21,10,10,11,20,16,4,46,3,9,14,1,9,5,45,6,8
ENSG00000236365.1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
ENSG00000236366.3,0,0,1,0,0,2,0,1,2,1,0,7,1,0,1,0,2,0
ENSG00000236371.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236372.1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0
ENSG00000236373.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236375.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ENSG00000236376.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236377.1,1,0,1,2,0,0,4,4,0,4,1,0,0,1,0,0,2,0
ENSG00000236378.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236379.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236380.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000236382.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236383.8,51,135,256,46,67,89,89,69,108,28,98,44,30,96,13,119,31,10
ENSG00000236384.7,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
ENSG00000236385.1,23,0,22,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000236386.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236387.2,0,0,2,0,2,1,1,0,0,1,0,2,0,2,0,3,1,0
ENSG00000236388.1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
ENSG00000236389.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236390.1,0,3,0,2,1,0,1,1,0,0,1,1,0,1,0,1,0,0
ENSG00000236391.3,1,2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
ENSG00000236393.2,6,1,4,6,6,0,5,6,2,2,0,1,1,8,5,3,4,0
ENSG00000236394.2,0,7,1,0,1,2,0,1,2,10,0,4,2,1,0,9,0,1
ENSG00000236395.1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
ENSG00000236396.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236397.3,53,64,117,16,10,30,17,25,92,59,38,89,34,65,70,83,49,48
ENSG00000236398.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000236400.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236401.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236403.2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000236404.10,67,66,68,83,36,72,45,105,35,19,24,44,16,43,70,12,34,8
ENSG00000236405.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236407.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000236408.1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
ENSG00000236409.2,7,12,10,4,4,10,9,9,13,3,2,4,3,9,9,9,4,3
ENSG00000236411.1,7,42,4,4,5,13,2,9,16,7,11,4,7,11,1,4,5,3
ENSG00000236412.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236413.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000236414.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236417.2,0,0,0,2,3,1,0,4,0,0,0,0,0,1,1,1,1,0
ENSG00000236420.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236423.6,43,19,30,5,12,11,9,7,25,4,13,20,0,9,9,10,18,3
ENSG00000236424.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236425.1,0,2,2,2,0,2,0,0,0,0,0,1,0,1,0,4,0,0
ENSG00000236426.5,2,1,2,0,1,1,0,0,1,2,1,1,1,0,2,1,1,0
ENSG00000236427.1,1,0,2,1,1,0,0,0,1,0,0,1,0,2,0,0,1,0
ENSG00000236429.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236430.1,1,9,2,0,2,21,6,0,2,0,0,2,0,1,2,2,10,0
ENSG00000236431.1,17,49,48,15,13,10,14,4,39,11,10,24,2,2,2,20,9,7
ENSG00000236432.8,95,242,90,58,38,74,93,176,104,87,119,83,22,122,57,116,156,11
ENSG00000236433.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236434.2,1,4,1,1,3,4,1,2,1,0,0,5,0,3,2,1,0,1
ENSG00000236435.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236436.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236437.1,0,0,0,0,0,0,2,29,18,0,1,1,0,0,0,1,9,0
ENSG00000236438.7,14,38,20,21,21,36,31,11,44,11,32,23,5,28,7,21,11,4
ENSG00000236439.4,122,111,135,97,125,125,89,73,78,129,59,85,40,79,88,72,101,38
ENSG00000236440.1,0,0,0,0,0,2,2,3,0,1,0,2,1,2,2,1,1,0
ENSG00000236442.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236444.5,10,7,26,14,10,15,14,11,22,14,9,31,9,18,12,19,12,2
ENSG00000236445.5,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
ENSG00000236446.3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
ENSG00000236447.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ENSG00000236449.2,5,11,10,4,3,5,5,3,6,6,17,15,5,15,5,10,13,0
ENSG00000236450.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236451.3,3,39,0,1,1,3,1,1,4,4,0,1,1,1,3,3,3,0
ENSG00000236452.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236453.5,73,0,12,27,2,83,45,23,8,7,5,2,0,8,17,0,0,0
ENSG00000236456.1,11,12,9,14,13,10,9,9,10,10,15,7,4,13,11,15,15,5
ENSG00000236457.1,0,3,4,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0
ENSG00000236459.1,4,10,3,2,3,9,1,2,4,1,1,3,1,8,9,3,4,5
ENSG00000236460.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236461.1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236463.1,2,12,1,0,0,2,1,1,0,1,1,0,0,2,1,1,1,0
ENSG00000236464.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236466.2,1,1,2,3,0,1,2,6,1,2,0,1,0,0,3,2,2,0
ENSG00000236467.8,4,3,7,2,2,3,3,4,2,1,1,6,1,11,1,9,2,0
ENSG00000236468.1,24,14,6,15,10,17,12,9,5,27,8,12,7,21,16,15,22,9
ENSG00000236469.1,2,27,13,10,0,6,6,1,2,3,0,2,3,1,3,1,1,0
ENSG00000236471.1,2,7,11,2,1,7,0,4,1,3,2,3,3,10,7,9,5,0
ENSG00000236472.1,0,4,0,1,1,1,5,0,3,0,1,1,0,2,1,9,0,1
ENSG00000236473.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0
ENSG00000236474.1,0,5,0,0,0,4,2,2,1,0,2,1,0,6,1,6,0,0
ENSG00000236475.1,2,2,1,1,0,1,0,0,1,1,2,2,1,1,1,3,2,0
ENSG00000236476.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000236477.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236478.2,1,6,1,2,0,1,3,1,0,0,0,1,2,0,0,0,0,0
ENSG00000236480.1,100,37,126,54,59,115,75,31,84,55,43,137,35,117,76,53,69,12
ENSG00000236481.1,2,1,5,1,3,0,2,0,1,0,1,0,0,0,0,0,0,0
ENSG00000236483.1,0,28,0,3,0,1,4,4,3,2,4,6,2,4,2,6,3,3
ENSG00000236484.2,0,2,0,0,2,3,1,2,2,2,0,4,1,3,0,3,0,0
ENSG00000236485.1,2,3,1,1,1,2,0,1,0,1,0,3,0,0,1,0,0,0
ENSG00000236487.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236489.1,1,3,1,1,0,2,0,0,6,0,0,1,0,3,1,2,0,0
ENSG00000236491.1,2,12,1,6,1,12,1,2,8,1,0,15,0,1,1,3,19,0
ENSG00000236493.2,15,16,26,11,4,12,10,9,7,9,8,5,4,16,8,18,16,4
ENSG00000236494.2,9,244,16,6,7,12,500,2404,5,6,10,4,8,7,50,5,7,5
ENSG00000236495.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236496.2,41,6,14,37,28,21,36,26,45,2,23,10,9,69,11,20,71,9
