sample,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN,Category
TCGA-IB-AAUQ-01A,0.0,0.0,0.0,0.042825077577708065,0.0006390613613846023,0.0,0.033352755905511816,0.0,0.07513972262471538,0.0,0.0,0.0,0.12115274716303372,0.05099934571286142,0.0,0.23260543262480024,0.0,0.0,0.0,1.0,0.0,0.5242718446601942,0.010715891324623736,0.3405327573794097,0.14655433662646222,0.010218430228691414,0.04358830146231721,0.09131526104417671,0.0,0.012106111905107648,0.0,0.3535981390259594,0.522370390012184,0.2217789136125316,0.0,0.051361752516281826,0.09931406970353006,0.05889795044475154,0.24408307730570922,0.31931904429921115,0.09365693818572897,0.09159953262406986,0.397011723134988,0.2244865031067057,Medium expressed
TCGA-2J-AAB6-01A,0.0,0.0,0.0,0.038601503412934106,0.0,0.10623610623610624,0.020239370078740156,0.0,0.07493272614365556,0.0,0.0,0.0,0.0,0.0016941363409770686,0.0,0.07730111848157652,0.0,0.0,0.05827737710353975,0.0,0.0,0.0,0.0,0.0,0.0,0.05908257403730131,0.08703599550056242,0.0,0.0,0.006037770457724142,0.0,0.3541464209926162,0.31515284875680727,0.10726144670778756,0.061999303378613715,0.0,0.05346666816229011,0.03668956926251046,0.21249319063893593,0.23147273670147916,0.06477711548076893,0.06957927381025591,0.6653837324309729,0.1664387067649946,Medium expressed
TCGA-IB-8126-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07472572966259575,0.0,0.0,0.0,0.010041636051922605,0.0008451208873379861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00889076769262771,0.0,0.0,0.0,0.021794150731158604,0.006198478123018389,0.0,0.00301124248144723,0.03784326858673811,0.10176179845991469,0.15642413892258883,0.10052482111894653,0.061999303378613715,0.08940201302545886,0.08798191791270794,0.04030986628257781,0.10386882681848698,0.24445444211292713,0.08565185329605882,0.023012993402268356,0.13690946932385667,0.10237624821636779,Medium expressed
TCGA-HV-A5A4-01A,0.0,0.0,0.0,0.0,0.0,0.21106821106821108,0.0,0.0,0.07451873318153591,0.0,0.0,0.011722188141786468,0.0,0.0016824526420737788,0.0,0.0,0.0,0.0,0.05794578463068889,0.0,0.0,0.0,0.0035361770369923035,0.0,0.0,0.0,0.0,0.002055590784189389,0.0,0.0,0.0,0.28518196092914666,0.4117808346121562,0.19421223859076095,0.18460466736328804,0.05091770278271167,0.11544436841691999,0.0364560017128287,0.3006733148442929,0.3785300450925376,0.07480774431526944,0.09679601500522722,0.4934530154306068,0.2355812281653193,Medium expressed
TCGA-HZ-8637-01A,0.0,0.0,0.0,0.0,0.0018459218460137971,0.05124605124605124,0.0,0.0,0.07224177188987788,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5128939828080229,0.0,0.0,0.0,0.0,0.0,0.0017177634183492025,0.0,0.0,0.0,0.08394263217097862,0.005984464172479392,0.6188024925494446,0.032007826173352794,0.0,0.21992357324887846,0.22125459938036893,0.1143727599492492,0.08951584813653779,0.08629366489046773,0.10788399196850218,0.05662066683535434,0.17380688080835643,0.4165169878322269,0.08609583774893789,0.06625405220202588,0.3733305758211352,0.14487333765043725,Medium expressed
TCGA-IB-AAUT-01A,0.0,0.3830687830687831,0.0,0.0,0.0,0.0,0.0,0.0,0.07203477540881804,0.0,0.0,0.00377403782039314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02053264085995531,0.0,0.0,0.0,0.041760404949381325,0.0019868949482139083,0.0,0.0058008452878640804,0.0,0.26284689766757957,0.3663186614191402,0.2775272682169261,0.05956112852664577,0.22128478389579634,0.14711886841131142,0.02820328162407303,0.2378731358507107,0.40155368347305265,0.1421768327772554,0.07436284888471101,0.4099585462988995,0.24143628219942673,Medium expressed
TCGA-XD-AAUH-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07141378596563859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5977564102564102,0.0,0.0,0.0,0.0,0.0,0.0,0.023213528092611676,0.0,0.04147919010123734,0.0,0.0,0.0,0.0,0.28368565262309076,0.4055390570105377,0.2618911648651512,0.0,0.0,0.26364288999315755,0.11892481071296494,0.2587103518934185,0.6393592944546139,0.18068319753711465,0.22964674462122342,0.4386585849310386,0.3989665044635926,Medium expressed
TCGA-IB-7651-01A,0.002260136681450149,0.0,0.0,0.0002789038351702587,0.0,0.05066105066105066,0.00034488188976377953,0.0,0.07141378596563859,0.0,0.0,0.005627717173872456,0.0,0.004042559820538385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034019767699337723,0.0,0.02903206254924541,0.008750510683984001,0.02080989876265467,0.001973684210526316,0.0,0.005762631550789877,0.0,0.24334284211594537,0.35952711870848236,0.0670458333441002,0.0,0.024422735346358793,0.09733423818550965,0.03151215524456469,0.17963037368337392,0.5531751946397233,0.09875244103005965,0.05437198555702953,0.3602510178860736,0.19041863875538678,Medium expressed
TCGA-FB-AAQ0-01A,0.0,0.0,0.0,0.0,0.0,0.09863109863109863,0.0006708661417322835,0.0,0.06955081763610019,0.0,0.0,0.014616061664844105,0.0,0.0015734047856430708,0.0,0.0,0.0,0.0,0.05413247119290392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39745326469791387,0.05044977568536337,0.0,0.18737625333050995,0.30750854539406,0.0834390641594464,0.0,0.023830669034931914,0.025751831203939476,0.0,0.13108570835469843,0.21389248537840988,0.057137398938997046,0.01131102462508895,0.41352317018165197,0.06579509876788579,Medium expressed
TCGA-2J-AABP-01A,0.004318249972379615,0.0,0.2076079948420374,0.350589396561237,0.015135179868187847,0.09687609687609687,0.37328818897637794,0.0,0.06830883874974127,0.4152583293095123,0.0,0.0,0.29398318230059595,0.5427740216849452,0.042769197537531056,0.4231346535612259,0.0,0.0,0.0,0.5054279222418581,0.0,0.0,0.04874824700901155,0.6198704103671706,1.0,0.0,0.11909448818897636,0.5153614457831326,0.19506908696830128,0.03854237521304158,0.20763563295378432,0.6546196736498349,0.8144940156644879,0.5100325849055141,0.0,0.16341030195381884,0.09515530179811328,0.04017361854526345,0.18354447112520833,0.3381253455778061,0.18305425926333566,0.0039665457228952716,1.0,0.15488168337478653,Medium expressed
