gene,classification,Stage I,Stage IA,Stage IB,Stage IIA,Stage IIB,Stage III,Stage IIIB,Stage IV
MAGEB3,Positive,0,0,0.564971751412429,0,0.564971751412429,0,0,0
MAGEB3,Negative,0.564971751412429,1.69491525423729,8.47457627118644,10.7344632768362,41.2429378531073,27.683615819209,0.564971751412429,7.90960451977401
MAGEB4,Positive,0,0,0.564971751412429,0.564971751412429,3.95480225988701,1.69491525423729,0,0
MAGEB4,Negative,0.564971751412429,1.69491525423729,8.47457627118644,10.1694915254237,37.8531073446328,25.9887005649718,0.564971751412429,7.90960451977401
MAGEB5,Positive,0.564971751412429,0.564971751412429,1.69491525423729,1.12994350282486,9.03954802259887,4.51977401129944,0,1.12994350282486
MAGEB5,Negative,0,1.12994350282486,7.34463276836158,9.6045197740113,32.7683615819209,23.1638418079096,0.564971751412429,6.77966101694915
MAGEB6,Positive,0,0,0.564971751412429,0.564971751412429,1.12994350282486,1.12994350282486,0,0
MAGEB6,Negative,0.564971751412429,1.69491525423729,8.47457627118644,10.1694915254237,40.6779661016949,26.5536723163842,0.564971751412429,7.90960451977401
MAGEB10,Positive,0.564971751412429,0,1.12994350282486,0.564971751412429,2.82485875706215,4.51977401129944,0.564971751412429,0.564971751412429
MAGEB10,Negative,0,1.69491525423729,7.90960451977401,10.1694915254237,38.9830508474576,23.1638418079096,0,7.34463276836158
MAGEB16,Positive,0,0,0.564971751412429,1.12994350282486,2.82485875706215,0.564971751412429,0.564971751412429,0.564971751412429
MAGEB16,Negative,0.564971751412429,1.69491525423729,8.47457627118644,9.6045197740113,38.9830508474576,27.1186440677966,0,7.34463276836158
MAGEB17,Positive,0.564971751412429,1.69491525423729,6.77966101694915,7.34463276836158,25.9887005649718,15.819209039548,0.564971751412429,5.08474576271187
MAGEB17,Negative,0,0,2.25988700564972,3.38983050847458,15.819209039548,11.864406779661,0,2.82485875706215
MAGEB18,Positive,0,0,0,0,2.82485875706215,2.82485875706215,0,0
MAGEB18,Negative,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,38.9830508474576,24.8587570621469,0.564971751412429,7.90960451977401
MAGEC1,Positive,0,0.564971751412429,1.12994350282486,1.12994350282486,3.95480225988701,3.38983050847458,0,1.69491525423729
MAGEC1,Negative,0.564971751412429,1.12994350282486,7.90960451977401,9.6045197740113,37.8531073446328,24.2937853107345,0.564971751412429,6.21468926553672
MAGEC2,Positive,0,0,2.82485875706215,2.82485875706215,7.34463276836158,2.25988700564972,0,0.564971751412429
MAGEC2,Negative,0.564971751412429,1.69491525423729,6.21468926553672,7.90960451977401,34.4632768361582,25.4237288135593,0.564971751412429,7.34463276836158
MAGEC3,Positive,0.564971751412429,1.12994350282486,7.90960451977401,7.90960451977401,23.1638418079096,22.5988700564972,0.564971751412429,7.34463276836158
MAGEC3,Negative,0,0.564971751412429,1.12994350282486,2.82485875706215,18.6440677966102,5.08474576271187,0,0.564971751412429
CSAG1,Positive,0.564971751412429,1.69491525423729,6.77966101694915,6.77966101694915,28.8135593220339,18.6440677966102,0.564971751412429,5.08474576271187
CSAG1,Negative,0,0,2.25988700564972,3.95480225988701,12.9943502824859,9.03954802259887,0,2.82485875706215
CSAG2,Positive,0,0.564971751412429,0.564971751412429,2.25988700564972,6.77966101694915,2.25988700564972,0,0.564971751412429
CSAG2,Negative,0.564971751412429,1.12994350282486,8.47457627118644,8.47457627118644,35.0282485875706,25.4237288135593,0.564971751412429,7.34463276836158
CSAG3,Positive,0,0.564971751412429,3.95480225988701,3.38983050847458,12.9943502824859,10.1694915254237,0.564971751412429,3.38983050847458
CSAG3,Negative,0.564971751412429,1.12994350282486,5.08474576271187,7.34463276836158,28.8135593220339,17.5141242937853,0,4.51977401129944
CSAG4,Positive,0,0,0,0,1.69491525423729,1.12994350282486,0,0.564971751412429
CSAG4,Negative,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,40.1129943502825,26.5536723163842,0.564971751412429,7.34463276836158
