,C3L-00625-03,C3L-01053-01,C3L-01971-02,C3L-03743-01,C3N-00303-01,C3N-00516-02,C3N-01385-02,C3N-02579-02,C3N-02590-01,C3N-02696-02-2,C3N-03061-01,C3N-03853-02,C3L-02606-02,C3L-03639-03,C3N-02696-02,C3N-03000-02,C3N-04284-01
ENSG00000206627.1,14,11,2,12,8,13,12,21,5,13,12,8,3,6,16,7,18
ENSG00000206629.1,0,3,2,8,26,7,6,6,0,9,1,3,0,2,17,3,6
ENSG00000206630.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206631.1,4,1,4,4,1,1,2,2,0,4,3,3,0,1,0,2,0
ENSG00000206633.1,99,186,66,145,291,22,122,211,100,196,214,324,46,91,146,37,240
ENSG00000206634.1,263,141,236,164,265,170,273,178,53,357,138,209,60,95,117,144,153
ENSG00000206635.1,8,12,8,9,10,12,5,13,0,20,22,12,7,9,8,9,15
ENSG00000206636.1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1
ENSG00000206637.1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0
ENSG00000206638.1,6,9,8,4,17,6,6,2,3,7,3,5,1,3,4,6,5
ENSG00000206639.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206640.1,2,2,3,6,1,1,5,9,2,4,7,7,0,5,4,4,2
ENSG00000206641.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206644.1,4,4,2,13,4,2,0,1,1,2,4,3,5,2,5,2,3
ENSG00000206645.1,21,31,32,22,17,18,29,22,3,21,28,23,35,28,27,21,13
ENSG00000206646.1,1,8,11,3,4,2,6,1,4,8,5,4,2,3,6,6,5
ENSG00000206647.1,4,1,0,1,2,2,5,0,3,10,2,3,1,8,8,0,8
ENSG00000206649.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206650.1,46,24,37,55,73,42,56,56,24,34,65,19,86,46,59,30,24
ENSG00000206651.1,20,11,15,16,28,19,13,37,8,54,16,14,20,21,43,16,31
ENSG00000206652.1,8,5,3,9,31,23,23,39,0,100,22,12,20,4,29,12,7
ENSG00000206654.1,18,26,22,23,10,7,15,30,15,21,17,32,25,30,18,24,14
ENSG00000206656.1,2,22,13,9,34,11,24,11,0,16,10,2,3,2,12,15,10
ENSG00000206658.1,3,1,0,8,4,1,6,0,0,4,3,0,1,0,5,9,3
ENSG00000206659.1,4,1,3,4,4,2,2,7,2,11,1,4,2,8,7,0,5
ENSG00000206660.1,0,0,1,0,2,1,0,0,0,0,1,1,2,0,1,0,1
ENSG00000206661.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206662.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
ENSG00000206663.1,2,1,1,1,1,2,3,4,1,11,2,1,3,4,5,4,3
ENSG00000206665.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206669.1,9,13,2,2,16,8,7,3,2,24,3,1,6,1,12,7,2
ENSG00000206671.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206672.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206674.1,0,3,1,2,2,3,4,2,0,12,5,2,2,0,6,3,2
ENSG00000206675.1,22,6,11,9,14,14,17,10,8,21,11,2,14,10,13,8,16
ENSG00000206676.1,16,19,23,15,5,28,18,31,5,41,15,21,13,14,26,18,18
ENSG00000206677.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206678.1,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,3,0
ENSG00000206679.1,6,14,7,6,1,3,11,5,1,38,6,3,2,4,19,0,17
ENSG00000206680.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206681.1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
ENSG00000206682.1,5,5,7,7,15,5,3,6,2,13,12,11,17,4,12,10,7
ENSG00000206684.1,4,1,2,2,3,4,4,4,1,4,2,2,0,0,1,3,5
ENSG00000206685.1,4,13,6,0,0,3,12,21,4,19,1,2,3,0,6,11,85
ENSG00000206686.1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,3
ENSG00000206687.1,12,7,9,34,14,15,12,32,6,38,48,13,18,34,18,24,19
ENSG00000206688.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206690.1,1,1,0,1,1,8,3,2,2,1,3,8,3,2,3,5,2
ENSG00000206692.1,0,1,1,1,0,0,0,3,0,0,1,2,0,1,0,1,0
ENSG00000206693.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206695.1,0,3,1,0,2,1,1,1,0,1,1,1,0,0,1,1,0
ENSG00000206697.1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0
ENSG00000206698.1,3,11,6,7,15,4,11,20,2,21,13,6,5,15,17,7,16
ENSG00000206699.1,2,3,2,8,0,3,0,10,0,8,7,6,2,11,8,8,2
ENSG00000206700.1,8,13,12,5,7,12,14,7,3,25,8,9,1,3,20,8,10
ENSG00000206701.1,0,3,4,0,0,0,3,1,0,4,0,2,0,1,2,0,0
ENSG00000206702.1,5,7,2,5,13,7,62,11,4,57,6,9,7,2,32,6,7
ENSG00000206703.1,25,15,31,33,6,38,25,41,6,16,36,23,32,17,12,21,16
ENSG00000206704.1,0,3,3,0,4,1,0,0,1,3,1,0,4,3,3,0,1
ENSG00000206705.1,1,0,4,0,2,1,9,1,0,0,3,0,1,1,0,0,3
ENSG00000206706.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206708.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000206709.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206710.1,0,0,4,1,2,0,0,1,0,0,0,0,1,0,0,0,2
ENSG00000206711.1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0
ENSG00000206712.1,31,22,39,107,115,63,37,79,12,48,73,22,18,139,33,63,11
ENSG00000206713.1,2,0,3,4,3,3,2,4,1,4,7,0,6,3,7,3,0
ENSG00000206714.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206715.1,8,14,23,39,24,17,19,29,5,41,25,11,12,29,21,23,19
ENSG00000206716.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206717.1,6,2,6,2,1,3,3,2,0,5,6,2,3,3,6,1,3
ENSG00000206718.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206719.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000206721.1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
ENSG00000206722.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
ENSG00000206723.1,2,2,0,0,1,3,2,0,0,1,2,1,0,0,0,1,0
ENSG00000206724.1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,1,0,0
ENSG00000206725.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
ENSG00000206726.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206727.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206728.1,37,42,32,53,40,34,35,70,8,50,40,19,62,62,32,59,15
ENSG00000206729.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206730.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000206731.1,3,4,5,7,7,3,8,11,3,10,6,7,15,12,7,6,6
ENSG00000206732.1,19,13,15,16,21,10,26,18,5,22,18,11,10,9,13,16,12
ENSG00000206733.1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000206734.1,12,10,7,8,9,4,4,7,5,8,13,7,8,13,8,5,5
ENSG00000206737.1,4,6,16,5,11,19,74,20,5,148,11,13,41,1,60,10,9
ENSG00000206738.1,8,5,8,8,6,5,1,6,5,13,3,4,7,3,7,5,9
ENSG00000206739.1,35,22,15,14,29,31,13,27,5,57,23,14,27,28,45,28,36
ENSG00000206741.1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
ENSG00000206743.1,12,14,14,18,17,18,15,21,4,18,19,22,8,15,10,16,10
ENSG00000206744.1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
ENSG00000206745.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206746.1,12,4,17,10,8,12,14,20,0,12,7,9,12,24,15,5,11
ENSG00000206747.1,1,2,1,2,0,7,3,4,1,3,3,1,1,0,4,0,1
ENSG00000206749.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206751.1,0,1,0,2,4,1,2,0,1,1,1,0,0,0,2,0,1
ENSG00000206752.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000206754.1,27,24,33,21,45,24,50,44,14,36,27,19,26,51,33,25,26
ENSG00000206755.1,6,13,5,3,14,6,6,11,4,28,9,10,11,5,20,8,14
ENSG00000206756.1,12,13,9,16,8,12,7,14,1,23,11,11,9,11,12,9,10
ENSG00000206758.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000206759.1,6,4,7,4,4,11,6,24,4,14,7,5,7,6,13,9,8
ENSG00000206760.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206762.1,12,17,8,9,9,7,11,34,3,63,17,9,37,3,17,7,4
ENSG00000206763.1,10,9,11,35,5,23,14,36,1,6,15,8,9,9,8,9,6
ENSG00000206764.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206765.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206766.1,6,4,3,11,1,3,7,7,0,17,9,13,7,5,12,3,3
ENSG00000206767.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206768.1,11,11,12,5,21,13,9,15,2,37,14,9,11,14,27,22,7
ENSG00000206769.1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0
ENSG00000206770.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000206772.1,5,3,4,4,2,5,6,2,3,10,6,7,6,3,4,2,1
ENSG00000206774.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENSG00000206775.1,4,4,4,5,9,3,4,11,0,4,2,2,3,7,8,6,2
ENSG00000206776.1,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,1,0
ENSG00000206777.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000206778.1,5,1,0,6,3,4,3,1,0,9,4,4,3,2,10,5,1
ENSG00000206779.1,21,17,22,30,24,7,29,24,11,44,29,10,10,29,49,24,28
ENSG00000206780.1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2
ENSG00000206781.1,1,4,3,0,7,2,1,2,0,2,2,1,2,1,9,0,2
ENSG00000206782.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206784.1,26,16,24,14,31,18,16,27,6,14,28,12,14,14,15,13,13
ENSG00000206785.1,0,4,4,0,9,3,3,9,2,7,2,2,1,0,4,2,3
ENSG00000206786.1,23,21,20,19,52,15,11,26,8,32,12,7,11,14,24,25,18
ENSG00000206787.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206788.1,3,0,0,2,1,2,2,0,4,4,1,0,0,0,0,0,3
ENSG00000206790.1,1,1,0,0,0,0,0,2,0,0,3,0,1,1,2,0,1
ENSG00000206791.1,0,4,0,0,0,0,0,1,2,1,2,1,0,1,1,1,0
ENSG00000206792.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000206795.1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0
ENSG00000206796.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206797.1,6,4,1,8,3,15,5,9,3,7,6,2,8,10,7,2,3
ENSG00000206799.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206800.1,6,1,0,2,4,5,0,9,0,0,3,3,4,11,1,0,0
ENSG00000206801.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206802.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000206803.1,2,0,1,0,0,2,1,2,0,0,1,0,0,3,0,0,0
ENSG00000206804.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206805.1,0,1,0,0,2,1,0,0,0,0,1,1,2,0,2,0,1
ENSG00000206806.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206807.1,4,4,3,8,1,2,10,3,1,1,4,2,0,6,2,0,7
ENSG00000206808.1,0,0,0,1,9,0,2,1,0,3,0,0,0,0,4,0,0
ENSG00000206811.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206812.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206813.1,0,0,0,0,0,3,1,0,1,3,0,0,0,1,1,0,0
ENSG00000206814.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206815.1,2,3,0,1,1,1,1,3,0,6,1,1,0,2,4,1,2
ENSG00000206816.1,14,13,6,23,12,13,19,27,5,16,15,14,7,52,19,10,7
ENSG00000206817.1,1,2,1,0,0,0,0,0,0,5,0,0,0,0,2,2,0
ENSG00000206818.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000206819.1,27,12,18,19,12,22,12,30,4,26,25,16,15,14,25,23,13
ENSG00000206820.1,0,3,0,4,1,1,2,0,0,0,0,0,1,2,1,3,1
ENSG00000206822.1,6,4,3,0,6,2,2,2,3,21,2,2,2,12,9,3,5
ENSG00000206824.1,6,4,5,3,5,7,9,20,5,21,6,3,10,6,7,4,7
ENSG00000206826.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206827.1,0,1,0,12,0,0,3,0,0,1,3,4,0,0,3,0,1
ENSG00000206828.1,14,22,16,11,104,24,16,41,1,68,50,27,20,9,47,19,33
ENSG00000206832.1,10,25,18,27,26,20,23,45,4,15,16,24,18,30,30,13,14
ENSG00000206833.1,0,1,0,0,0,1,4,2,0,7,0,2,0,0,9,2,2
ENSG00000206834.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206835.1,0,0,0,0,0,0,1,2,0,0,0,1,0,6,1,1,0
ENSG00000206836.1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1
ENSG00000206838.1,76,91,67,54,104,74,105,110,23,133,59,67,122,50,95,91,60
ENSG00000206839.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ENSG00000206840.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206841.1,4,0,0,1,1,0,0,1,0,2,0,0,0,2,10,2,3
ENSG00000206842.1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2
ENSG00000206843.1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000206844.1,2,2,3,7,1,0,1,1,1,4,5,6,1,2,2,1,5
ENSG00000206845.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206846.1,4,5,3,11,6,11,3,11,0,7,19,9,4,10,3,12,9
ENSG00000206847.1,14,14,16,26,5,18,14,34,2,29,27,17,20,14,17,20,22
ENSG00000206848.1,39,26,28,16,25,19,14,34,6,40,41,22,34,44,61,27,15
ENSG00000206849.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206850.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206852.1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
ENSG00000206853.1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206854.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000206855.1,7,5,4,5,7,5,5,8,1,10,11,5,5,4,12,14,2
ENSG00000206857.1,0,2,1,11,1,0,2,1,0,5,0,3,13,0,0,7,3
ENSG00000206858.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206859.1,3,7,11,26,3,11,5,15,1,17,9,5,2,10,12,21,7
ENSG00000206862.1,4,5,3,1,7,4,2,5,0,8,3,4,2,0,4,1,2
ENSG00000206863.1,4,4,5,7,10,2,2,4,1,6,3,5,4,3,4,4,4
ENSG00000206864.1,0,1,3,0,1,2,0,1,0,0,1,0,1,4,0,6,0
ENSG00000206865.1,3,3,4,1,0,1,4,7,0,5,4,1,4,0,10,3,3
ENSG00000206866.1,1,0,1,0,0,1,0,1,0,0,2,1,2,0,0,0,0
ENSG00000206867.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206869.1,6,17,16,7,23,8,7,23,0,17,18,12,11,5,30,8,27
ENSG00000206870.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206871.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206875.1,7,15,23,4,54,5,20,16,2,74,17,17,9,17,52,8,4
ENSG00000206877.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206878.1,3,10,2,1,2,5,8,4,0,7,9,4,8,0,9,5,1
ENSG00000206880.1,14,2,7,7,8,17,4,21,3,14,12,11,9,8,17,15,2
ENSG00000206881.1,7,8,6,8,16,1,8,11,1,25,5,9,6,6,12,5,3
ENSG00000206882.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206885.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206886.1,1,0,1,0,1,2,0,2,0,0,1,1,0,2,3,0,1
ENSG00000206887.1,3,5,5,2,4,1,0,4,2,1,2,3,4,3,0,1,5
ENSG00000206888.1,3,0,0,0,9,2,1,2,4,3,1,2,6,5,3,4,1
ENSG00000206889.1,0,5,3,0,1,0,1,0,0,3,0,0,0,0,2,0,5
ENSG00000206891.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206892.1,24,18,10,7,37,16,14,16,6,36,17,12,13,9,21,22,26
ENSG00000206895.1,0,0,0,0,0,0,2,2,1,16,0,0,0,0,4,2,2
ENSG00000206896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206897.1,9,5,8,10,5,6,4,13,2,12,6,5,4,8,10,4,7
ENSG00000206898.1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0
ENSG00000206899.1,57,50,33,25,47,39,62,48,15,46,82,88,41,16,68,40,71
ENSG00000206900.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206901.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206903.1,6,5,3,6,4,3,5,3,3,11,2,11,7,3,3,7,6
ENSG00000206905.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206906.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206907.1,5,6,0,3,0,1,3,0,1,9,5,1,2,5,3,2,1
ENSG00000206908.1,2,0,0,0,1,1,8,0,0,7,0,2,0,1,2,2,2
ENSG00000206909.1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ENSG00000206910.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206911.1,0,0,0,3,1,1,2,3,0,4,1,1,1,0,4,0,0
ENSG00000206912.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206913.1,6,18,9,4,11,8,3,5,3,9,6,6,17,3,9,4,7
ENSG00000206914.1,4,7,7,22,8,9,2,18,7,25,9,11,7,11,11,6,7
ENSG00000206915.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000206917.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206918.1,1,1,0,0,1,0,4,0,1,5,0,1,0,6,1,0,3
ENSG00000206920.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206921.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206922.1,0,1,2,1,5,6,1,5,0,3,2,1,5,4,3,2,4
ENSG00000206923.1,2,9,12,8,9,6,8,10,0,14,15,12,9,6,18,9,3
ENSG00000206924.1,13,7,12,8,9,8,9,5,2,20,7,8,4,15,6,4,5
ENSG00000206925.1,0,0,3,5,4,3,0,2,0,9,2,0,3,5,2,2,1
ENSG00000206926.1,3,3,2,4,6,6,4,12,3,9,8,4,6,9,1,12,4
ENSG00000206927.1,2,0,1,1,0,0,0,0,0,6,0,0,1,0,0,0,0
ENSG00000206929.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206931.1,0,2,1,0,0,0,1,0,0,2,2,0,1,0,2,5,0
ENSG00000206932.1,24,16,28,15,28,23,32,24,7,45,29,34,12,18,43,22,33
ENSG00000206935.1,9,4,7,6,6,4,9,8,4,6,5,5,11,13,8,7,3
ENSG00000206936.1,1,0,1,0,2,2,1,0,1,4,2,2,0,0,2,1,3
ENSG00000206937.1,2,10,3,22,6,11,8,14,6,21,6,9,10,14,13,11,10
ENSG00000206938.1,14,9,9,13,6,10,7,8,3,13,12,9,12,26,13,5,9
ENSG00000206939.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000206941.1,2,3,1,3,3,2,0,5,0,0,1,0,3,0,1,1,1
ENSG00000206944.1,1,3,5,3,5,2,0,1,0,9,1,1,0,0,4,1,1
ENSG00000206947.1,0,0,1,1,0,0,2,0,0,5,0,1,0,3,1,1,4
ENSG00000206948.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206949.1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0
ENSG00000206950.1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
ENSG00000206951.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206952.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206954.1,4,6,5,7,7,4,2,7,1,18,4,6,4,1,8,4,2
ENSG00000206957.2,0,3,1,1,4,1,8,3,0,0,2,0,0,4,0,0,2
ENSG00000206958.1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0
ENSG00000206959.1,1,0,0,2,1,4,0,0,0,4,0,2,2,2,1,0,1
ENSG00000206960.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000206961.1,1,1,0,0,2,0,1,0,0,4,2,2,3,0,3,1,0
ENSG00000206962.1,2,7,5,9,2,8,2,9,0,3,3,5,4,7,12,6,6
ENSG00000206963.1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000206964.1,6,5,3,2,9,11,8,7,0,13,5,4,3,3,4,3,6
ENSG00000206965.1,8,6,5,11,66,16,6,19,4,35,9,10,2,4,24,15,11
ENSG00000206967.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206969.1,13,5,11,8,15,9,8,6,4,12,3,4,13,6,10,12,2
ENSG00000206970.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206972.1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,1,2,0
ENSG00000206973.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000206974.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206975.1,3,7,5,5,5,1,11,7,5,14,3,13,5,2,5,4,13
ENSG00000206976.1,5,20,5,7,34,8,12,10,5,22,20,9,11,9,12,6,5
ENSG00000206977.1,1,1,2,1,7,0,1,1,1,7,1,1,1,7,6,5,0
ENSG00000206978.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000206979.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206980.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206981.1,1,1,1,0,0,0,0,1,0,2,0,1,0,0,2,0,1
ENSG00000206982.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206983.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206985.1,16,10,6,9,26,21,15,12,5,20,7,16,7,20,19,14,8
ENSG00000206987.1,1,3,2,3,0,6,2,3,1,5,3,3,4,2,1,0,2
ENSG00000206989.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206990.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206991.1,6,3,3,10,6,1,3,12,2,19,3,4,7,2,6,10,5
ENSG00000206992.1,18,8,6,16,9,13,7,11,4,20,9,6,19,16,18,6,8
ENSG00000206995.1,4,4,4,5,9,6,5,6,2,14,6,1,5,6,12,9,2
ENSG00000206996.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206997.1,5,2,4,2,2,1,9,5,1,11,5,6,0,7,14,6,11
ENSG00000206998.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206999.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207000.1,3,0,1,5,0,1,1,3,0,2,1,2,0,0,0,0,7
ENSG00000207001.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207002.1,2,2,1,3,3,2,2,2,3,2,5,1,2,1,3,7,1
ENSG00000207003.1,12,8,9,15,16,13,10,20,6,64,11,6,27,37,13,3,19
ENSG00000207004.1,14,5,5,32,6,13,10,25,2,7,17,3,18,15,7,47,3
ENSG00000207005.1,2,18,12,16,39,27,40,55,5,157,30,15,54,8,60,30,14
ENSG00000207007.1,2,1,0,5,4,2,1,1,0,2,0,3,0,0,1,0,1
ENSG00000207008.1,1208,2394,1746,2380,7804,1230,1676,3287,819,1825,3184,2187,1958,912,2223,1322,2222
ENSG00000207009.1,3,1,4,2,7,2,0,6,3,5,3,0,1,2,1,0,3
ENSG00000207010.1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
ENSG00000207011.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207012.2,1,4,0,1,3,5,3,5,1,5,4,0,2,0,3,5,1
ENSG00000207013.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000207014.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207016.1,5,8,3,4,18,7,5,6,3,5,5,5,3,2,4,4,6
ENSG00000207019.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000207020.1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000207021.1,13,9,9,16,20,10,10,14,14,27,19,7,24,14,28,10,10
ENSG00000207022.1,2,2,7,6,9,0,2,7,0,3,5,5,1,10,6,2,0
