,C3L-00625-03,C3L-01053-01,C3L-01971-02,C3L-03743-01,C3N-00303-01,C3N-00516-02,C3N-01385-02,C3N-02579-02,C3N-02590-01,C3N-02696-02-2,C3N-03061-01,C3N-03853-02,C3L-02606-02,C3L-03639-03,C3N-02696-02,C3N-03000-02,C3N-04284-01
ENSG00000006062.17,465,685,696,441,1157,400,785,437,341,1217,457,364,399,350,1104,345,393
ENSG00000006071.15,188,2295,4356,1513,110,350,2568,342,2,3796,397,1324,255,131,3898,20,2593
ENSG00000006116.4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
ENSG00000006118.15,950,803,1168,610,844,1095,1086,2140,580,669,1495,571,2563,1395,1247,1142,225
ENSG00000006125.18,6766,6674,9468,10017,9838,8925,8496,13454,2948,9901,10357,6840,9145,9934,12786,9359,4501
ENSG00000006128.12,8,8,10,11,2,87,8,7,2,8,15,39,14,1,10,14,6
ENSG00000006194.10,1173,1488,1559,1940,1643,1330,1584,2546,537,1470,2214,1214,1204,1042,1892,1702,906
ENSG00000006210.7,372,1128,619,279,792,619,900,1324,257,987,2160,584,1093,760,871,667,221
ENSG00000006282.21,1430,2263,1828,1067,2167,2092,1551,3200,1136,2205,2090,1244,1154,1112,2564,1281,1253
ENSG00000006283.18,9,52,14,15,32,19,8,18,58,27,12,16,27,6,43,34,13
ENSG00000006327.14,1356,2246,3765,4591,1247,4558,2260,4825,764,683,5103,1276,2552,2471,3907,2194,518
ENSG00000006377.11,0,3,0,1,1,3,3,0,0,7,1,3,15,0,28,23,9
ENSG00000006432.15,903,687,824,1119,1166,1234,605,1766,273,890,899,1290,2464,4026,1079,1342,1006
ENSG00000006451.8,1564,1388,1789,2712,1200,3357,1918,4695,547,1597,2654,1599,1977,3647,2461,2678,1066
ENSG00000006453.14,2483,1488,1924,4236,983,3282,1514,9543,492,1267,2191,1771,1561,3964,1877,2775,994
ENSG00000006459.11,4549,2832,4288,3787,4976,4758,3780,4532,755,3814,4431,3777,4127,5682,4798,4338,3569
ENSG00000006468.14,2227,1369,1785,2253,726,2723,1773,3713,795,1624,2653,2153,1048,2831,2259,2977,707
ENSG00000006530.18,1382,1365,1421,1343,1982,1980,1473,1965,332,1909,1839,1281,1367,1980,1977,1473,1204
ENSG00000006534.16,1113,1492,940,3703,868,1880,1249,2490,583,717,1715,626,738,14404,1446,931,570
ENSG00000006555.11,805,595,586,740,480,815,399,1630,344,519,184,349,492,536,729,293,394
ENSG00000006576.16,1992,1629,2064,2865,2735,2848,2172,4867,519,2623,3506,1710,1643,1496,3549,3455,1235
ENSG00000006606.9,23,34,78,38,29,13,74,77,15,16,25,29,69,66,22,40,17
ENSG00000006607.14,4419,2826,3230,4249,2957,2710,3253,6727,1190,4239,3831,2562,2514,2320,4594,3858,2317
ENSG00000006611.17,1974,1568,2269,3636,855,1621,1535,4474,826,744,2479,867,318,145,944,653,1109
ENSG00000006625.18,410,373,453,497,234,449,461,780,111,361,666,375,406,631,596,462,324
ENSG00000006634.8,384,416,512,542,629,596,586,2563,60,442,720,450,441,1189,618,531,432
ENSG00000006638.13,53,40,53,45,81,50,25,44,44,61,28,11,30,23,65,20,15
ENSG00000006652.15,601,1567,1001,1186,496,908,1604,1487,111,1646,1323,963,1120,1291,1308,723,1611
ENSG00000006659.13,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
ENSG00000006695.12,335,475,420,367,640,516,592,683,211,785,507,288,322,562,803,443,514
ENSG00000006704.11,1018,1214,967,1111,612,2193,763,1840,423,846,1374,972,1242,1239,1286,1166,473
ENSG00000006712.15,1103,1348,1371,1489,1067,3261,1334,2163,412,984,1532,863,1986,4822,1147,1082,685
ENSG00000006715.16,4462,5446,4682,6088,4561,5714,6925,11139,1159,6825,8339,4567,4246,6521,7918,6836,3511
ENSG00000006740.17,593,423,362,209,425,199,494,328,175,746,263,541,116,142,751,142,380
ENSG00000006744.19,1546,2165,1766,1411,2354,2112,2232,2485,919,2087,2203,1209,1796,2142,2411,1612,1427
ENSG00000006747.15,879,666,2143,672,285,374,790,3026,528,689,480,302,122,2468,1772,394,571
ENSG00000006756.16,2345,3964,1979,1620,1119,1602,2439,5052,1240,2416,6204,2181,3521,1837,2355,1877,3370
ENSG00000006757.12,273,462,233,227,185,159,282,580,160,381,173,273,264,338,356,236,382
ENSG00000006788.14,97,79,40,109,91,99,59,144,27,100,104,38,52,20,76,64,4
ENSG00000006831.10,2674,3221,3551,6015,2603,2433,2819,3137,888,3177,4950,1917,2916,3458,3950,3557,3097
ENSG00000006837.12,56,37,34,51,62,76,30,61,20,97,48,44,26,23,59,40,38
ENSG00000007001.13,31,27,26,18,12,13,33,26,7,46,20,48,14,55,39,20,20
ENSG00000007038.11,274,11,9,71,62,256,240,81,1,19,267,53,677,48,28,353,17
ENSG00000007047.15,603,663,447,602,726,500,485,657,336,937,557,381,1161,537,900,708,406
ENSG00000007062.12,7432,3321,2353,4527,815,2870,5757,9457,1686,6197,4388,6046,1028,2269,7306,1174,3418
ENSG00000007080.11,710,546,615,257,406,740,426,558,298,326,404,259,428,516,597,305,239
ENSG00000007129.18,46,73,72,51,304,59,95,55,30,91,49,32,43,44,91,28,29
ENSG00000007168.14,5197,6850,6343,8115,7572,7330,6711,9838,2383,9324,8314,5165,5597,6869,10283,7075,4578
ENSG00000007171.18,28,30,18,44,31,17,27,22,8,26,49,277,43,27,57,24,4
ENSG00000007174.18,63,217,126,60,61,35,163,111,14,257,102,55,46,30,161,36,111
ENSG00000007202.15,5338,7105,5455,9840,7597,7489,8028,10657,2626,8562,8732,6173,7049,7593,10062,7343,5455
ENSG00000007216.15,26,2,24,1,0,5,1,4,1,3,4,2,0,0,2,0,7
ENSG00000007237.19,2856,3742,2518,3536,3041,2595,3333,3784,890,6428,3203,1583,2655,746,6220,2781,1509
ENSG00000007255.10,295,418,260,323,289,334,306,373,113,294,357,332,668,809,436,418,199
ENSG00000007264.15,53,213,150,56,257,135,106,105,36,104,58,24,72,64,179,73,38
ENSG00000007306.15,773,172,544,938,2,1432,603,1003,24,486,2342,832,3525,89,786,290,185
ENSG00000007312.13,24,89,100,21,2371,93,53,27,5,41,66,27,17,27,69,32,25
ENSG00000007314.12,6,36,22,6,134,5,12,10,6,23,7,2,7,3,28,1,20
ENSG00000007341.19,628,908,732,1163,838,817,1031,1234,181,1300,876,628,750,787,1129,761,875
ENSG00000007350.17,2,3,8,4,16,6,12,2,0,2,3,1,19,9,1,24,6
ENSG00000007372.24,50,234,753,300,14,273,818,156,100,622,144,253,255,65,704,39,757
ENSG00000007376.8,361,559,482,362,376,436,444,478,203,173,414,226,385,342,471,314,244
ENSG00000007384.15,1321,1486,1690,2129,886,1813,967,2778,888,751,1586,836,1133,1583,1501,982,396
ENSG00000007392.17,3002,2538,2023,2766,3578,2688,2536,3319,1070,3586,3571,1935,2707,1929,3340,2571,1949
ENSG00000007402.12,155,184,570,144,126,159,289,82,59,569,60,139,114,36,495,68,412
ENSG00000007516.14,285,457,897,306,499,257,104,267,76,284,141,280,119,324,544,233,360
ENSG00000007520.4,424,646,547,574,471,603,654,868,247,277,622,322,420,505,911,447,336
ENSG00000007541.17,769,1219,764,755,708,866,1019,916,424,854,891,623,603,628,1204,559,875
ENSG00000007545.16,492,357,284,479,709,445,342,680,247,752,384,380,412,414,748,558,354
ENSG00000007866.22,1268,1069,696,1139,823,1172,625,2036,911,904,1330,832,1668,1363,1128,1273,373
ENSG00000007908.16,17,88,193,98,387,182,316,206,10,186,258,21,550,11,214,9,172
ENSG00000007923.16,822,985,848,934,1013,1008,1103,1790,529,1575,948,694,989,1476,1269,743,860
ENSG00000007933.13,939,587,1200,354,358,317,453,883,101,1052,468,429,3122,167,1012,518,191
ENSG00000007944.15,1117,1073,1041,762,1543,1034,1219,1296,361,1531,1140,1117,1020,971,1460,1002,826
ENSG00000007952.18,55,11,467,26,20,26,16,93,3,15,57,39,32,26,7,18,13
ENSG00000007968.7,70,73,90,67,144,135,120,113,59,95,132,91,127,201,136,77,89
ENSG00000008018.9,2108,2921,3105,5221,2293,3215,3470,4947,835,3485,4462,3213,3404,4694,4145,4044,2258
ENSG00000008056.14,42,7,18,10,18,20,15,9,7,33,14,16,18,13,34,10,15
ENSG00000008083.14,1523,1485,1170,1363,2401,1551,1505,2422,480,1838,1511,816,2429,2325,1584,1495,969
ENSG00000008086.13,2273,1954,1660,2488,1434,3505,2192,5695,1094,2623,3149,1423,2997,1660,2926,3655,1838
ENSG00000008118.10,81,74,84,168,56,239,63,163,18,94,62,85,143,60,85,60,22
ENSG00000008128.23,48,69,62,70,112,48,38,122,32,86,62,37,51,79,90,44,51
