,C3L-01637-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000007376.8,740,362,213,886,288,361,320,259,314
ENSG00000007384.15,1823,2129,644,2696,952,674,971,862,982
ENSG00000007392.17,2303,2766,1802,3404,1931,2971,2473,1976,2571
ENSG00000007402.12,177,144,195,481,430,54,1104,477,68
ENSG00000007516.14,388,306,204,545,1251,61,1169,710,233
ENSG00000007520.4,791,574,355,974,426,404,665,516,447
ENSG00000007541.17,932,755,428,1178,754,451,980,777,559
ENSG00000007545.16,327,479,396,683,340,457,605,540,558
ENSG00000007866.22,655,1139,937,1599,736,502,780,767,1273
ENSG00000007908.16,395,98,148,57,82,933,22,16,9
ENSG00000007923.16,1120,934,677,2884,792,771,984,762,743
ENSG00000007933.13,298,354,499,740,864,272,659,432,518
ENSG00000007944.15,1074,762,1206,1855,864,1762,1363,972,1002
ENSG00000007952.18,26,26,29,589,10,18,11,9,18
ENSG00000007968.7,187,67,104,392,36,83,122,96,77
ENSG00000008018.9,3989,5221,2906,5118,2132,4008,4463,3221,4044
ENSG00000008056.14,7,10,20,20,19,12,25,9,10
ENSG00000008083.14,1190,1363,1514,1191,1201,1621,1628,1239,1495
ENSG00000008086.13,2879,2488,2051,3953,1510,1621,2859,1843,3655
ENSG00000008118.10,57,168,89,131,59,125,151,88,60
ENSG00000008128.23,49,70,35,269,45,52,58,47,44
ENSG00000008130.15,2502,1760,1021,7166,1271,1730,1747,1363,1205
ENSG00000008196.13,0,0,2,0,0,1,6,1,0
ENSG00000008197.5,0,0,0,0,0,0,0,0,0
ENSG00000008226.20,120,114,93,184,198,140,203,243,106
ENSG00000008256.16,1868,3033,1736,3593,2424,1954,2984,3004,2441
ENSG00000008277.14,1441,2286,2692,1428,2516,1433,3617,3198,2635
ENSG00000008282.9,4182,4636,2596,4747,2394,3060,4229,2200,3343
ENSG00000008283.16,3903,2507,1594,3227,1990,1479,2414,1839,1997
ENSG00000008294.21,10787,11815,8473,10150,7499,9719,12078,8778,12804
ENSG00000008300.17,279,155,2102,668,669,119,952,747,458
ENSG00000008311.15,2481,2175,1223,1209,2057,2203,2782,2086,2569
ENSG00000008323.15,763,1358,431,2409,280,544,496,497,610
ENSG00000008324.12,614,344,363,388,253,517,448,298,343
ENSG00000008382.16,266,78,190,289,88,133,148,98,100
ENSG00000008394.13,1950,919,1482,738,507,2498,1563,1109,1597
ENSG00000008405.12,966,1420,950,1417,768,1030,944,711,955
ENSG00000008438.5,9,26,7,24,8,11,12,12,27
ENSG00000008441.18,726,997,1546,1324,1657,1381,2056,1754,991
ENSG00000008513.16,5557,7425,4110,2530,3455,3719,4867,3766,4636
ENSG00000008516.17,27,26,27,49,59,135,79,56,22
ENSG00000008517.18,2069,1580,643,2606,724,2502,936,808,1198
ENSG00000008710.20,2577,1841,1948,3985,2707,1538,3070,3245,2278
ENSG00000008735.14,96,51,81,683,178,16,326,192,25
ENSG00000008838.20,1527,1302,1715,1726,1196,1091,1721,1271,1389
ENSG00000008853.17,560,665,444,510,910,432,432,374,533
ENSG00000008869.12,4495,3058,2922,5199,3443,4118,4510,3022,2940
ENSG00000008952.17,6100,6009,7085,4989,5204,5036,9997,5508,5640
ENSG00000008988.11,24782,22608,16584,28464,13095,27266,20696,13080,26058
ENSG00000009307.16,31287,35559,23327,31426,25849,27774,36989,25554,28903
ENSG00000009335.18,7421,5359,5097,10927,4734,5522,5628,4142,5192
ENSG00000009413.16,3339,4177,3109,4397,4446,5708,8032,4077,4234
ENSG00000009694.13,180,119,118,96,345,519,295,164,200
ENSG00000009709.12,0,1,1,0,0,0,0,0,2
ENSG00000009724.17,147,118,100,184,178,115,186,85,138
ENSG00000009765.15,1732,1780,68,5310,671,94,734,486,90
ENSG00000009780.16,984,751,476,937,602,780,778,672,565
ENSG00000009790.15,567,300,304,615,524,1413,544,461,214
ENSG00000009830.12,760,798,815,919,675,551,897,736,916
ENSG00000009844.16,1797,3010,1904,2917,1194,1902,2523,1683,1949
ENSG00000009950.16,190,190,227,1375,902,248,491,354,45
ENSG00000009954.11,5513,7004,5988,12189,5086,5319,8533,5615,5132
ENSG00000010017.13,1566,1887,2317,1584,1630,1704,2315,1699,2218
ENSG00000010030.14,294,194,192,1065,88,408,387,269,120
ENSG00000010072.16,809,821,599,1564,506,983,918,642,692
ENSG00000010165.20,3106,1115,1097,1661,861,1302,1409,1058,1159
ENSG00000010219.13,689,535,464,949,455,667,717,586,421
ENSG00000010244.19,13398,15613,12147,11426,6960,11029,10819,7222,11576
ENSG00000010256.11,5608,2047,2982,5794,2532,2389,3924,2581,2572
ENSG00000010270.14,1680,1658,1159,1954,970,1262,1840,1272,1460
ENSG00000010278.15,8481,9764,3311,9742,3976,5065,6391,5299,9092
ENSG00000010282.15,10,2,7,4,24,2,5,4,1
ENSG00000010292.13,2246,3219,3188,3806,1272,2029,3206,2710,3036
ENSG00000010295.20,822,642,542,687,659,771,920,753,854
ENSG00000010310.9,548,473,145,302,631,111,705,491,75
ENSG00000010318.21,159,120,129,244,171,183,211,175,122
ENSG00000010319.7,211,230,169,259,334,1171,221,231,62
ENSG00000010322.16,4299,4017,3591,5396,6270,3500,4880,5045,3355
ENSG00000010327.10,4257,4565,6164,5077,7106,9217,6694,5529,5074
ENSG00000010361.14,381,273,89,245,211,223,367,327,229
ENSG00000010379.16,9,20,30,11,0,9,10,6,25
ENSG00000010404.18,579,794,523,1129,873,751,865,821,709
ENSG00000010438.17,2835,879,203,6028,202,272,1254,140,118
ENSG00000010539.12,452,814,378,939,328,674,638,462,738
ENSG00000010610.10,2873,1426,1629,2089,1566,2834,3005,1751,1163
ENSG00000010626.15,398,426,279,330,256,150,432,457,404
ENSG00000010671.16,1016,411,420,602,570,1177,697,596,381
ENSG00000010704.18,870,844,757,731,591,695,895,643,674
ENSG00000010803.16,1546,1181,1627,2441,1336,1593,1887,1220,1396
ENSG00000010810.17,2062,2532,1800,2786,1988,5596,3095,2630,3008
ENSG00000010818.10,3754,4988,4137,4325,3714,4219,6013,4583,6680
ENSG00000010932.17,436,341,280,382,847,475,1718,834,1435
ENSG00000011007.12,2068,2697,1364,2092,1227,1662,2327,1726,1947
ENSG00000011009.11,1803,1905,677,2027,746,909,1362,831,909
ENSG00000011021.23,967,896,720,1502,871,915,1333,968,948
ENSG00000011028.14,3005,5186,6254,3224,4025,3869,6544,5757,7995
ENSG00000011052.21,0,0,0,0,0,0,0,0,0
ENSG00000011083.9,23,44,5,832,27,32,13,14,19
ENSG00000011105.14,1922,2495,1356,1793,2178,1122,3585,2734,2371
ENSG00000011114.15,2689,2719,2547,2768,2486,2786,4127,2507,3605
ENSG00000011132.12,607,352,343,688,308,417,482,363,307
ENSG00000011143.19,484,426,478,513,414,444,538,391,483
ENSG00000011198.10,1717,959,952,1299,1046,2350,1322,922,1270
ENSG00000011201.12,1483,1326,901,830,552,1184,825,878,1915
ENSG00000011243.18,1256,815,1047,1473,992,944,1544,1185,914
ENSG00000011258.16,1842,1957,2538,1929,1338,2148,2570,1627,2219
ENSG00000011260.14,1621,1298,1764,2071,921,1441,1787,1297,1413
ENSG00000011275.19,2834,2863,2643,4965,2440,3139,3322,2749,3365
ENSG00000011295.16,2167,1995,1520,2969,1803,2625,2526,1673,1538
ENSG00000011304.22,5394,4211,5463,8314,2706,4353,4676,3195,3652
ENSG00000011332.19,1,25,33,41,15,2,21,13,4
ENSG00000011347.10,372,531,560,1173,1567,60,1705,864,530
ENSG00000011376.12,1781,854,1162,2233,1063,1343,1455,1069,1195
ENSG00000011405.13,8109,9455,6685,9443,5992,7543,9601,5955,7870
ENSG00000011422.12,5980,5945,1876,5150,754,2601,1254,1378,3398
ENSG00000011426.11,2233,2039,2914,3187,615,984,3322,2954,1770
ENSG00000011451.21,551,562,992,770,510,611,854,626,858
ENSG00000011454.18,2923,2922,4020,5680,3278,3826,4735,3303,4866
ENSG00000011465.18,38795,53402,19080,43550,58910,71124,67644,51736,94760
ENSG00000011478.13,250,207,162,261,101,187,183,134,216
ENSG00000011485.15,2007,2194,969,2741,1505,1121,2353,1727,1526
ENSG00000011523.14,1525,1767,1565,2248,1791,2403,2908,2125,1961
ENSG00000011566.15,5130,4309,2908,5307,2940,2806,3371,2475,3469
ENSG00000011590.14,101,54,99,126,118,109,164,120,74
ENSG00000011600.12,2877,872,710,1823,898,1742,1226,1036,892
ENSG00000011638.11,1683,1585,678,2059,941,1222,1102,976,1463
ENSG00000011677.13,7,98,3,17,3,2,4,0,111
ENSG00000012048.23,1172,1011,2220,1513,686,727,1343,1045,884
ENSG00000012061.16,1426,1471,678,1602,968,1111,1594,1109,1758
ENSG00000012124.17,247,243,70,138,321,789,184,156,77
ENSG00000012171.20,5671,850,2400,1869,1687,322,578,376,849
ENSG00000012174.12,783,836,1507,1190,980,799,1586,929,1055
ENSG00000012211.13,268,166,206,563,152,145,154,161,168
ENSG00000012223.13,2481,59,1496,302,684,226,5702,2264,11
ENSG00000012232.9,1839,1939,1551,1717,1885,1691,2537,1886,1577
ENSG00000012504.15,143,57,179,230,375,7,836,466,24
ENSG00000012660.14,3406,4252,4280,2193,2409,6277,4287,3154,3457
ENSG00000012779.11,6816,2001,1924,3991,1835,1791,2057,1630,1506
ENSG00000012817.16,4,0,1923,6,3985,2,5157,4030,3663
ENSG00000012822.16,4191,4155,2658,4267,3176,3358,4504,3538,3380
ENSG00000012963.15,1232,939,1179,1357,827,1037,1349,938,947
ENSG00000012983.11,3783,4396,3702,3405,2876,3473,5048,3530,5552
ENSG00000013016.16,674,571,909,1102,814,494,865,720,1024
ENSG00000013275.8,3338,3529,8148,5037,1603,2055,3115,2281,2280
ENSG00000013288.9,3183,3174,2237,3059,2145,1957,2264,2056,1940
ENSG00000013293.6,137,293,78,147,403,58,560,292,35
ENSG00000013297.12,169,753,576,357,472,867,541,568,261
ENSG00000013306.16,3474,2074,2471,3834,1318,1720,1971,1474,1665
ENSG00000013364.19,13951,10133,4352,20273,4809,7347,8183,6045,5800
ENSG00000013374.16,3250,2622,2085,8803,1891,3668,3079,1960,1991
ENSG00000013375.16,3330,3892,2074,5295,1915,2704,3498,2439,3377
ENSG00000013392.8,469,391,196,418,286,367,446,366,342
ENSG00000013441.16,7141,7514,7327,10556,5153,9771,8583,6612,8259
ENSG00000013503.10,1023,755,789,1145,690,812,820,510,725
ENSG00000013523.11,1247,824,793,1302,1175,1127,1701,994,900
ENSG00000013561.18,1969,2557,1453,4197,2066,1981,2786,2128,1973
ENSG00000013563.14,645,408,191,600,360,249,368,256,219
ENSG00000013573.17,1490,999,1387,1683,259,734,1570,1311,656
ENSG00000013583.10,696,828,719,521,457,513,1039,649,709
ENSG00000013588.9,23818,34910,14794,17042,6588,11999,12846,10030,14598
ENSG00000013619.14,129,158,204,170,216,165,200,141,121
ENSG00000013725.14,209,171,133,274,364,1208,312,343,66
ENSG00000013810.20,925,900,1195,1352,383,1353,760,677,424
ENSG00000014123.10,2833,2961,1753,3521,2326,3023,3780,2502,2505
ENSG00000014138.9,213,129,229,233,101,154,178,172,89
ENSG00000014164.7,317,347,450,853,434,442,419,371,495
