,C3L-01637-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000206762.1,10,9,4,34,9,11,8,9,7
ENSG00000206763.1,10,35,11,12,11,13,9,4,9
ENSG00000206764.1,0,0,0,0,0,0,0,0,0
ENSG00000206765.1,0,0,0,1,0,0,0,0,0
ENSG00000206766.1,13,11,2,20,6,8,10,6,3
ENSG00000206767.1,1,0,0,0,0,0,0,0,0
ENSG00000206768.1,8,5,16,8,16,9,18,18,22
ENSG00000206769.1,0,2,0,0,1,1,3,2,0
ENSG00000206770.1,0,0,0,0,0,0,0,0,0
ENSG00000206772.1,7,4,4,6,4,9,3,4,2
ENSG00000206774.1,0,0,1,2,0,0,1,0,0
ENSG00000206775.1,3,5,2,3,2,7,2,2,6
ENSG00000206776.1,0,0,0,1,1,0,2,1,1
ENSG00000206777.1,0,0,0,0,1,0,0,0,0
ENSG00000206778.1,1,6,2,5,0,0,1,1,5
ENSG00000206779.1,19,30,20,41,31,25,36,24,24
ENSG00000206780.1,0,0,2,2,1,0,1,0,0
ENSG00000206781.1,1,0,4,4,2,1,4,4,0
ENSG00000206782.1,0,0,0,0,0,0,0,0,0
ENSG00000206784.1,34,14,19,39,16,23,22,11,13
ENSG00000206785.1,1,0,5,7,4,1,2,5,2
ENSG00000206786.1,34,19,24,28,22,20,23,11,25
ENSG00000206787.1,0,0,0,0,0,0,0,0,0
ENSG00000206788.1,5,2,0,5,1,0,0,3,0
ENSG00000206790.1,0,0,0,0,0,0,0,4,0
ENSG00000206791.1,4,0,2,1,0,0,0,0,1
ENSG00000206792.1,0,1,0,0,0,0,0,0,1
ENSG00000206795.1,0,1,1,0,0,0,0,0,0
ENSG00000206796.1,0,0,0,0,0,0,0,0,0
ENSG00000206797.1,7,8,9,3,2,3,3,4,2
ENSG00000206799.1,0,0,0,0,0,0,0,0,0
ENSG00000206800.1,0,2,4,0,1,0,1,2,0
ENSG00000206801.1,0,0,0,0,0,0,0,0,0
ENSG00000206802.1,1,0,0,0,0,0,0,0,0
ENSG00000206803.1,0,0,1,1,0,0,1,1,0
ENSG00000206804.1,0,0,0,0,0,0,0,0,0
ENSG00000206805.1,0,0,1,0,3,1,3,0,0
ENSG00000206806.1,0,0,0,0,0,0,0,0,0
ENSG00000206807.1,4,8,1,0,3,1,12,1,0
ENSG00000206808.1,1,1,2,0,0,1,3,0,0
ENSG00000206811.1,0,0,0,0,0,0,0,0,0
ENSG00000206812.1,0,0,0,0,0,0,0,0,0
ENSG00000206813.1,0,0,0,0,0,0,0,0,0
ENSG00000206814.1,0,0,0,0,0,0,0,0,0
ENSG00000206815.1,0,1,0,1,0,0,2,4,1
ENSG00000206816.1,11,23,12,20,12,11,11,11,10
ENSG00000206817.1,1,0,0,0,2,1,0,0,2
ENSG00000206818.1,0,0,0,0,0,0,0,0,0
ENSG00000206819.1,46,19,26,30,18,11,33,13,23
ENSG00000206820.1,0,4,1,0,0,2,1,0,3
ENSG00000206822.1,3,0,5,3,3,3,7,7,3
ENSG00000206824.1,4,3,2,11,3,7,5,5,4
ENSG00000206826.1,0,0,0,0,0,0,0,0,0
ENSG00000206827.1,0,12,0,7,1,0,0,0,0
ENSG00000206828.1,19,11,33,55,19,60,13,7,19
ENSG00000206832.1,18,27,24,31,16,36,28,15,13
ENSG00000206833.1,0,0,0,1,0,0,3,0,2
ENSG00000206834.1,0,0,0,0,0,0,0,0,0
ENSG00000206835.1,0,0,2,0,0,0,1,2,1
ENSG00000206836.1,0,0,0,2,0,0,0,0,3
ENSG00000206838.1,218,54,93,172,42,81,84,44,91
ENSG00000206839.1,0,0,0,0,0,1,0,0,0
ENSG00000206840.1,0,0,0,0,0,0,0,0,0
ENSG00000206841.1,1,1,1,0,0,1,6,0,2
ENSG00000206842.1,0,0,0,0,0,0,0,0,0
ENSG00000206843.1,0,0,0,0,0,0,1,2,0
ENSG00000206844.1,1,7,3,3,0,3,0,0,1
ENSG00000206845.1,0,0,0,0,0,0,0,0,0
ENSG00000206846.1,0,11,10,11,3,2,1,5,12
ENSG00000206847.1,11,26,8,17,13,17,24,10,20
ENSG00000206848.1,12,16,30,50,12,20,29,27,27
ENSG00000206849.1,0,0,0,0,0,0,0,0,0
ENSG00000206850.1,0,0,0,0,0,0,0,0,0
ENSG00000206852.1,0,0,0,0,0,0,0,0,0
ENSG00000206853.1,0,1,2,0,0,0,0,0,0
ENSG00000206854.1,0,0,0,0,0,0,0,0,0
ENSG00000206855.1,12,5,9,8,4,13,7,4,14
ENSG00000206857.1,0,11,0,2,0,1,5,2,7
ENSG00000206858.1,0,0,0,2,0,0,0,0,0
ENSG00000206859.1,1,26,7,11,12,13,9,9,21
ENSG00000206862.1,3,1,5,1,2,4,3,3,1
ENSG00000206863.1,4,7,12,8,3,5,5,14,4
ENSG00000206864.1,0,0,0,0,1,0,1,0,6
ENSG00000206865.1,0,1,3,1,7,1,5,6,3
ENSG00000206866.1,0,0,0,0,0,0,0,0,0
ENSG00000206867.1,0,0,0,0,0,0,0,0,0
ENSG00000206869.1,24,7,21,22,6,13,22,16,8
ENSG00000206870.1,0,0,0,0,0,0,0,0,0
ENSG00000206871.1,0,0,0,0,0,0,0,1,0
ENSG00000206875.1,7,4,7,15,17,11,27,24,8
ENSG00000206877.1,0,0,0,0,0,0,0,0,0
ENSG00000206878.1,2,1,16,9,2,0,6,2,5
ENSG00000206880.1,14,7,13,15,5,6,8,1,15
ENSG00000206881.1,6,8,9,7,11,11,13,5,5
ENSG00000206882.1,0,0,0,0,0,0,0,0,0
ENSG00000206885.1,0,0,0,0,0,0,0,0,0
ENSG00000206886.1,0,0,2,6,3,1,1,0,0
ENSG00000206887.1,0,2,3,6,2,2,1,2,1
ENSG00000206888.1,7,0,1,2,2,1,2,9,4
ENSG00000206889.1,8,0,2,0,2,3,16,3,0
ENSG00000206891.1,0,0,0,0,0,0,0,0,0
ENSG00000206892.1,9,7,23,8,9,14,16,5,22
ENSG00000206895.1,0,0,0,0,0,0,3,0,2
ENSG00000206896.1,0,0,0,0,0,0,0,0,0
ENSG00000206897.1,5,10,11,13,3,9,7,8,4
ENSG00000206898.1,0,1,1,2,4,1,0,3,0
ENSG00000206899.1,30,25,62,36,9,36,25,20,40
ENSG00000206900.1,0,0,0,0,0,0,0,0,0
ENSG00000206901.1,0,0,0,0,0,0,0,0,0
ENSG00000206903.1,8,6,5,4,2,3,1,0,7
ENSG00000206905.1,1,0,0,0,0,0,0,1,0
ENSG00000206906.1,0,0,0,0,0,0,0,0,0
ENSG00000206907.1,0,3,1,7,6,5,9,10,2
ENSG00000206908.1,1,0,0,0,3,1,2,2,2
ENSG00000206909.1,0,0,0,0,0,0,0,0,0
ENSG00000206910.1,0,0,0,0,0,0,0,0,0
ENSG00000206911.1,4,3,0,1,0,6,2,0,0
ENSG00000206912.1,0,0,0,0,0,0,0,0,0
ENSG00000206913.1,6,4,6,19,8,7,5,5,4
ENSG00000206914.1,4,22,14,11,8,6,12,8,6
ENSG00000206915.1,0,0,0,0,0,0,0,0,0
ENSG00000206917.1,0,0,0,0,0,0,0,0,0
ENSG00000206918.1,1,0,1,0,0,0,4,3,0
ENSG00000206920.1,0,0,0,0,0,0,0,0,0
ENSG00000206921.1,0,0,0,0,0,0,0,0,0
ENSG00000206922.1,0,1,5,1,1,3,2,5,2
ENSG00000206923.1,10,8,8,10,6,2,15,7,9
ENSG00000206924.1,14,8,11,8,6,3,10,2,4
ENSG00000206925.1,2,5,19,2,0,3,2,2,2
ENSG00000206926.1,8,4,11,8,5,14,6,4,12
ENSG00000206927.1,0,1,0,2,0,1,1,0,0
ENSG00000206929.1,0,0,0,0,0,0,0,0,0
ENSG00000206931.1,0,0,0,0,2,1,2,0,5
ENSG00000206932.1,38,15,52,21,13,23,36,16,22
ENSG00000206935.1,4,6,3,4,2,9,6,13,7
ENSG00000206936.1,0,0,1,8,0,2,1,0,1
ENSG00000206937.1,14,22,13,9,17,7,18,3,11
ENSG00000206938.1,13,13,9,8,9,8,12,6,5
ENSG00000206939.1,0,0,0,0,0,0,0,0,1
ENSG00000206941.1,1,3,2,7,0,1,0,0,1
ENSG00000206944.1,2,3,0,2,3,1,3,1,1
ENSG00000206947.1,1,1,0,8,3,0,4,0,1
ENSG00000206948.1,0,0,0,0,0,0,0,0,0
ENSG00000206949.1,0,0,2,0,1,0,2,0,0
ENSG00000206950.1,0,0,0,0,6,0,0,0,0
ENSG00000206951.1,0,0,0,0,0,0,0,0,0
ENSG00000206952.3,0,0,0,0,0,0,0,0,0
ENSG00000206954.1,2,7,11,3,1,4,5,6,4
ENSG00000206957.2,0,1,6,7,0,6,0,0,0
ENSG00000206958.1,0,0,0,0,0,1,0,1,0
ENSG00000206959.1,0,2,0,1,0,3,1,1,0
ENSG00000206960.1,0,0,0,0,0,0,0,0,0
ENSG00000206961.1,0,0,3,3,1,0,1,0,1
ENSG00000206962.1,9,9,1,3,3,6,13,3,6
ENSG00000206963.1,0,0,0,0,0,1,1,0,0
ENSG00000206964.1,2,2,1,10,4,5,6,2,3
ENSG00000206965.1,12,11,13,2,8,30,11,6,15
ENSG00000206967.1,0,0,0,0,0,0,0,0,0
ENSG00000206969.1,7,8,10,8,8,6,5,4,12
ENSG00000206970.1,0,0,0,0,0,2,0,0,0
ENSG00000206972.1,0,0,0,0,0,0,0,0,2
ENSG00000206973.1,0,0,0,0,0,0,0,0,0
ENSG00000206974.1,0,0,0,0,0,0,0,0,0
ENSG00000206975.1,2,5,15,4,1,4,5,6,4
ENSG00000206976.1,11,7,2,12,3,11,10,7,6
ENSG00000206977.1,3,1,5,0,1,2,2,0,5
ENSG00000206978.1,0,0,0,0,0,0,0,0,1
ENSG00000206979.1,0,0,0,0,0,0,0,0,0
ENSG00000206980.1,0,0,0,0,0,0,0,0,0
ENSG00000206981.1,1,0,1,1,0,0,0,0,0
ENSG00000206982.1,0,0,0,0,1,0,0,0,0
ENSG00000206983.1,0,0,0,0,0,0,0,0,0
ENSG00000206985.1,11,9,29,18,13,21,26,16,14
ENSG00000206987.1,3,3,4,0,4,0,1,1,0
ENSG00000206989.1,0,0,0,0,0,0,0,0,0
ENSG00000206990.1,0,0,0,0,0,0,0,0,0
ENSG00000206991.1,9,10,3,3,3,7,3,9,10
ENSG00000206992.1,3,16,3,8,7,7,21,10,6
ENSG00000206995.1,7,5,2,3,6,3,6,1,9
ENSG00000206996.1,0,0,0,0,0,0,0,0,0
ENSG00000206997.1,4,2,6,2,4,6,11,3,6
ENSG00000206998.1,0,0,0,0,0,0,0,0,0
ENSG00000206999.1,0,0,0,0,0,0,0,0,0
ENSG00000207000.1,1,5,0,10,1,1,1,2,0
ENSG00000207001.1,0,0,0,0,0,0,0,0,0
ENSG00000207002.1,4,3,5,2,0,5,3,1,7
ENSG00000207003.1,9,15,14,18,9,11,10,10,3
ENSG00000207004.1,8,32,23,5,7,2,2,8,47
ENSG00000207005.1,12,16,8,18,27,68,22,22,30
ENSG00000207007.1,1,5,1,2,4,1,2,4,0
ENSG00000207008.1,1997,2380,2983,3971,748,5159,2639,595,1322
ENSG00000207009.1,1,2,4,9,1,2,7,0,0
ENSG00000207010.1,0,0,0,0,0,0,0,0,0
ENSG00000207011.1,0,0,0,0,0,0,0,0,0
ENSG00000207012.2,1,1,4,0,4,0,1,0,5
ENSG00000207013.1,0,0,0,0,0,0,0,0,0
ENSG00000207014.1,0,0,0,0,0,0,0,0,0
ENSG00000207016.1,6,4,3,6,0,5,12,4,4
ENSG00000207019.1,0,0,0,5,0,0,0,0,1
ENSG00000207020.1,0,0,1,0,0,0,0,0,0
ENSG00000207021.1,9,16,19,15,12,14,22,10,10
ENSG00000207022.1,6,6,0,6,0,6,2,2,2
ENSG00000207023.1,0,5,3,3,1,4,6,1,0
ENSG00000207024.1,0,0,0,0,1,0,0,1,0
ENSG00000207025.1,0,0,0,0,0,0,0,0,0
ENSG00000207026.1,0,0,0,0,0,0,0,0,0
ENSG00000207027.1,0,0,0,1,0,0,0,0,0
ENSG00000207029.1,3,3,1,4,4,1,9,3,2
ENSG00000207031.1,13,13,16,18,3,25,4,4,6
ENSG00000207032.1,1,0,2,3,10,1,6,1,2
ENSG00000207033.1,0,2,0,1,0,0,3,4,2
ENSG00000207034.1,151,60,40,81,25,73,32,32,32
ENSG00000207036.1,37,40,19,63,10,32,18,13,37
ENSG00000207037.1,0,0,2,0,0,0,1,0,0
ENSG00000207039.1,0,0,1,0,1,0,3,2,1
ENSG00000207041.1,26,21,60,25,14,17,41,21,36
ENSG00000207042.1,7,9,8,7,6,7,7,7,11
ENSG00000207044.1,3,14,8,10,2,20,5,7,31
ENSG00000207045.1,0,0,0,0,0,0,0,0,0
ENSG00000207046.1,3,0,5,6,4,2,2,5,3
ENSG00000207047.2,0,0,0,0,0,0,0,0,0
ENSG00000207049.1,0,0,1,0,0,0,0,0,0
ENSG00000207051.1,0,0,0,0,0,0,0,0,0
ENSG00000207052.1,6,4,10,2,11,11,14,5,7
ENSG00000207053.1,7,8,2,5,3,9,3,2,15
ENSG00000207056.1,0,0,0,0,0,0,0,0,0
ENSG00000207058.1,0,0,0,0,2,1,2,0,1
ENSG00000207060.1,0,0,0,0,0,0,0,0,0
ENSG00000207061.1,0,1,2,0,7,0,0,0,1
ENSG00000207062.1,5,2,3,1,4,0,2,2,4
ENSG00000207063.1,0,0,0,0,0,0,0,0,0
ENSG00000207065.1,0,0,3,0,0,0,0,0,0
ENSG00000207067.1,0,0,0,0,0,0,0,0,0
ENSG00000207068.1,0,0,0,0,0,0,0,0,0
ENSG00000207069.1,2,0,2,0,2,0,2,4,0
ENSG00000207071.1,0,0,1,4,0,1,1,2,6
ENSG00000207072.1,4,13,11,5,1,14,7,4,9
ENSG00000207073.1,0,2,1,2,5,2,4,1,4
ENSG00000207075.1,0,0,0,0,0,0,0,0,0
ENSG00000207076.1,0,0,0,0,0,0,0,0,0
ENSG00000207077.1,0,0,2,0,0,0,0,0,0
ENSG00000207080.2,0,0,0,0,0,0,0,0,0
ENSG00000207081.1,0,0,0,2,0,0,0,0,0
ENSG00000207082.1,77,31,80,73,44,45,70,44,84
ENSG00000207083.1,0,0,2,0,4,2,4,2,0
ENSG00000207084.1,0,1,0,1,0,0,0,0,0
ENSG00000207086.1,24,10,26,17,8,23,23,12,21
ENSG00000207087.1,5,9,5,6,29,5,21,12,2
ENSG00000207088.1,830,314,776,546,155,435,312,111,301
ENSG00000207089.1,0,0,0,1,0,0,0,0,1
ENSG00000207090.1,3,5,2,4,5,5,4,8,2
ENSG00000207091.1,12,9,6,7,7,20,4,5,10
ENSG00000207092.1,15,29,24,46,14,32,21,13,21
ENSG00000207093.1,0,0,0,0,0,0,0,0,0
ENSG00000207094.1,1,3,3,2,0,0,1,3,0
ENSG00000207095.1,0,0,0,0,1,0,0,0,0
ENSG00000207097.1,0,0,0,0,0,0,0,0,0
ENSG00000207098.1,2,0,0,0,0,0,4,1,1
ENSG00000207099.1,0,0,0,0,0,0,0,0,0
ENSG00000207100.1,0,0,1,0,0,0,1,3,2
ENSG00000207101.1,0,0,0,0,0,0,0,0,0
ENSG00000207104.1,0,0,0,0,0,0,1,0,1
ENSG00000207105.1,8,5,5,0,3,12,6,7,9
ENSG00000207108.1,1,0,0,0,0,0,0,0,0
ENSG00000207109.1,8,12,14,6,5,19,5,7,13
ENSG00000207110.1,0,0,0,0,0,0,0,0,0
ENSG00000207112.1,0,0,0,0,0,0,0,0,0
ENSG00000207113.1,2,2,1,0,1,2,0,1,3
ENSG00000207114.1,0,0,0,0,0,0,0,0,0
ENSG00000207115.1,0,0,0,0,0,0,0,0,0
ENSG00000207116.1,1,0,1,1,1,0,3,1,0
ENSG00000207117.1,25,27,10,26,24,23,47,37,21
ENSG00000207118.1,0,0,0,0,0,0,0,0,0
ENSG00000207119.2,3,4,6,6,7,6,9,3,10
ENSG00000207121.1,0,0,0,0,0,0,0,0,0
ENSG00000207122.1,0,0,0,6,0,0,0,0,0
ENSG00000207123.1,0,0,1,0,2,0,0,1,0
ENSG00000207124.1,0,0,0,0,0,0,0,0,0
ENSG00000207127.1,0,0,0,0,0,0,1,0,0
ENSG00000207128.1,5,4,3,10,7,5,7,2,4
ENSG00000207129.1,0,0,0,0,0,0,0,0,0
ENSG00000207130.1,0,0,0,0,0,0,0,0,0
ENSG00000207131.1,0,0,1,0,1,0,1,1,0
ENSG00000207132.1,0,0,0,0,0,0,0,0,0
ENSG00000207133.1,0,0,0,0,0,0,0,0,0
ENSG00000207134.1,1,4,5,7,4,7,3,4,2
ENSG00000207135.1,2,0,0,2,0,0,0,0,1
ENSG00000207136.1,6,10,9,11,2,4,10,4,9
ENSG00000207137.1,0,0,0,0,0,0,0,0,0
ENSG00000207138.1,0,0,0,0,0,0,3,0,0
ENSG00000207139.1,1,6,5,4,10,15,9,7,4
ENSG00000207142.1,6,4,6,2,10,9,12,8,1
ENSG00000207144.1,4,2,3,5,1,9,3,0,2
ENSG00000207145.1,0,0,0,0,0,0,0,0,0
ENSG00000207146.1,4,15,8,6,26,5,20,22,13
ENSG00000207147.1,1,2,0,1,4,0,4,0,0
ENSG00000207148.1,0,0,0,0,0,0,0,0,0
ENSG00000207149.1,0,0,0,0,0,0,0,0,0
ENSG00000207150.1,0,0,0,0,0,0,0,0,1
ENSG00000207151.1,1,2,4,6,1,13,6,0,3
ENSG00000207153.1,1,2,0,0,1,5,4,0,0
ENSG00000207154.1,0,0,0,0,0,0,0,0,0
ENSG00000207155.1,8,2,2,4,2,5,2,1,4
ENSG00000207156.1,0,0,0,0,0,0,0,0,0
ENSG00000207157.1,0,0,0,0,0,0,0,0,0
ENSG00000207158.1,0,0,0,0,0,0,0,0,0
ENSG00000207160.1,2,3,6,11,1,10,3,0,5
ENSG00000207161.1,0,6,0,7,0,0,0,0,0
ENSG00000207162.1,8,3,3,9,1,4,5,5,6
ENSG00000207163.1,1,0,0,0,0,0,2,0,0
ENSG00000207164.1,0,0,0,0,0,0,0,0,0
ENSG00000207165.1,0,0,0,0,0,0,0,0,0
ENSG00000207166.1,0,0,0,0,0,0,0,0,0
ENSG00000207167.1,6,6,4,13,0,1,1,6,2
ENSG00000207168.1,5,1,2,8,1,5,2,0,4
ENSG00000207169.1,2,3,2,0,1,1,1,1,3
ENSG00000207170.1,6,6,9,14,1,4,3,3,2
ENSG00000207171.1,9,17,10,15,4,10,9,6,7
ENSG00000207172.1,2,0,2,0,0,0,1,5,0
ENSG00000207173.1,0,0,0,0,0,0,0,0,0
ENSG00000207174.1,0,0,0,0,0,0,0,0,0
ENSG00000207175.1,3,7,16,3,21,7,11,9,7
ENSG00000207176.1,1,1,0,3,1,0,0,1,0
ENSG00000207177.1,4,1,6,2,4,2,7,2,2
ENSG00000207178.1,1,0,0,0,1,1,1,0,0
ENSG00000207180.1,0,0,0,0,0,0,0,0,0
ENSG00000207181.1,137,63,153,213,33,102,41,28,50
ENSG00000207182.1,0,0,0,0,0,1,0,0,0
ENSG00000207183.1,0,0,4,0,0,3,0,0,4
ENSG00000207185.1,18,18,15,15,17,23,10,14,12
ENSG00000207186.1,1,5,5,3,3,2,5,14,14
ENSG00000207187.1,0,0,2,1,0,2,5,1,1
ENSG00000207189.1,2,4,0,4,1,7,10,2,3
ENSG00000207190.1,1,0,10,3,6,1,4,0,6
ENSG00000207191.1,0,1,4,0,2,1,1,3,2
ENSG00000207192.1,0,0,0,0,0,0,0,0,0
ENSG00000207193.1,0,0,0,0,0,0,0,0,0
ENSG00000207194.1,17,17,17,3,9,15,14,6,6
ENSG00000207195.1,7,11,6,8,6,10,3,5,8
ENSG00000207196.1,1,1,3,2,0,1,8,0,1
ENSG00000207197.1,0,0,0,0,0,0,0,0,0
ENSG00000207198.1,3,7,5,5,5,4,11,8,9
ENSG00000207199.1,64,71,126,8,11,23,13,3,30
ENSG00000207200.1,2,4,14,6,0,4,4,1,2
ENSG00000207201.1,0,0,2,0,5,0,1,0,1
ENSG00000207202.1,0,1,1,0,3,3,3,1,0
ENSG00000207203.1,0,0,0,0,0,0,0,0,0
ENSG00000207204.1,0,0,0,0,0,0,0,0,0
ENSG00000207205.1,45,22,52,16,17,159,11,16,23
ENSG00000207206.1,0,0,1,4,1,1,0,3,0
ENSG00000207207.1,0,0,0,0,0,0,0,0,0
ENSG00000207208.1,10,3,6,8,13,11,7,6,1
ENSG00000207209.1,0,0,0,0,0,0,0,0,0
ENSG00000207210.1,0,0,0,1,0,0,0,2,0
ENSG00000207214.1,0,0,0,0,0,0,0,0,0
ENSG00000207215.2,0,0,0,0,1,0,0,0,1
ENSG00000207217.1,195,67,150,372,20,111,73,16,26
ENSG00000207218.1,6,21,0,4,6,12,13,10,1
ENSG00000207220.1,0,0,0,0,0,0,0,0,0
ENSG00000207221.1,3,3,1,5,5,7,4,3,3
ENSG00000207222.1,0,0,0,0,0,0,0,0,0
ENSG00000207223.1,5,8,9,8,15,5,5,5,3
ENSG00000207225.1,0,0,0,0,0,0,0,0,0
ENSG00000207227.1,0,0,0,0,0,0,0,0,0
ENSG00000207229.1,0,0,0,0,0,0,0,0,0
ENSG00000207231.1,7,7,9,6,10,11,4,2,10
ENSG00000207233.1,327,146,418,210,82,278,156,30,139
ENSG00000207234.1,29,80,36,50,28,30,35,28,31
ENSG00000207235.1,0,1,6,2,1,0,1,1,1
ENSG00000207237.1,0,1,5,3,1,0,1,2,1
ENSG00000207240.1,0,0,0,1,0,0,0,0,0
ENSG00000207241.1,0,0,0,0,0,0,0,0,0
ENSG00000207242.1,1,2,0,2,4,5,3,1,0
ENSG00000207243.1,1,0,2,1,0,1,0,0,0
ENSG00000207244.1,0,0,0,0,1,0,0,0,0
ENSG00000207245.1,0,0,0,0,0,0,0,0,0
ENSG00000207247.1,0,0,0,0,0,0,0,0,0
ENSG00000207248.1,25,22,13,22,18,18,22,15,13
ENSG00000207249.1,0,0,0,0,0,0,0,0,0
ENSG00000207251.1,1,3,8,3,0,1,1,6,4
ENSG00000207252.1,0,0,0,0,0,0,0,0,0
ENSG00000207255.1,0,0,0,0,0,0,0,0,0
ENSG00000207256.1,3,2,7,0,0,0,1,0,2
ENSG00000207257.1,1,0,0,0,0,0,0,0,0
ENSG00000207258.1,19,13,7,14,36,72,24,17,4
ENSG00000207260.1,7,3,0,0,2,0,5,0,1
ENSG00000207261.1,0,0,0,0,1,0,0,0,0
ENSG00000207263.1,0,0,0,0,0,0,0,0,0
ENSG00000207264.1,1,1,5,0,1,0,2,0,1
ENSG00000207265.1,0,1,1,0,0,0,1,5,0
ENSG00000207266.1,0,0,0,0,1,0,0,0,0
ENSG00000207267.1,1,4,2,2,6,4,8,4,1
ENSG00000207268.1,0,0,0,0,0,0,0,0,0
ENSG00000207269.1,1,0,8,2,1,1,2,1,0
ENSG00000207270.1,10,8,1,12,6,3,5,3,1
ENSG00000207271.1,0,0,0,0,0,0,0,0,0
ENSG00000207274.1,15,0,35,16,2,1,12,5,15
ENSG00000207275.1,0,3,1,4,1,0,1,1,5
ENSG00000207276.1,1,1,3,4,3,0,3,0,1
ENSG00000207277.1,0,0,0,0,0,0,0,0,0
ENSG00000207278.1,0,0,0,0,0,0,0,0,0
ENSG00000207279.1,0,0,0,0,0,0,0,0,0
ENSG00000207280.1,0,0,0,0,0,0,0,0,0
ENSG00000207281.1,6,2,10,0,1,1,1,3,0
ENSG00000207282.1,0,0,0,0,0,0,0,0,0
ENSG00000207283.1,0,0,0,0,0,0,0,0,0
ENSG00000207286.1,30,38,33,36,60,39,45,37,16
ENSG00000207287.1,0,0,0,0,0,1,0,0,0
ENSG00000207289.1,0,0,0,0,0,0,0,0,0
ENSG00000207290.1,0,0,0,0,0,0,1,0,0
ENSG00000207291.1,8,6,3,6,5,4,3,4,4
ENSG00000207292.1,2,2,2,3,2,1,1,1,1
ENSG00000207293.1,0,0,1,4,0,1,2,1,1
ENSG00000207294.1,0,0,0,1,0,0,0,0,0
ENSG00000207295.1,2,0,0,1,0,0,1,1,2
ENSG00000207296.1,0,0,0,0,0,0,1,0,0
ENSG00000207297.1,0,1,0,0,0,0,1,0,1
ENSG00000207298.1,4,7,10,15,9,17,13,7,18
ENSG00000207299.1,0,0,0,0,0,0,0,0,0
ENSG00000207300.1,0,0,0,0,0,0,1,0,0
ENSG00000207302.1,0,0,0,17,0,1,0,0,0
ENSG00000207303.1,0,0,1,2,0,0,6,0,0
ENSG00000207304.1,0,0,0,0,0,0,0,0,0
ENSG00000207305.1,0,1,0,0,0,1,0,0,0
ENSG00000207306.1,6,4,10,12,4,13,4,2,4
ENSG00000207307.1,3,1,0,0,6,0,3,1,1
ENSG00000207308.1,2,2,2,1,2,2,6,0,1
ENSG00000207309.1,0,0,0,0,1,0,0,0,0
ENSG00000207310.1,7,7,4,17,5,9,8,6,10
ENSG00000207312.1,0,0,0,0,2,0,1,0,0
ENSG00000207313.1,23,14,37,19,9,23,15,10,12
ENSG00000207316.1,0,0,0,0,0,0,1,0,0
ENSG00000207317.1,1,0,3,2,2,2,1,0,0
ENSG00000207318.1,0,0,0,0,0,0,0,0,0
ENSG00000207319.1,0,0,0,0,0,0,0,0,0
ENSG00000207320.1,4,1,2,1,2,5,2,3,5
ENSG00000207321.1,0,0,1,0,0,0,0,0,0
ENSG00000207322.1,0,1,0,0,4,0,1,2,3
ENSG00000207323.1,0,0,0,0,0,1,0,0,0
ENSG00000207325.1,22,28,26,31,24,25,31,28,29
ENSG00000207326.1,11,8,12,18,4,18,16,11,19
ENSG00000207327.1,20,39,23,49,2,7,8,3,11
ENSG00000207328.1,0,0,0,0,0,0,0,0,0
ENSG00000207329.1,0,0,0,0,0,0,0,0,0
ENSG00000207330.1,4,5,4,12,3,0,7,1,1
ENSG00000207331.1,0,6,5,0,0,0,0,0,2
ENSG00000207332.1,0,0,0,0,0,0,0,0,0
ENSG00000207333.1,2,6,0,1,2,1,3,1,2
ENSG00000207334.1,4,3,2,5,0,4,0,2,1
ENSG00000207336.1,5,13,8,13,5,14,17,7,12
ENSG00000207338.1,3,1,0,0,0,0,2,0,0
ENSG00000207340.1,15,32,13,134,19,6,12,13,17
ENSG00000207341.1,0,0,0,1,3,0,0,0,0
ENSG00000207342.1,19,33,30,19,40,23,42,31,39
ENSG00000207343.1,0,0,0,0,0,0,0,0,0
ENSG00000207344.1,154,55,89,282,21,62,39,22,66
ENSG00000207345.1,1,4,1,7,2,4,1,0,1
ENSG00000207347.1,0,3,9,0,3,5,2,3,3
ENSG00000207349.1,0,0,0,0,0,0,1,0,0
ENSG00000207351.1,0,0,0,0,2,0,0,1,0
ENSG00000207352.1,7,12,6,4,13,6,7,4,10
ENSG00000207355.1,4,2,2,4,0,8,8,0,2
ENSG00000207356.1,0,0,0,0,0,0,0,0,0
ENSG00000207357.1,45,27,75,126,13,56,99,53,46
ENSG00000207359.1,3,8,8,21,5,7,7,8,10
ENSG00000207360.1,0,0,0,0,0,2,0,0,2
ENSG00000207361.1,0,0,0,0,0,0,0,0,0
ENSG00000207362.1,12,13,10,10,8,9,3,6,4
ENSG00000207363.1,0,5,2,5,5,2,9,10,7
ENSG00000207364.1,0,0,0,0,0,0,2,0,0
ENSG00000207365.1,0,1,0,2,0,1,1,0,0
ENSG00000207366.1,0,0,0,0,0,0,0,0,1
ENSG00000207367.1,0,0,2,0,2,0,0,1,1
ENSG00000207368.1,9,22,14,26,5,14,14,14,12
ENSG00000207369.1,3,3,7,13,1,7,1,0,4
ENSG00000207370.1,51,78,39,95,50,70,74,36,67
ENSG00000207371.1,0,1,0,0,0,0,0,1,0
ENSG00000207375.1,0,0,0,0,0,0,0,0,0
ENSG00000207378.1,15,18,11,22,14,10,16,12,14
