,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000186818.12,1252,303,1785,730,1128,421,1469,1073,469,535,746,824,1086,702,1390,217
ENSG00000186825.6,4,10,10,6,3,1,3,25,12,0,6,2,5,6,24,23
ENSG00000186827.11,197,102,187,92,61,65,161,20,99,42,36,209,106,95,116,14
ENSG00000186831.11,6,0,3,1,4,23,0,1,1,3,4,29,3,1,9,0
ENSG00000186832.9,2487,4053,1289,68,5570,4954,111,14,3448,4052,607,13837,1246,1464,254,5
ENSG00000186834.4,906,1671,1245,950,1570,1379,924,1777,1621,818,2915,1425,941,1039,1892,925
ENSG00000186838.13,0,3,2,0,0,0,1,1,0,0,1,0,1,0,1,0
ENSG00000186844.6,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0
ENSG00000186847.6,25,1099,70,8,51,622,13,6,80,1265,9,3750,128,27,11,1
ENSG00000186854.11,538,134,239,567,73,791,3029,138,159,222,110,223,230,179,419,191
ENSG00000186860.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186862.20,111,120,92,50,39,78,67,41,79,36,97,55,53,68,68,31
ENSG00000186866.17,1164,1171,1637,793,1363,770,2472,1110,1167,913,1034,1405,1148,1217,1106,664
ENSG00000186867.11,0,0,0,0,9,20,3,0,1,1,0,3,0,0,0,4
ENSG00000186868.16,116,183,59,115,86,99,107,391,67,104,131,89,22,91,293,216
ENSG00000186871.7,94,256,213,143,180,406,574,314,273,178,315,164,470,366,283,249
ENSG00000186881.3,1,1,4,3,1,6,1,3,3,0,1,1,1,0,0,1
ENSG00000186886.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000186889.10,97,108,197,175,156,185,142,192,136,109,109,84,158,174,176,118
ENSG00000186891.14,70,99,122,60,42,28,121,4,27,20,47,505,102,36,26,10
ENSG00000186895.4,0,0,0,1,3,0,5,0,0,4,0,4,0,1,2,0
ENSG00000186897.5,11,2,0,2,0,6,0,3,1,0,5,3,0,2,3,1
ENSG00000186907.8,12,46,9,11,7,37,23,51,13,13,10,26,13,4,50,21
ENSG00000186908.14,2114,1117,3313,2862,2933,2895,3151,3732,3592,1792,4034,2059,2540,3872,3856,2030
ENSG00000186910.4,13,3,35,9,6,5,6,1,10,1,5,13,0,6,3,1
ENSG00000186912.6,3,21,5,6,4,10,2,30,15,6,9,12,6,5,10,7
ENSG00000186918.14,1315,1273,1502,1055,1291,1318,1236,1973,2150,953,1639,1792,1622,1384,1786,1734
ENSG00000186919.13,17,38,21,22,27,50,36,87,37,27,37,34,15,40,89,52
ENSG00000186924.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186925.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000186930.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186940.6,3,1,6,1,3,0,5,2,1,0,0,3,3,1,4,2
ENSG00000186943.1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0
ENSG00000186951.16,1062,1515,1331,1312,1702,1467,3293,2482,1638,1710,984,1759,1757,1853,2339,2937
ENSG00000186952.15,167,108,100,163,188,135,269,254,160,90,238,37,146,118,248,166
ENSG00000186960.12,0,1,0,0,2,0,0,1,3,0,1,1,1,1,2,0
ENSG00000186965.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186967.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000186970.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186971.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186973.11,4,0,11,6,9,2,22,0,73,3,2,35,172,31,5,12
ENSG00000186976.15,148,211,179,222,197,267,290,646,247,258,163,110,110,132,481,309
ENSG00000186977.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186980.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186994.11,72,44,58,167,57,79,106,86,52,45,32,91,38,74,220,46
ENSG00000186998.16,152,128,250,326,217,159,229,724,81,116,152,232,59,187,826,262
ENSG00000187003.7,2,6,0,2,2,2,3,4,11,3,3,1,2,5,3,3
ENSG00000187005.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187010.21,51,96,50,37,36,0,1,246,62,91,82,4,111,130,139,43
ENSG00000187012.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187013.4,6,34,13,24,18,19,29,8,11,6,18,7,8,9,27,5
ENSG00000187017.17,86,207,174,98,131,77,799,27,60,142,56,228,115,76,65,22
ENSG00000187021.15,23,2,1,12775,12958,177,105,90959,1,723,2,20,62,92,57312,108051
ENSG00000187024.15,9,15,5,1,7,5,6,13,3,4,6,4,1,2,8,11
ENSG00000187026.3,1,0,0,3,0,1,0,0,0,0,1,0,2,0,0,0
ENSG00000187033.9,2,0,4,1,0,0,0,2,4,2,0,3,2,1,2,1
ENSG00000187037.8,134,83,138,105,155,100,186,317,113,59,143,95,74,114,311,78
ENSG00000187045.19,30,37,703,74,33,35,63,41,25,66,18,17,129,21,41,23
ENSG00000187048.13,3,135,0,16,24,1,2,13,6,62,1,163,4,0,15,15
ENSG00000187049.10,295,283,357,383,277,325,576,368,354,270,489,359,387,407,443,257
ENSG00000187051.9,1083,767,1075,1091,978,722,2490,778,1083,764,1239,1254,1718,1131,1859,970
ENSG00000187054.16,12,27,19,21,60,21,16,24,24,18,19,80,146,26,19,59
ENSG00000187066.8,4,24,20,9,18,20,20,24,21,17,17,12,18,11,19,14
ENSG00000187068.3,207,306,215,542,151,500,859,508,502,216,552,247,99,308,523,259
ENSG00000187079.20,5719,5266,4930,5253,6691,8734,4850,6985,8698,3961,8568,5152,6057,9575,8375,3637
ENSG00000187080.10,2,0,0,4,0,0,0,1,1,0,2,2,1,3,1,2
ENSG00000187082.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187091.14,564,769,597,664,912,449,744,657,644,646,1273,660,295,591,788,479
ENSG00000187094.12,7,9,30,43,0,4,206,0,8,14,4,33,11,2,11,0
ENSG00000187097.13,854,885,933,1033,802,667,3362,1025,785,568,943,670,1253,881,1255,602
ENSG00000187098.17,2124,2149,1947,1480,1758,1564,1190,1789,3701,1436,2720,1441,1762,1631,1939,925
ENSG00000187103.3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
ENSG00000187105.9,55,286,71,103,70,100,158,188,77,73,72,90,80,85,166,116
ENSG00000187109.15,11331,6365,14590,13769,11331,15963,13749,14202,17040,9712,15176,8967,11291,18195,15915,7727
ENSG00000187116.14,97,71,204,82,171,59,91,108,74,35,105,169,144,92,111,62
ENSG00000187118.14,427,422,457,702,629,618,679,650,520,528,784,286,640,491,693,481
ENSG00000187122.17,82,62,74,144,42,336,81,177,52,62,31,36,24,69,159,76
ENSG00000187123.15,177,145,140,323,202,720,333,449,92,215,197,153,565,272,725,301
ENSG00000187134.14,338,568,759,946,847,203,1680,2121,633,1173,3337,3527,1228,1275,2496,449
ENSG00000187135.7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000187140.6,4,0,8,9,3,4,1,4,3,6,9,9,5,3,15,2
ENSG00000187144.11,7,18,10,10,12,22,33,95,26,14,21,29,25,26,61,27
ENSG00000187147.18,614,989,1378,1067,1247,1171,2157,1335,902,741,1211,896,1407,1010,1610,795
ENSG00000187151.7,10,4,11,20,7,4,10,19,5,10,4,3,7,6,21,15
ENSG00000187164.20,1791,1297,2076,1900,1984,2205,2993,3891,2096,2658,1793,1182,2630,2461,3297,2485
ENSG00000187166.1,0,0,1,2,3,0,1,9,2,4,0,3,0,1,2,1
ENSG00000187170.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000187172.15,2,0,3,0,1,10,5,2,1,12,1,1,3,2,8,8
ENSG00000187173.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187175.5,2,0,0,0,1,0,2,0,0,0,0,2,0,1,2,1
ENSG00000187180.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000187185.4,28,19,28,19,16,6,38,178,17,11,29,14,30,18,121,67
ENSG00000187186.15,8,10,4,6,8,2,31,4,6,3,7,3,1,3,2,7
ENSG00000187187.14,348,566,613,550,622,3386,899,1149,765,563,711,489,677,654,899,692
ENSG00000187189.11,1165,1062,916,1017,1029,907,1333,1711,1381,1273,1166,1069,623,1170,1772,714
ENSG00000187191.14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187193.9,307,301,302,824,909,205,866,1125,905,820,323,660,2688,266,1099,310
ENSG00000187210.14,2157,1555,1283,1376,1331,1299,5419,881,1390,5378,2146,1295,725,1936,1207,955
ENSG00000187223.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187229.3,213,218,150,198,177,190,128,339,378,177,252,296,432,354,262,168
ENSG00000187231.14,3055,2365,3226,3338,6871,4668,5849,4497,5258,4479,7784,3860,5323,6678,7078,1740
ENSG00000187238.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187239.17,2057,2116,1977,2170,1342,1851,1729,3465,2515,1146,1421,1737,1866,1982,2904,1093
ENSG00000187240.16,6048,6881,11990,4746,12078,6134,4127,6268,9217,16690,12975,6722,1867,9152,7006,2607
ENSG00000187242.6,7,13,43,12,30,6,32,7,49,6,6,69,1,10,7,7
ENSG00000187243.16,1,2,2,2,1,7,0,2,3,1,1,2,0,0,2,4
ENSG00000187244.12,571,1366,1157,860,707,625,328,1302,1058,577,765,10259,1244,876,1726,692
ENSG00000187257.16,1929,1114,1985,1779,2534,2205,3784,2756,1845,1825,3203,1415,2395,2365,3077,2100
ENSG00000187258.14,1234,313,3,14,120,18,21,13,11,430,10,35,0,35,6,6
ENSG00000187260.16,182,378,228,57,137,167,161,109,727,98,225,365,129,97,177,36
ENSG00000187266.14,413,328,197,200,196,265,212,408,130,161,271,180,201,117,429,253
ENSG00000187268.12,1,13,3,4,2,3,9,3,6,1,0,2,4,3,1,0
ENSG00000187272.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187288.12,47,89,137,120,38,8,296,7,6,32,18,3,1,95,37,25
ENSG00000187323.12,27,394,160,92,17,61,74,78,35,68,27,13,26,30,79,102
ENSG00000187325.5,1549,457,1538,1125,1116,2251,1222,1229,1240,1072,1920,906,1781,1372,1450,892
ENSG00000187372.11,241,595,233,452,336,1049,283,546,275,351,330,278,312,442,515,212
ENSG00000187391.22,1039,884,1232,2097,922,1272,960,1893,1408,1321,960,932,297,982,1796,763
ENSG00000187398.12,136,84,30,58,32,79,133,116,103,72,128,32,18,276,171,23
ENSG00000187416.12,19,3,19,49,17,247,34,74,12,10,1,6,10,3,63,135
ENSG00000187446.12,6018,3897,3304,3900,4798,2388,4975,4438,3161,2274,6838,3024,2352,5717,4614,3011
ENSG00000187472.4,0,0,2,0,1,1,0,2,0,1,1,0,0,0,3,2
ENSG00000187474.5,2805,980,3144,1664,2098,1312,3115,2690,2004,876,1925,2001,2130,1757,3122,920
ENSG00000187475.6,18,11,23,3,16,5,53,4,19,8,7,11,18,18,5,0
ENSG00000187479.8,1146,405,1186,875,379,464,725,162,331,291,321,2819,213,471,937,228
ENSG00000187481.2,1,2,0,30,17,0,0,181,1,0,0,2,19,2,92,22
ENSG00000187483.10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENSG00000187486.5,87,24,81,351,99,80,259,246,17,82,33,3,19,55,250,179
ENSG00000187492.9,7,17,2,3,6,16,1,2,2,1,7,2,180,3,0,0
ENSG00000187498.16,36139,46382,42535,35195,60068,36905,40141,53748,24049,28262,38799,38436,28040,61767,95127,10938
ENSG00000187504.6,4,0,8,0,3,4,7,2,5,0,4,0,2,0,4,1
ENSG00000187510.10,113,22,295,58,210,86,496,244,70,61,71,304,144,71,147,58
ENSG00000187513.9,202,228,232,269,269,283,288,375,98,144,79,281,88,297,476,76
ENSG00000187514.17,18088,13337,25461,18790,30852,16847,36235,11001,20014,16916,27368,20373,27109,18212,17994,13223
ENSG00000187516.7,0,12,3,10,3,0,11,0,5,1,0,1,3,0,2,0
ENSG00000187522.16,374,323,593,485,582,424,1307,571,376,300,762,330,820,582,776,363
ENSG00000187527.11,13,33,1,17,12,4,12,26,1,8,1,6,3,4,17,26
ENSG00000187531.14,1094,837,610,947,1129,710,1250,764,916,540,901,831,1243,2119,997,446
ENSG00000187533.14,0,0,4,1,1,7,6,0,2,1,0,1,0,0,0,0
ENSG00000187534.6,6,4,11,15,10,17,19,9,2,4,4,3,17,13,11,9
ENSG00000187535.14,550,1402,931,901,1105,726,2217,1498,996,870,956,717,663,1028,1257,731
ENSG00000187536.4,59,39,54,69,50,45,104,78,50,36,63,39,51,80,93,43
ENSG00000187537.13,1,0,0,3,1,4,3,0,0,1,1,0,0,0,7,0
ENSG00000187545.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187546.14,127,201,15,103,149,51,245,26,122,217,1195,90,0,552,66,32
ENSG00000187550.9,2,1,12,12,1,7,17,14,1,1,1,3,5,7,33,5
ENSG00000187553.10,13,6,15,25,8,22,31,19,7,7,14,12,4,10,26,14
ENSG00000187554.14,523,1484,450,676,1223,641,1079,1855,357,1230,1037,652,840,413,1714,575
ENSG00000187555.16,4255,3805,4994,5911,5987,3401,10669,7097,5459,4346,5528,4150,5338,6341,8232,4501
ENSG00000187556.7,9,15,3,10,16,8,29,22,27,5,2,2,8,14,28,6
ENSG00000187559.6,0,0,0,2,2,4,0,0,0,0,2,0,4,1,0,0
ENSG00000187566.6,42,48,113,68,58,92,285,56,84,93,75,97,34,49,75,51
ENSG00000187569.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000187581.3,0,5,0,3,6,5,3,3,2,1,1,4,2,2,3,9
ENSG00000187583.11,71,332,191,118,153,67,319,57,154,68,187,245,227,135,107,29
ENSG00000187589.8,0,0,1,1,0,0,1,2,0,0,0,1,0,1,1,0
ENSG00000187595.16,34,56,23,29,65,77,103,72,82,33,105,49,10,24,53,37
ENSG00000187600.14,0,1,5,2,0,0,5,13,2,3,2,2,1,5,9,1
ENSG00000187601.5,778,461,781,776,637,337,1365,863,982,731,869,644,258,814,1208,625
ENSG00000187605.15,1348,2098,1379,1277,2212,2091,3204,2215,1992,1235,1846,1607,1730,3166,2643,1487
ENSG00000187607.16,175,126,183,225,246,248,299,358,323,188,325,219,222,267,385,184
ENSG00000187608.10,3908,1525,2171,1769,2162,1923,22996,283,942,898,1136,2178,3286,1723,982,188
ENSG00000187609.16,657,736,291,355,330,440,755,720,292,205,309,268,401,482,879,336
ENSG00000187612.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187616.5,3,4,6,2,2,0,6,6,1,8,5,1,0,2,4,1
ENSG00000187621.15,27,5,19,49,6,7,57,29,10,16,0,7,23,5,62,5
ENSG00000187624.9,56,33,61,28,34,52,41,52,14,18,20,20,16,22,26,42
ENSG00000187626.9,187,307,319,308,388,372,528,568,467,349,368,318,338,436,703,340
ENSG00000187627.17,8,5,5,35,1,1,12,11,14,3,7,22,23,8,24,5
ENSG00000187630.17,166,206,225,245,154,163,392,314,159,125,204,218,193,150,398,262
ENSG00000187634.12,289,148,331,327,115,174,365,309,160,151,285,177,94,388,728,133
ENSG00000187642.9,23,13,17,7,24,6,16,3,13,3,10,21,16,10,12,1
ENSG00000187650.4,213,288,166,220,239,174,409,274,155,231,222,145,195,177,330,241
ENSG00000187653.11,96,49,415,90,147,61,109,302,101,62,215,87,118,91,168,46
ENSG00000187657.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187658.7,4,2,3,4,2,4,13,1,6,1,0,0,0,2,0,1
ENSG00000187664.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187672.14,39,52,62,106,101,54,50,270,72,68,100,45,71,74,226,252
ENSG00000187676.8,581,413,1041,560,680,794,919,641,1122,519,882,669,612,1095,889,452
ENSG00000187678.10,1610,1464,1760,2270,1467,2935,2620,1513,1748,1185,1207,1547,4900,1595,2073,745
ENSG00000187682.2,0,2,2,0,4,3,1,7,3,0,0,1,0,1,0,1
ENSG00000187686.4,6,9,16,6,16,6,15,4,18,20,17,8,3,13,8,8
ENSG00000187688.15,702,941,1789,695,586,433,677,734,463,568,963,636,2395,576,835,291
ENSG00000187689.10,0,4,8,3,12,117,0,114,14,7,3,17,4,16,245,0
ENSG00000187690.4,1,6,4,12,2,0,7,7,2,7,1,0,1,4,12,12
ENSG00000187699.10,1553,470,554,803,660,632,2697,1003,705,579,476,327,232,592,1042,1331
ENSG00000187701.4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
ENSG00000187713.7,447,558,502,557,581,413,1130,472,542,341,666,434,580,690,798,389
ENSG00000187714.7,3,0,2,3,0,1,1,2,0,1,1,0,1,0,4,0
ENSG00000187715.13,153,236,379,280,285,1041,92,398,71,428,253,62,264,285,294,385
ENSG00000187720.14,1704,3398,2302,2573,3538,2212,2659,4613,1556,2141,3994,1500,2022,2328,4123,1487
ENSG00000187721.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000187726.9,95,238,62,18,68,252,6,38,71,270,24,21,15,55,32,11
ENSG00000187730.9,36,32,56,42,54,61,53,46,51,42,17,53,21,67,88,5
ENSG00000187733.6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,3
ENSG00000187735.14,2183,1223,3555,3211,3827,3104,6021,2916,4090,2917,4800,2674,3975,4516,4982,2647
ENSG00000187736.13,135,158,99,126,123,205,525,236,190,126,139,111,148,235,247,148
ENSG00000187741.15,255,681,482,403,570,631,1370,323,240,359,236,315,772,432,422,279
ENSG00000187742.15,2940,3156,3167,3617,3596,3310,6128,5858,3501,2642,4300,2674,3183,3089,5264,4066
ENSG00000187747.2,12,29,19,26,12,6,23,55,15,15,9,11,23,17,38,22
ENSG00000187753.13,28,39,23,22,22,49,13,92,47,19,14,26,38,65,40,30
ENSG00000187754.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187758.8,16,36,17,55,34,21,28,122,62,14,25,12,46,32,110,31
ENSG00000187762.5,46,70,57,64,48,79,83,156,60,61,53,58,72,76,129,58
ENSG00000187763.3,0,5,0,0,0,0,3,5,0,1,0,0,0,0,5,8
ENSG00000187764.11,1931,2168,1812,1734,1981,1885,2564,3075,965,980,1047,1116,1523,728,2698,1241
ENSG00000187766.1,0,0,0,3,1,0,1,0,0,7,0,0,0,2,2,1
ENSG00000187772.8,0,0,0,0,0,96,0,3,17,0,14,18,0,1,0,0
ENSG00000187773.8,63,186,36,47,22,34,181,32,172,68,29,73,24,59,70,2
ENSG00000187775.17,164,266,215,212,179,326,226,315,405,168,223,1623,266,292,242,106
ENSG00000187778.14,1062,896,1473,1557,1135,1053,1981,1303,993,671,1418,1149,1331,1801,1627,886
ENSG00000187783.12,20,89,13,25,42,24,66,182,13,20,21,12,7,22,112,87
ENSG00000187790.11,393,472,548,532,624,986,927,729,891,718,876,483,909,662,994,465
ENSG00000187791.13,0,34,3,3,1,1,0,9,4,2,1,0,6,0,5,2
ENSG00000187792.5,296,688,482,416,416,466,719,1000,717,461,660,542,307,437,723,840
ENSG00000187796.15,138,199,390,204,190,161,325,311,114,87,171,168,107,215,429,86
ENSG00000187800.13,531,561,326,355,368,317,267,761,277,240,448,369,580,1113,867,400
ENSG00000187801.15,181,149,120,125,119,232,213,240,145,152,104,116,79,142,312,150
ENSG00000187806.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000187808.5,38,30,70,19,26,44,147,33,9,22,17,21,13,9,75,24
ENSG00000187812.12,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000187815.10,221,253,248,230,363,322,380,539,335,318,207,163,190,271,574,276
ENSG00000187821.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000187823.3,0,0,0,3,2,3,0,14,2,0,0,11,0,0,15,0
ENSG00000187824.9,102,128,179,224,265,163,262,561,144,104,153,108,46,189,501,333
ENSG00000187833.7,0,2,1,0,1,0,0,4,0,1,0,0,0,0,1,0
ENSG00000187837.4,5583,6344,8550,3982,9339,5838,17767,5015,7657,8179,8552,6531,7527,6583,8009,4233
ENSG00000187838.17,5,7,6,2,3,2,2,4,6,4,5,5,5,5,4,0
ENSG00000187840.5,615,668,687,601,1020,1606,737,1042,593,514,2615,828,943,505,1642,1810
ENSG00000187847.4,2,0,3,1,1,6,0,3,2,0,0,0,0,3,2,0
ENSG00000187848.15,2,1,5,17,7,3,10,11,2,5,7,1,2,15,13,1
ENSG00000187855.5,0,1,1,0,0,0,0,2,0,0,1,2,1,0,6,2
ENSG00000187857.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000187860.10,35,59,78,64,70,25,80,88,56,50,40,60,66,71,87,42
ENSG00000187862.12,13,6,5,16,8,13,8,6,4,12,2,1,22,2,6,1
ENSG00000187866.10,839,496,738,873,758,633,1644,1111,660,481,698,432,417,944,1498,1084
ENSG00000187867.10,61,162,20,230,200,142,266,335,8,206,112,28,48,12,292,101
ENSG00000187870.7,4,0,3,0,5,1,2,2,4,2,1,2,5,5,9,0
ENSG00000187871.2,2,1,0,3,0,1,1,2,2,1,1,0,0,1,3,4
ENSG00000187889.13,93,34,90,328,129,61,144,409,18,202,25,33,14,127,334,209
ENSG00000187893.10,3,7,1,3,1,3,3,11,6,1,6,2,4,9,17,1
ENSG00000187900.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000187902.11,4,8,4,8,1,7,1,8,5,5,1,5,3,7,13,8
ENSG00000187904.3,13,26,26,13,14,27,26,36,17,15,18,21,33,23,37,14
ENSG00000187905.10,3,4,3,1,4,7,3,6,0,1,1,1,7,1,6,1
ENSG00000187908.20,13437,131,26976,3623,9532,3037,67305,135,197,51055,1832,721,1801,1463,317,221
ENSG00000187912.12,101,2,15,53,14,7,27,111,7,10,11,18,7,29,74,17
ENSG00000187918.5,5,15,9,30,17,9,17,32,7,14,13,9,20,24,21,23
ENSG00000187922.14,11,0,3,20,6,0,6,5,0,1,0,2,1,2,9,3
ENSG00000187942.12,37,55,49,15,21,60,40,123,45,19,31,34,13,52,121,24
