,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000187944.5,6,10,0,5,3,7,1,7,14,2,5,7,7,10,6,7
ENSG00000187950.8,7,9,14,28,21,12,63,96,23,13,15,10,8,39,78,17
ENSG00000187951.11,132,290,182,73,201,303,365,113,132,112,128,43,173,164,149,161
ENSG00000187952.9,10,9,20,15,0,11,16,6,1,3,2,19,3,0,22,7
ENSG00000187953.10,341,370,395,296,375,308,735,483,324,287,432,391,470,288,462,256
ENSG00000187954.13,875,1533,975,944,978,727,3180,1250,1006,688,999,1238,930,1131,1742,1005
ENSG00000187955.12,8752,3090,13448,21253,8960,9173,15234,25648,1267,4414,8671,8390,949,20605,27976,8254
ENSG00000187957.8,14,80,22,100,170,33,23,72,105,104,79,61,524,24,58,25
ENSG00000187959.9,38,31,14,14,18,29,14,42,19,16,13,30,7,15,26,14
ENSG00000187961.14,181,552,288,232,314,228,529,185,251,192,250,286,448,218,251,113
ENSG00000187969.6,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
ENSG00000187979.4,1,0,1,1,0,0,0,2,0,1,1,0,0,0,1,0
ENSG00000187980.7,21,35,56,16,46,34,37,40,25,72,101,44,13,26,32,17
ENSG00000187984.13,32,56,17,30,18,76,49,68,31,16,40,16,11,21,55,38
ENSG00000187987.9,152,178,186,167,235,83,277,371,271,287,180,150,123,143,336,198
ENSG00000187988.5,2,0,0,1,3,1,3,0,0,0,0,0,0,1,0,0
ENSG00000187994.14,315,297,541,529,483,347,635,311,206,239,782,415,411,256,404,355
ENSG00000187997.11,15,15,12,2,2,2,6,0,4,1,5,2,2,0,5,1
ENSG00000187999.4,0,3,2,6,1,11,7,9,3,6,3,1,3,4,11,4
ENSG00000188000.5,1,28,24,2,34,1,1,4,1,2,3,2,3,3,4,2
ENSG00000188001.10,626,670,702,401,866,273,930,971,422,733,509,336,629,749,975,151
ENSG00000188002.10,383,348,298,361,302,341,301,408,227,278,141,238,307,413,335,248
ENSG00000188004.11,3,4,5,1,6,1,2,6,6,5,1,3,7,5,5,3
ENSG00000188010.15,218,121,390,260,295,321,402,312,381,214,416,193,332,296,375,223
ENSG00000188011.5,2,0,1,3,1,0,3,2,0,2,0,1,1,0,3,1
ENSG00000188013.6,33,37,23,25,39,15,34,29,35,19,30,46,12,45,46,10
ENSG00000188015.10,123,128,81,30,51,84,79,25,70,33,97,89,154,59,47,6
ENSG00000188021.9,930,1403,876,977,1024,2067,1557,2001,1345,948,1331,1358,860,931,2029,844
