sample,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN,source
C3N-03754-01,0.0,0.0,0.0,0.0,0.0,0.2855,0.0,0.0,0.1517,0.0,0.0,0.1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0737,0.0,0.0459,0.0,0.0556,0.0989,0.0,0.0,0.1622,0.0,0.0828,0.0,0.0,70.8109,190.3956,8.0216,0.2423,0.2537,1.0856,0.4743,56.2287,7.7883,36.4159,0.5396,143.5558,21.4927,df_numeric
C3N-03780-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672,0.0,0.0,0.0547,0.0,0.0808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5599,185.4914,11.8145,0.132,0.0642,1.3541,1.3994,36.1979,7.5505,49.1505,0.5511,54.6173,29.9734,df_numeric
C3N-03839-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801,0.0958,0.0,0.0,0.026,0.0,0.0384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378,0.0,0.1381,0.0,0.0,0.0,63.9702,129.7015,5.3344,0.0,0.0152,0.7681,0.0998,78.792,10.2976,28.7547,0.2619,53.8079,20.9726,df_numeric
C3N-03840-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1782,0.0,0.0,0.0871,0.2429,0.0,0.0,0.0,0.0,0.0,0.0692,0.0,0.0,0.0,0.1568,0.0,0.0,0.0,0.0,0.0,0.0,0.0778,0.0,60.3579,176.5398,8.3881,0.0175,0.0,2.1324,0.4827,62.2765,11.1138,55.4947,0.4289,78.5944,28.9378,df_numeric
C3N-03853-02,0.244,0.0,0.0,0.1177,0.1016,0.1108,0.9525,0.0,0.0883,0.0,0.0,0.036,0.0301,0.2125,0.0,0.1299,0.0,0.0477,0.0,0.0,0.0534,0.0,0.9719,0.0,0.0736,1.047,0.1889,0.5735,0.0,0.0,0.0,65.8458,159.645,6.8388,0.0217,0.0211,3.0456,0.4142,61.0598,9.1558,52.9897,0.4592,65.5495,21.6327,df_numeric
C3N-03884-01,0.0,0.0,0.0,0.0,0.0,0.1797,0.0,0.0,0.0716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613,0.0,0.0,0.3126,0.0,51.3681,133.3047,7.9634,0.2112,0.1026,0.7454,0.0746,31.4416,8.3678,29.6183,0.5094,58.7217,23.5313,df_numeric
C3N-04119-02,0.0,0.0,0.0,0.0,0.0268,0.3503,0.0,0.0,0.0,0.0,0.0,0.0854,0.0,0.0,0.0,0.0,0.0,0.0377,0.0,0.0,0.0,0.0,0.0512,0.0,0.0,0.0,0.0597,0.0755,0.0,0.0762,0.0,70.6711,184.7296,10.4903,0.0,0.0,2.566,0.4365,51.4094,9.5912,46.6341,1.5663,64.0669,39.6473,df_numeric
C3N-04126-02,0.0373,0.0,0.0,0.0,0.145,0.1355,0.0,0.0,0.054,0.0,0.0,0.044,0.0368,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.015,0.1921,0.0462,0.2338,0.0,0.4125,0.0,58.3269,136.9975,9.2469,0.0,0.0258,1.8447,0.3377,37.3346,11.2097,41.9296,0.8719,60.4605,25.2153,df_numeric
C3N-04282-01,0.0,0.0,0.0,0.093,0.0,0.2625,0.0,0.0,0.0698,0.0,0.0,0.0853,0.0475,0.0419,0.0,0.0513,0.0,0.0,0.0,0.0,0.0,0.0,0.1023,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.0,104.0969,210.4453,10.7633,0.0686,0.0167,2.473,0.7632,77.4823,14.5957,49.7411,1.0496,104.17,31.6985,df_numeric
C3N-04283-03,0.2137,0.0,0.0,0.0,0.0,0.0776,0.0,0.0,0.1857,0.0,0.0,0.0252,0.0,0.0,0.0,0.1365,0.0,0.0,0.0,0.0375,0.0,0.0,0.0454,0.0,0.0,0.0,0.0,0.1339,0.0,0.135,0.0,61.8501,156.6073,7.0118,0.0152,0.0,1.8719,0.3547,42.0426,9.2728,29.9094,0.5926,72.5118,22.0981,df_numeric
C3N-04284-01,0.4183,0.0,0.0,4.1918,0.1072,0.1753,2.955,0.0,0.2563,0.0,0.0,0.0,0.0159,1.9051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935,0.0,0.0259,0.138,0.0199,1.3612,0.0,0.1017,0.0729,39.0115,65.5647,4.7707,0.0229,0.0445,2.273,0.5097,29.3869,4.5554,23.894,0.5991,42.088,10.2536,df_numeric
C3L-00017-04-normal,0.0,0.0,0.0,0.0,0.0,0.6988,0.0,0.0,0.0557,0.0,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0817,0.0,0.0,0.0,0.0715,0.0,0.0,0.0,0.0,27.7527,103.4521,2.8621,0.0411,0.0,1.8663,0.9288,28.4834,6.4413,19.6116,0.4268,78.7319,28.6664,dfnormal_numeric
C3L-00102-06-normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5215,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,43.5964,135.2529,7.84,0.0,0.0,2.4284,0.3396,35.0705,7.9954,35.495,0.5998,60.0173,22.8861,dfnormal_numeric
C3L-00589-06-normal,0.0,0.0,0.0,0.0,0.0,0.5272,0.0,0.0,0.0,0.0,0.0,0.0761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1713,0.0,0.013,0.0,0.02,0.0,0.0,0.0,0.0731,20.3094,61.2584,1.1421,0.0,0.0112,0.5468,0.1946,22.3198,4.4749,14.7538,0.0639,71.6254,14.3025,dfnormal_numeric
C3L-00622-04-normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2267,129.4057,9.3913,0.0,0.0143,2.5163,0.6562,24.4973,5.4682,25.6894,0.6563,53.0106,13.0134,dfnormal_numeric
C3L-00640-06-normal,0.0,0.0,0.0,0.0404,0.0,0.0,0.0,0.0,0.0908,0.0,0.0,0.0,0.0,0.0,0.0,0.0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655,0.0,0.0,0.0,58.2023,174.5205,12.1245,0.0298,0.0145,4.2936,1.4828,43.2436,10.3912,56.945,2.336,56.2494,47.6776,dfnormal_numeric
C3L-00819-06-normal,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477,0.0,0.0,0.0963,0.0,0.0,0.0,0.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0505,0.0,0.0,0.0,0.0,58.7263,182.8732,11.5965,0.029,0.0,2.9966,1.0154,39.1397,7.9402,49.1415,1.0664,54.4389,37.8225,dfnormal_numeric
C3L-01039-05-2-normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0236,0.0198,0.0,0.0,0.0426,0.0,0.0,0.0,0.0,0.0351,0.0,0.17,0.0,0.0,0.0,0.1239,0.0,0.0,0.0,0.0,29.5794,75.7244,7.791,0.0,0.0,2.7334,0.7549,16.8299,4.1228,39.0471,1.3954,42.8004,13.0075,dfnormal_numeric
C3L-01039-05-normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0458,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261,0.0,0.0,0.0,0.0,10.3033,18.6726,1.4613,0.015,0.0,0.1291,0.0477,2.4606,0.9629,4.0092,0.6266,18.2842,4.3541,dfnormal_numeric
C3L-01328-03-normal,0.0,0.0,0.0,0.0,0.0,0.1017,0.0,0.0,0.1418,0.0,0.0,0.0,0.0,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0892,0.0,0.0,0.0,0.0173,0.1315,0.0,0.0,0.0,49.7838,134.4498,10.6584,0.0,0.029,2.715,0.9289,33.8064,8.6669,44.2231,1.0421,60.1455,34.466,dfnormal_numeric
C3L-01453-04-normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0376,0.0,0.3557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0254,0.0,0.0,0.8408,0.0,20.5028,94.8009,3.2437,0.0146,0.0,3.3934,0.4942,26.2729,12.6068,28.8946,0.3568,67.3633,28.0778,dfnormal_numeric
C3L-01637-06-normal,0.0,0.0,0.0,0.0367,0.0,0.0,0.0,0.0,0.0826,0.0,0.0,0.0449,0.0,0.0,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,0.5657,0.0,0.0153,0.0,0.0942,0.0596,0.0,0.0,0.0,41.6781,120.0349,13.482,0.0,0.0263,3.3505,1.0045,29.8106,6.6925,38.0165,1.1153,57.399,15.4708,dfnormal_numeric
C3L-01689-04-normal,0.0,0.0,0.0,0.0,0.0,0.1442,0.0,0.0,0.1725,0.0,0.0,0.0703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265,0.0,0.0,0.0,0.0246,0.0,0.0,0.0,0.0,23.2563,72.0013,2.1742,0.0,0.0137,1.5142,0.2096,19.4846,4.8191,16.083,0.173,83.2002,18.4935,dfnormal_numeric
C3L-01703-04-normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0255,0.0213,0.0376,0.0,0.0,0.0,0.0338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339,0.0,0.0,0.0,0.0,65.5003,201.9723,13.6807,0.0,0.015,4.1336,2.1528,31.4869,11.8908,60.6714,1.3017,52.4676,55.4245,dfnormal_numeric
C3L-02112-04-normal,0.0,0.0,0.0,0.0,0.0,0.1363,0.0,0.0681,0.2173,0.0,0.0,0.0,0.0,0.0,0.0,0.0799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232,0.0588,0.0,0.0,0.0,25.9384,114.498,2.7046,0.0133,0.0,1.855,0.5094,26.1492,7.1832,25.8074,0.0743,61.069,35.6954,dfnormal_numeric
C3L-02463-05-normal,0.0,0.0,0.0,0.0,0.0204,0.4677,0.0,0.0,0.1065,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6777,74.2317,1.79,0.0,0.0,1.1088,0.444,25.8641,5.6508,16.9588,0.1457,69.8388,23.3135,dfnormal_numeric
C3L-02606-04-normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443,0.0,0.0,0.0,0.0,0.0266,0.0,0.0,0.0,0.0,0.0431,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0379,0.048,0.0,0.0,0.0,37.4045,123.6294,10.3859,0.0,0.0106,2.1333,0.7619,25.275,5.2215,31.7107,0.4971,43.744,18.0507,dfnormal_numeric
C3L-02610-04-normal,0.0,0.0,0.0,0.0,0.0,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0214,0.0,0.0,0.0,0.0,0.2611,0.0,0.0,0.0,0.0338,0.0428,0.0,0.0,0.0,25.7391,70.1027,7.2641,0.0,0.0,1.5564,0.6181,19.1205,3.8958,32.9705,0.2056,34.2063,11.0573,dfnormal_numeric
